Company Name,Current Rater,Instrument Type,Current Rating,INC Date,Last Good Rating Date,Days Since INC,INC Urgency,TransitionRecency,Sector,State,Why Target,ACER Pitch Angle
D P J Bidar Chincholi (Annuity) Road Project Pvt. Ltd.,CARE,Term loans,BB+,2026-05-04,2025-10-08,47,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-05-04 (was rated before) — fresh frustration, high switch probability",CARE has marked you INC — ACER's fresh assessment approach can get you back on track
Multicolor Steels (India) Pvt. Ltd.,CRISIL,Letter Of credit,A 4+,2026-04-30,2025-10-03,51,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-04-30 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Peekay Agencies Pvt. Ltd.,CRISIL,Letter Of credit,A 4,2026-04-30,2025-07-24,51,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-04-30 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
R P A Unibakes Pvt. Ltd.,ICRA,Term loans,BB+,2026-04-29,2026-03-16,52,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-04-29 (was rated before) — fresh frustration, high switch probability",ICRA is no longer rating you actively — ACER can provide continuity with competitive pricing
Lalitha Chem Inds. Pvt. Ltd.,CRISIL,Non-fund-based financial facility/instrument,A 4,2026-04-28,2025-05-16,53,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-04-28 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Nachiketa Papers Ltd.,CRISIL,Term loans,B,2026-04-28,2025-09-04,53,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-04-28 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
R M P Fab Sourcing Pvt. Ltd.,CRISIL,Long term Loans,B,2026-04-28,2025-09-04,53,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-04-28 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Saam Textiles Pvt. Ltd.,CRISIL,Letter Of credit,A 4,2026-04-28,2025-08-07,53,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-04-28 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Subray Catal Chem Pvt. Ltd.,CRISIL,Letter Of credit,A 4,2026-04-28,2025-05-16,53,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-04-28 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Fiorenza Granito Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2026-04-23,2025-05-12,58,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-04-23 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
