Agency,Instrument,SEBI_Category,Urgency,Records,Unique_Companies
CRISIL,Long term Loans,BANK_CREDIT_ONLY,MEDIUM,950,820
CRISIL,Term loans,BANK_CREDIT_ONLY,MEDIUM,874,781
CRISIL,Bank Guarantee,BANK_CREDIT_ONLY,MEDIUM,847,778
CRISIL,Letter Of credit,BANK_CREDIT_ONLY,MEDIUM,630,579
CARE,Term loans,BANK_CREDIT_ONLY,MEDIUM,526,478
CRISIL,Term loans,BANK_CREDIT_ONLY,LOW,514,472
BRICKWORK,Term loans,BANK_CREDIT_ONLY,MEDIUM,511,494
CRISIL,Long term Loans,BANK_CREDIT_ONLY,LOW,504,460
CARE,Term loans,BANK_CREDIT_ONLY,LOW,464,439
CRISIL,Bank Guarantee,BANK_CREDIT_ONLY,LOW,448,414
BRICKWORK,Bank Guarantee,BANK_CREDIT_ONLY,MEDIUM,403,389
BRICKWORK,Term loans,BANK_CREDIT_ONLY,LOW,377,362
CRISIL,Fund based financial facility/instrument,BANK_CREDIT_ONLY,MEDIUM,359,308
IND-RA,Term loans,BANK_CREDIT_ONLY,MEDIUM,350,324
CRISIL,Letter Of credit,BANK_CREDIT_ONLY,LOW,341,314
ICRA,Term loans,BANK_CREDIT_ONLY,MEDIUM,318,302
CARE,Bank Guarantee,BANK_CREDIT_ONLY,MEDIUM,315,308
ACUITE,Term loans,BANK_CREDIT_ONLY,MEDIUM,311,280
BRICKWORK,Bank Guarantee,BANK_CREDIT_ONLY,LOW,307,295
BRICKWORK,Letter Of credit,BANK_CREDIT_ONLY,MEDIUM,296,279
ICRA,Non-fund-based financial facility/instrument,BANK_CREDIT_ONLY,MEDIUM,268,253
BRICKWORK,Term loans,BANK_CREDIT_ONLY,HIGH,260,245
CRISIL,Fund based financial facility/instrument,BANK_CREDIT_ONLY,LOW,254,215
CARE,Bank Guarantee,BANK_CREDIT_ONLY,LOW,253,244
ACUITE,Term loans,BANK_CREDIT_ONLY,LOW,245,226
BRICKWORK,Letter Of credit,BANK_CREDIT_ONLY,LOW,239,221
CRISIL,Long term Loans,BANK_CREDIT_ONLY,HIGH,239,223
ACUITE,Bank Guarantee,BANK_CREDIT_ONLY,MEDIUM,218,197
CRISIL,Bank Guarantee,BANK_CREDIT_ONLY,HIGH,217,208
ICRA,Term loans,BANK_CREDIT_ONLY,LOW,217,211
CRISIL,Term loans,BANK_CREDIT_ONLY,HIGH,214,196
BRICKWORK,Fund based financial facility/instrument,BANK_CREDIT_ONLY,MEDIUM,213,188
ACUITE,Long term Loans,BANK_CREDIT_ONLY,MEDIUM,212,206
BRICKWORK,Bank Guarantee,BANK_CREDIT_ONLY,HIGH,200,192
ACUITE,Bank Guarantee,BANK_CREDIT_ONLY,LOW,196,176
ICRA,Non-fund-based financial facility/instrument,BANK_CREDIT_ONLY,LOW,182,176
CARE,Term loans,BANK_CREDIT_ONLY,HIGH,178,171
ACUITE,Letter Of credit,BANK_CREDIT_ONLY,MEDIUM,176,165
BRICKWORK,Letter Of credit,BANK_CREDIT_ONLY,HIGH,171,154
IND-RA,Non-fund based working capital limit,BANK_CREDIT_ONLY,MEDIUM,171,159
IND-RA,Term loans,BANK_CREDIT_ONLY,HIGH,159,152
ACUITE,Long term Loans,BANK_CREDIT_ONLY,LOW,156,153
ACUITE,Letter Of credit,BANK_CREDIT_ONLY,LOW,154,143
CARE,Letter Of credit,BANK_CREDIT_ONLY,MEDIUM,154,150
IND-RA,Term loans,BANK_CREDIT_ONLY,LOW,151,142
IND-RA,Non-fund based working capital limit,BANK_CREDIT_ONLY,HIGH,147,145
CRISIL,Letter Of credit,BANK_CREDIT_ONLY,HIGH,140,134
CARE,Letter Of credit,BANK_CREDIT_ONLY,LOW,131,129
BRICKWORK,Fund based financial facility/instrument,BANK_CREDIT_ONLY,LOW,130,112
CARE,Bank Guarantee,BANK_CREDIT_ONLY,HIGH,112,109
BRICKWORK,Non-fund-based financial facility/instrument,BANK_CREDIT_ONLY,MEDIUM,104,88
ICRA,Non-fund-based financial facility/instrument,BANK_CREDIT_ONLY,HIGH,93,92
ICRA,Term loans,BANK_CREDIT_ONLY,HIGH,92,89
CARE,Fund based financial facility/instrument,BANK_CREDIT_ONLY,MEDIUM,84,80
CARE,Fund based financial facility/instrument,BANK_CREDIT_ONLY,LOW,77,73
BRICKWORK,Fund based financial facility/instrument,BANK_CREDIT_ONLY,HIGH,74,64
CRISIL,Fund based financial facility/instrument,BANK_CREDIT_ONLY,HIGH,73,69
BRICKWORK,Non-fund-based financial facility/instrument,BANK_CREDIT_ONLY,LOW,70,60
CARE,Letter Of credit,BANK_CREDIT_ONLY,HIGH,56,54
