Company Name,Priority Tier,Score,Current Rater(s),Instrument Type,Rating,Last Rating Date,Days Overdue,Urgency,Signal_UltraHot,Signal_DualINC,Signal_RecentTransition,Signal_MultiAgency,Signal_Downgraded,Why Target,ACER Pitch Angle
Arya Steels Rolling (India) Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,7,BRICKWORK | CARE | CRISIL,Letter Of credit,A 4,2026-04-21,386,HIGH,1,1,0,1,1,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | rated by 3+ agencies | recently downgraded,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Supermint Exports Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,7,BRICKWORK | CARE | CRISIL,Bank Guarantee,A 4+,2026-04-08,386,HIGH,1,1,0,1,1,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | rated by 3+ agencies | recently downgraded,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Med Freshe Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,7,BRICKWORK | CARE | CRISIL,Letter Of credit,A 4,2026-04-21,379,HIGH,1,1,0,1,1,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | rated by 3+ agencies | recently downgraded,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
New Modern Technomech Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,7,ACUITE | BRICKWORK | CARE | CRISIL,Bank Guarantee,A 4,2026-04-21,366,HIGH,1,1,0,1,1,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | rated by 3+ agencies | recently downgraded,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Alamelu Balaji Spg. Mills Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,6,BRICKWORK | CARE | CRISIL,Term loans,B-,2026-04-01,407,HIGH,1,1,0,1,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | rated by 3+ agencies,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Khedut Solvexp Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,6,CARE | CRISIL | IND-RA,Term loans,BB+,2026-02-10,407,HIGH,1,0,1,1,0,ULTRA HOT (365+ days INC) | JUST transitioned to INC | rated by 3+ agencies,"You just became INC — ACER can restore your rating track record within weeks, not months"
A & T Infracon Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,6,CARE | CRISIL | IND-RA,Bank Guarantee,A 4+,2026-04-08,403,HIGH,1,0,1,1,0,ULTRA HOT (365+ days INC) | JUST transitioned to INC | rated by 3+ agencies,"You just became INC — ACER can restore your rating track record within weeks, not months"
Chhabeela Energy Foods Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,6,BRICKWORK | CRISIL,Letter Of credit,A 4,2026-04-23,401,HIGH,1,1,0,0,1,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | recently downgraded,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Ilasakaa Steels Ltd.,TIER 1 — MAXIMUM PRIORITY,6,BRICKWORK | CARE | CRISIL,Letter Of credit,D,2026-03-11,401,HIGH,1,1,0,1,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | rated by 3+ agencies,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
K Lall Overseas Pvt. Ltd. [Merged],TIER 1 — MAXIMUM PRIORITY,6,BRICKWORK | CRISIL | IND-RA,Letter Of credit,A 4,2026-03-25,401,HIGH,1,1,0,1,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | rated by 3+ agencies,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
P N Gawande Gng. Prsg. & Oil Mill Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,6,BRICKWORK | CARE | CRISIL,Term loans,C,2025-12-16,397,HIGH,1,1,0,1,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | rated by 3+ agencies,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Yadav Solvex Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,6,ACUITE | BRICKWORK | CRISIL,Term loans,C,2026-02-03,397,HIGH,1,1,0,1,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | rated by 3+ agencies,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Ashok Bricks Inds. Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,6,BRICKWORK | CRISIL | ICRA | IND-RA,Bank Guarantee,D,2026-04-02,396,HIGH,1,1,0,1,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | rated by 3+ agencies,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Ghaziabad Ship Breakers Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,6,BRICKWORK | CRISIL,Letter Of credit,A 4,2026-01-21,394,HIGH,1,1,0,1,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | rated by 3+ agencies,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Mohammed Enterprises Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,6,BRICKWORK | CRISIL,Non-fund-based financial facility/instrument,A 4,2025-09-25,393,HIGH,1,1,0,1,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | rated by 3+ agencies,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Safal Seeds & Biotech Ltd.,TIER 1 — MAXIMUM PRIORITY,6,BRICKWORK | CRISIL,Fund based financial facility/instrument,C,2026-04-28,390,HIGH,1,1,0,0,1,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | recently downgraded,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Raman Agro Exports Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,6,BRICKWORK | CRISIL | ICRA,Term loans,C,2026-02-16,388,HIGH,1,1,0,1,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | rated by 3+ agencies,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Ramdev Stainless Strips Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,6,BRICKWORK | CARE | CRISIL,Term loans,C,2025-12-08,386,HIGH,1,1,0,1,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | rated by 3+ agencies,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Greenchef Appliances Ltd.,TIER 1 — MAXIMUM PRIORITY,6,BRICKWORK | CRISIL,Non-fund-based financial facility/instrument,A 4,2025-07-24,382,HIGH,1,1,0,1,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | rated by 3+ agencies,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
J B Rolling Mills Ltd.,TIER 1 — MAXIMUM PRIORITY,6,BRICKWORK | CARE | CRISIL,Letter Of credit,A 4,2025-11-24,381,HIGH,1,1,0,1,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | rated by 3+ agencies,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
S A Iron & Alloys Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,6,BRICKWORK | CRISIL | ICRA,Term loans,D,2026-01-28,381,HIGH,1,1,0,1,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | rated by 3+ agencies,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Ocean Motors Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,6,BRICKWORK | CRISIL,Term loans,C,2025-07-02,380,HIGH,1,1,0,1,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | rated by 3+ agencies,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Bhardwaj Overseas Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,6,BRICKWORK | CARE | CRISIL,Term loans,BB-,2026-03-24,376,HIGH,1,1,0,1,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | rated by 3+ agencies,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Simplex Castings Ltd.,TIER 1 — MAXIMUM PRIORITY,6,BRICKWORK | CRISIL | IND-RA,Fund based financial facility/instrument,D,2025-09-08,376,HIGH,1,1,0,1,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | rated by 3+ agencies,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Passion Vitrified Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,6,BRICKWORK | CRISIL,Term loans,C,2026-04-23,375,HIGH,1,1,0,0,1,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | recently downgraded,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
R B Rungta Steels & Food Products Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,6,BRICKWORK | CARE | CRISIL,Term loans,C,2026-03-31,375,HIGH,1,1,0,1,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | rated by 3+ agencies,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Ran India Steels Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,6,BRICKWORK | CARE | CRISIL,Term loans,C,2025-09-09,375,HIGH,1,1,0,1,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | rated by 3+ agencies,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Relcom Technology Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,6,BRICKWORK | CRISIL | ICRA,Letter Of credit,A 4,2026-03-09,372,HIGH,1,1,0,1,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | rated by 3+ agencies,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Hansraj Agrofresh Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,6,BRICKWORK | CRISIL | IND-RA,Long term Loans,D,2026-03-12,369,HIGH,1,1,0,1,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | rated by 3+ agencies,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Aadarsh Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,6,BRICKWORK | CARE | CRISIL,Bank Guarantee,A 4,2026-02-09,368,HIGH,1,1,0,1,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | rated by 3+ agencies,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Sweety Infrastructure Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,6,BRICKWORK | CARE | CRISIL,Bank Guarantee,D,2026-04-24,368,HIGH,1,1,0,1,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | rated by 3+ agencies,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
