Company Name,Current Rater,Instrument Type,Current Rating,Last Rating Date,Days Overdue,Urgency,DeadRisk,Why Target,ACER Pitch Angle
Ashapura Options Private Limited,INFOMERICS,Bank Facilities - Long Term (Proposed),IVR BB+ (INC)(Withdrawn),2021-09-30,1724.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Imperial Granites Pvt Ltd,INFOMERICS,Long Term Bank Facilities,IVR BB (INC)(Reaffirmed & Withdrawn),2021-10-21,1703.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
JAM Hotels and Resorts Private Limited,INFOMERICS,Long term Bank Facilities - Proposed,IVR BB (INC)(Reaffirmed & Withdrawn),2021-10-28,1696.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Sai Point Finance Corporation Limited,INFOMERICS,Long Term Fund Based Limits - Cash Credit,IVR BB (INC)(Withdrawn),2021-11-25,1668.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Sri Anagha Refineries Private Limited,INFOMERICS,Long Term Bank Facilities,IVR BB+ (INC)(Reaffirmed and Withdrawn),2021-12-20,1643.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Mahadev Yarns Private Limited,INFOMERICS,Long Term Fund Based Facilities - Term Loan,IVR B (INC)(Reaffirmed and Withdrawn),2021-12-29,1634.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Deccan Ferro Alloys Private Limited,INFOMERICS,Long Term Fund Based Facility,IVR BB+ (INC)(Reaffirmed and Withdrawn),2022-01-08,1624.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Khandelwal Jewellers (Akola) Pvt Ltd,INFOMERICS,Long Term Bank Facilities,IVR BB+ (INC)(Reaffirmed and Withdrawn),2022-04-06,1536.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Radha Smelters Private Limited,INFOMERICS,Long Term Fund Based Facility - Cash Credit,IVR BB+ (INC)(Reaffirmed and Withdrawn),2022-04-11,1531.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Agrawal Global Infratech Private Limited,INFOMERICS,Long Term Bank Facilities,IVR BB+ (INC)(Reaffirmed and Withdrawn),2022-04-18,1524.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
