Company Name,Date,Agency,Instrument,Grade,Rating,Status,Ammount,Company/Issuer not cooperating,is_INC,Days_Overdue,Urgency,Year,Month,Month_Str,Inferred_State,Geo_Signal,Why_Target,ACER_Pitch,CARE_INC_Month
A A A Roller Flour Mills Pvt. Ltd.,2026-02-26,CARE,Term loans,High Risk,B-,Reaffirmed,4.32,Y,True,115.0,WARM,2026,2,2026-02,Unknown,Unknown,CARE 2026 INC — part of accelerating CARE INC wave; fresh dissatisfaction signal,CARE recently marked you non-cooperative — contact within 30 days for maximum receptivity,2026-02
A A A Vehicleades Pvt. Ltd.,2026-01-21,CARE,Bank Guarantee,Default,D,Reaffirmed,17.0,Y,True,151.0,WARM,2026,1,2026-01,Unknown,Unknown,CARE 2026 INC — part of accelerating CARE INC wave; fresh dissatisfaction signal,CARE recently marked you non-cooperative — contact within 30 days for maximum receptivity,2026-01
A B Udyog Pvt. Ltd.,2026-02-19,CARE,Bank Guarantee,High Risk,A 4,Reaffirmed,1.0,Y,True,122.0,WARM,2026,2,2026-02,Unknown,Unknown,CARE 2026 INC — part of accelerating CARE INC wave; fresh dissatisfaction signal,CARE recently marked you non-cooperative — contact within 30 days for maximum receptivity,2026-02
A I Champdany Inds. Ltd.,2026-04-29,CARE,Bank Guarantee,Default,D,Reaffirmed,7.77,Y,True,53.0,LOW,2026,4,2026-04,Unknown,Unknown,CARE 2026 INC — part of accelerating CARE INC wave; fresh dissatisfaction signal,CARE recently marked you non-cooperative — contact within 30 days for maximum receptivity,2026-04
A M Vinyl Pvt. Ltd.,2026-01-12,CARE,Bank Guarantee,Default,D,Reaffirmed,13.5,Y,True,160.0,WARM,2026,1,2026-01,Unknown,Unknown,CARE 2026 INC — part of accelerating CARE INC wave; fresh dissatisfaction signal,CARE recently marked you non-cooperative — contact within 30 days for maximum receptivity,2026-01
A P T Tools & Machinery India Pvt. Ltd.,2026-03-26,CARE,Bank Guarantee,High Risk,A 4,Reaffirmed,6.5,Y,True,87.0,LOW,2026,3,2026-03,Unknown,Unknown,CARE 2026 INC — part of accelerating CARE INC wave; fresh dissatisfaction signal,CARE recently marked you non-cooperative — contact within 30 days for maximum receptivity,2026-03
A S Motors Pvt. Ltd.,2026-03-26,CARE,Term loans,Inadequate Safety,BB-,Downgraded,4.25,Y,True,87.0,LOW,2026,3,2026-03,Unknown,Unknown,CARE 2026 INC — part of accelerating CARE INC wave; fresh dissatisfaction signal,CARE recently marked you non-cooperative — contact within 30 days for maximum receptivity,2026-03
A S Wood Impex Pvt. Ltd.,2026-02-09,CARE,Letter Of credit,High Risk,A 4,Reaffirmed,45.0,Y,True,132.0,WARM,2026,2,2026-02,Unknown,Unknown,CARE 2026 INC — part of accelerating CARE INC wave; fresh dissatisfaction signal,CARE recently marked you non-cooperative — contact within 30 days for maximum receptivity,2026-02
Aarti Suitings Pvt. Ltd.,2026-04-24,CARE,Term loans,Default,D,Reaffirmed,4.12,Y,True,58.0,LOW,2026,4,2026-04,Unknown,Unknown,CARE 2026 INC — part of accelerating CARE INC wave; fresh dissatisfaction signal,CARE recently marked you non-cooperative — contact within 30 days for maximum receptivity,2026-04
Aastrid Life Sciences Pvt. Ltd.,2026-01-13,CARE,Term loans,High Risk,B+,Withdrawn,6.4,Y,True,159.0,WARM,2026,1,2026-01,Unknown,Unknown,CARE 2026 INC — part of accelerating CARE INC wave; fresh dissatisfaction signal,CARE recently marked you non-cooperative — contact within 30 days for maximum receptivity,2026-01
