Company Name,Date,Agency,Instrument,Grade,Rating,Status,Ammount,Company/Issuer not cooperating,is_INC,Days_Overdue,Urgency,Year,Month,Month_Str,Month_Str2,Inferred_State,Geo_Signal
A I Champdany Inds. Ltd.,2026-04-29,CARE,Bank Guarantee,Default,D,Reaffirmed,7.77,Y,True,53.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Aarti Suitings Pvt. Ltd.,2026-04-24,CARE,Term loans,Default,D,Reaffirmed,4.12,Y,True,58.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Abhishek Propbuild Pvt. Ltd.,2026-04-23,CARE,Term loans,Default,D,Reaffirmed,129.3,Y,True,59.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Adig Jemtex Pvt. Ltd.,2026-04-24,CARE,Term loans,Default,D,Reaffirmed,15.43,Y,True,58.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Aditya Auto Engineering Pvt. Ltd.,2026-04-16,CARE,Letter Of credit,Default,D,Reaffirmed,1.0,Y,True,66.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Agri-Best India Ltd.,2026-04-29,CARE,Fund based financial facility/instrument,Default,D,Reaffirmed,7.0,Y,True,53.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Al-Nasir Exports Pvt. Ltd.,2026-04-21,CARE,Term loans,Default,D,Reaffirmed,5.0,Y,True,61.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Alchemist Hospitals Ltd.,2026-04-08,CARE,Term loans,High Risk,B,Downgraded,31.6,Y,True,74.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Alfa Flexitubes Pvt. Ltd.,2026-04-08,CARE,Term loans,High Risk,B-,Reaffirmed,1.0,Y,True,74.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Anand Carbo Pvt. Ltd.,2026-04-15,CARE,Bank Guarantee,High Risk,A 4,Reaffirmed,52.0,Y,True,67.0,LOW,2026,4,2026-04,2026-04,Gujarat,Anand
Anand Motor Agencies Ltd.,2026-04-10,CARE,Term loans,High Risk,B+,Downgraded,1.59,Y,True,72.0,LOW,2026,4,2026-04,2026-04,Gujarat,Anand
Antonova Tiles (India) Pvt. Ltd.,2026-04-10,CARE,Bank Guarantee,High Risk,A 4,Reaffirmed,2.05,Y,True,72.0,LOW,2026,4,2026-04,2026-04,Gujarat,cluster:tiles
Antony Road Transport Solutions Pvt. Ltd.,2026-04-15,CARE,Term loans,High Risk,B-,Downgraded,41.43,Y,True,67.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Anup Malleables Ltd.,2026-04-16,CARE,Bank Guarantee,High Risk,A 4,Reaffirmed,3.2,Y,True,66.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Apollo Polyvinyl Pvt. Ltd.,2026-04-13,CARE,Letter Of credit,Default,D,Reaffirmed,13.0,Y,True,69.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Apurvakriti Infrastructure Pvt. Ltd.,2026-04-09,CARE,Bank Guarantee,High Risk,A 4,Reaffirmed,5.0,Y,True,73.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Aries Corporate Services Pvt. Ltd.,2026-04-09,CARE,Non-government debt,High Risk,B-/A4,Reaffirmed,13.0,Y,True,73.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Arunachala Spinning Mills India Pvt. Ltd.,2026-04-21,CARE,Term loans,High Risk,B,Downgraded,15.07,Y,True,61.0,LOW,2026,4,2026-04,2026-04,Tamil Nadu,cluster:spinning mills
Arya Steels Rolling (India) Pvt. Ltd.,2026-04-10,CARE,Bank Guarantee,Inadequate Safety,BB-,Downgraded,3.0,Y,True,72.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Azam Rubber Products Pvt. Ltd.,2026-04-15,CARE,Term loans,Default,D,Reaffirmed,29.48,Y,True,67.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
B K Sons Infrastructure Pvt. Ltd.,2026-04-21,CARE,Bank Guarantee,Default,D,Reaffirmed,50.0,Y,True,61.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
B S Shakti Steel Pvt. Ltd.,2026-04-13,CARE,Term loans,High Risk,B-,Downgraded,3.0,Y,True,69.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
B S T Textile Mills Pvt. Ltd.,2026-04-02,CARE,Bank Guarantee,Default,D,Downgraded,1.0,Y,True,80.0,LOW,2026,4,2026-04,2026-04,Gujarat,cluster:textile
Baba Malleshwar Rice Mill Pvt. Ltd.,2026-04-15,CARE,Term loans,High Risk,B-,Downgraded,4.42,Y,True,67.0,LOW,2026,4,2026-04,2026-04,Punjab/Haryana,cluster:rice mill
Baba Structural Pvt. Ltd.,2026-04-13,CARE,Bank Guarantee,High Risk,A 4,Reaffirmed,2.7,Y,True,69.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Bagpoly International Pvt. Ltd.,2026-04-13,CARE,Bank Guarantee,High Risk,B-,Reaffirmed,8.4,Y,True,69.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Bahl Builders Pvt. Ltd.,2026-04-30,CARE,Non-government debt,Inadequate Safety,BB-/A4,Downgraded,30.0,Y,True,52.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Balarka Fabricon Pvt. Ltd.,2026-04-28,CARE,Term loans,High Risk,B-,Reaffirmed,1.01,Y,True,54.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Bardhaman Edible Pvt. Ltd.,2026-04-14,CARE,Term loans,High Risk,B-,Reaffirmed,1.03,Y,True,68.0,LOW,2026,4,2026-04,2026-04,West Bengal,Bardhaman
Belgachi Tea Co. Ltd.,2026-04-15,CARE,Bank Guarantee,High Risk,A 4,Reaffirmed,0.58,Y,True,67.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Bell Finvest (India) Ltd.,2026-04-01,CARE,Term loans,Default,D,Reaffirmed,150.0,Y,True,81.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Bell-O-Seal Valves Pvt. Ltd.,2026-04-06,CARE,Term loans,Inadequate Safety,BB+,Upgraded,3.22,Y,True,76.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Bhagwati Vintrade Pvt. Ltd.,2026-04-20,CARE,Term loans,High Risk,B-,Reaffirmed,8.27,Y,True,62.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Bhargavi Automobiles Pvt. Ltd.,2026-04-07,CARE,Term loans,Inadequate Safety,BB,Downgraded,5.0,Y,True,75.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Bihani Binayake Cotex Pvt. Ltd.,2026-04-23,CARE,Term loans,High Risk,B-,Reaffirmed,0.69,Y,True,59.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Bravo Agencies Pvt. Ltd.,2026-04-06,CARE,Letter Of credit,Default,D,Reaffirmed,7.5,Y,True,76.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Buildmate Projects Pvt. Ltd.,2026-04-15,CARE,Bank Guarantee,High Risk,A 4,Reaffirmed,3.0,Y,True,67.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Bulland Buildtech Pvt. Ltd.,2026-04-28,CARE,Fund based financial facility/instrument,Default,D,Reaffirmed,45.0,Y,True,54.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
C M Auto Sales Pvt. Ltd.,2026-04-23,CARE,Fund based financial facility/instrument,High Risk,B+,Downgraded,16.1,Y,True,59.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
C S H Power Himoinsa Pvt. Ltd.,2026-04-10,CARE,Non-government debt,High Risk,A 4,Reaffirmed,5.0,Y,True,72.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Chakrapani Vyapar Pvt. Ltd.,2026-04-23,CARE,Term loans,Inadequate Safety,BB-,Downgraded,18.0,Y,True,59.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Chandra Fabrics Pvt. Ltd.,2026-04-10,CARE,Term loans,High Risk,B,Downgraded,0.11,Y,True,72.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Clrk Industries Pvt. Ltd.,2026-04-22,CARE,Non-fund-based financial facility/instrument,High Risk,A 4,Reaffirmed,3.5,Y,True,60.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Corodex Infrastructure Pvt. Ltd.,2026-04-24,CARE,Non-government debt,Default,D,Reaffirmed,14.0,Y,True,58.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Crescent Tanners Pvt. Ltd.,2026-04-10,CARE,Bank Guarantee,High Risk,B-,Reaffirmed,0.5,Y,True,72.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
