Company,CARE_Date,CARE_Days,CARE_Instrument,CARE_Rating,CARE_Urgency,CRISIL_Date,CRISIL_Days,CRISIL_Instrument,CRISIL_Rating,CRISIL_Urgency,Worst_Urgency,Max_Days,Current_Rater,Why_Target,ACER_Pitch
Shree Sita Pulses Pvt. Ltd.,2025-05-06,411.0,Term loans,B-,ULTRA HOT,2025-06-10,376.0,Term loans,B,ULTRA HOT,ULTRA HOT,411.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Shri Mangalam Auto Pvt. Ltd.,2025-05-06,411.0,Term loans,B,ULTRA HOT,2025-05-27,390.0,Fund based financial facility/instrument,BB,ULTRA HOT,ULTRA HOT,411.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Northern Power Erectors Ltd.,2025-05-07,410.0,Bank Guarantee,A 4,ULTRA HOT,2025-09-26,268.0,Bank Guarantee,A 4,HOT,HOT,410.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Iscon Craft Paper Mill Pvt. Ltd.,2025-05-07,410.0,Bank Guarantee,A 4,ULTRA HOT,2025-09-26,268.0,Bank Guarantee,A 4,HOT,HOT,410.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Spinora Tiles Pvt. Ltd.,2026-04-29,53.0,Bank Guarantee,A 4,LOW,2025-05-08,409.0,Bank Guarantee,A 4,ULTRA HOT,HOT,409.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Anuspa Heritage Products Pvt. Ltd.,2025-05-09,408.0,Letter Of credit,A 4,ULTRA HOT,2025-10-14,250.0,Letter Of credit,A 4,HOT,HOT,408.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Alamelu Balaji Spg. Mills Pvt. Ltd.,2025-05-09,408.0,Bank Guarantee,A 4,ULTRA HOT,2025-08-26,299.0,Long term Loans,B,HOT,HOT,408.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Global Farm Fresh Pvt. Ltd.,2025-05-12,405.0,Letter Of credit,A 4,ULTRA HOT,2025-10-30,234.0,Bank Guarantee,A 4,HOT,HOT,405.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Oswal Lumbers Pvt. Ltd.,2026-04-10,72.0,Non-government debt,B/A4,LOW,2025-05-12,405.0,Letter Of credit,A 4+,ULTRA HOT,HOT,405.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
B K Agro Products Pvt. Ltd.,2025-05-12,405.0,Bank Guarantee,A 4,ULTRA HOT,2025-07-09,347.0,Bank Guarantee,A 4+,HOT,HOT,405.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
