YearMonth,ACUITE,BRICKWORK,CARE,CRISIL,ICRA,IND-RA,TOTAL
2025-05,100,390,275,470,146,50,1431
2025-06,73,409,226,475,155,271,1609
2025-07,160,335,247,853,161,262,2018
2025-08,190,261,198,558,115,262,1584
2025-09,241,276,237,607,174,167,1702
2025-10,157,241,227,540,126,49,1340
2025-11,116,240,301,650,131,93,1531
2025-12,134,228,209,590,144,80,1385
2026-01,148,224,205,562,131,214,1484
2026-02,179,272,317,509,139,32,1448
2026-03,170,457,185,452,117,40,1421
2026-04,258,153,383,519,148,186,1647
2026-05,0,0,10,0,0,0,10
