Company Name,INDRA_INC_Date,INDRA_Days_Overdue,INDRA_Instrument,INDRA_Rating,INDRA_Amount_Cr,CRISIL_INC_Date,CRISIL_Days_Overdue,CRISIL_Instrument,CRISIL_Rating,CRISIL_Amount_Cr,Max_Days_Overdue,Urgency,Revenue_Signal,Why_Target,ACER_Pitch
Mahakaleshwar Infratech Pvt. Ltd.,2025-09-11,283,Non-government debt,B/A4,70.0,2025-05-08,409,Bank Guarantee,A 4,47.0,409,ULTRA HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Aikya Chemicals Pvt. Ltd.,2025-11-24,209,Non-government debt,B-/A4,5.5,2025-05-21,396,Long term Loans,B,7.5,396,ULTRA HOT,MEDIUM,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Geetha Krishna Spg. Mills Pvt. Ltd.,2026-04-02,80,Non-government debt,B-/A4,23.0,2025-05-26,391,Bank Guarantee,A 4,5.0,391,ULTRA HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Mani Export Pvt. Ltd.,2026-01-16,156,Non-government debt,B-/A4,30.4,2025-05-26,391,Long term Loans,B,4.0,391,ULTRA HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Emdee Digitronics Pvt. Ltd.,2026-01-16,156,Non-government debt,B-/A4,12.15,2025-05-28,389,Bank Guarantee,A 4+,14.0,389,ULTRA HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Shree Satguru Agro & Oil Products Pvt. Ltd.,2025-09-11,283,Non-government debt,B-/A4,11.0,2025-05-29,388,Long term Loans,B+,1.5,388,ULTRA HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Shri Khatu Shyam Alloys Pvt. Ltd.,2025-08-21,304,Non-government debt,B-/A4,30.0,2025-06-12,374,Bank Guarantee,A 4+,9.0,374,ULTRA HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Northern India Leather Cloth Mfg. Co. Pvt. Ltd.,2025-08-21,304,Non-government debt,B-/A4,34.07,2025-06-13,373,Term loans,B-,17.68,373,ULTRA HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Optech Engineering Pvt. Ltd.,2026-01-16,156,Non-government debt,B/A4,10.0,2025-06-13,373,Bank Guarantee,A 4,4.5,373,ULTRA HOT,MEDIUM,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
P R G Buildcon India Pvt. Ltd.,2026-04-02,80,Non-government debt,B-/A4,43.0,2025-06-13,373,Long term Loans,D,19.0,373,ULTRA HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
