Company Name,Date,Agency,Instrument,Grade,Rating,Status,Ammount,Company/Issuer not cooperating,is_INC,Days_Overdue,Urgency,is_NCD,Company_upper,Why_Target
3 G Telecom Infra India Pvt. Ltd.,2026-04-02,IND-RA,Non-government debt,High Risk,B-/A4,Reaffirmed,6.04,Y,True,80.0,LOW,True,3 G TELECOM INFRA INDIA PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
4 Genius Minds Pvt. Ltd.,2025-11-24,IND-RA,Non-government debt,Default,D,Reaffirmed,45.0,Y,True,209.0,HOT,True,4 GENIUS MINDS PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
A A A Textiles Pvt. Ltd.,2025-10-08,IND-RA,Non-government debt,Inadequate Safety,BB/A4+,Reaffirmed,5.36,Y,True,256.0,HOT,True,A A A TEXTILES PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
A P R Constructions Ltd.,2026-01-16,IND-RA,Non-government debt,High Risk,B/A4,Downgraded,150.0,Y,True,156.0,WARM,True,A P R CONSTRUCTIONS LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
A R L Tyres Ltd.,2025-08-21,IND-RA,Non-government debt,High Risk,B/A4,Downgraded,82.9,Y,True,304.0,HOT,True,A R L TYRES LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
A S Jute Product Pvt. Ltd.,2025-09-11,IND-RA,Non-government debt,High Risk,B-/A4,Reaffirmed,10.0,Y,True,283.0,HOT,True,A S JUTE PRODUCT PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Aanchal Cement Ltd.,2025-08-21,IND-RA,Non-government debt,Default,D,Reaffirmed,23.21,Y,True,304.0,HOT,True,AANCHAL CEMENT LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Aanchal Collection Ltd.,2025-08-21,IND-RA,Non-government debt,Default,D,Reaffirmed,16.5,Y,True,304.0,HOT,True,AANCHAL COLLECTION LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Aarohan Builders Pvt. Ltd.,2025-08-21,IND-RA,Non-government debt,High Risk,B-/A4,Reaffirmed,4.4,Y,True,304.0,HOT,True,AAROHAN BUILDERS PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Aarti Infrastructure & Buildcon Ltd.,2026-01-16,IND-RA,Non-government debt,High Risk,B-/A4,Downgraded,12.0,Y,True,156.0,WARM,True,AARTI INFRASTRUCTURE & BUILDCON LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Abhinandan Exports Ltd.,2025-08-21,IND-RA,Non-government debt,High Risk,B-/A4,Reaffirmed,10.5,Y,True,304.0,HOT,True,ABHINANDAN EXPORTS LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Abhiraj Engicon Pvt. Ltd.,2025-12-19,IND-RA,Non-government debt,High Risk,B-/A4,Downgraded,16.39,Y,True,184.0,HOT,True,ABHIRAJ ENGICON PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Adlers Bio-Energy Ltd.,2025-08-21,IND-RA,Non-government debt,Default,D,Reaffirmed,30.93,Y,True,304.0,HOT,True,ADLERS BIO-ENERGY LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Aegan Industries Pvt. Ltd.,2025-08-21,IND-RA,Non-government debt,Default,D,Reaffirmed,81.9,Y,True,304.0,HOT,True,AEGAN INDUSTRIES PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Ailsinghani Transport Pvt. Ltd.,2025-11-24,IND-RA,Non-government debt,High Risk,B-/A4,Downgraded,4.0,Y,True,209.0,HOT,True,AILSINGHANI TRANSPORT PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Ainwesha Engineering & Projects Ltd.,2026-04-02,IND-RA,Non-government debt,Default,D,Reaffirmed,326.04,Y,True,80.0,LOW,True,AINWESHA ENGINEERING & PROJECTS LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Akal Spring Ltd.,2025-10-17,IND-RA,Non-government debt,High Risk,B+/A4,Downgraded,13.37,Y,True,247.0,HOT,True,AKAL SPRING LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Akash Fashion Prints Pvt. Ltd.,2025-08-21,IND-RA,Non-government debt,High Risk,B/A4,Downgraded,21.69,Y,True,304.0,HOT,True,AKASH FASHION PRINTS PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Al-Gayathri Trading Co. Pvt. Ltd.,2025-08-21,IND-RA,Non-government debt,High Risk,B/A4,Downgraded,5.6,Y,True,304.0,HOT,True,AL-GAYATHRI TRADING CO. PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Alaknanda Sponge Iron Ltd.,2025-08-21,IND-RA,Non-government debt,High Risk,B/A4,Downgraded,12.75,Y,True,304.0,HOT,True,ALAKNANDA SPONGE IRON LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Allied Medical Ltd.,2025-08-21,IND-RA,Non-government debt,High Risk,B-/A4,Downgraded,15.0,Y,True,304.0,HOT,True,ALLIED MEDICAL LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Alpha Pacific Systems Pvt. Ltd.,2026-01-16,IND-RA,Non-government debt,High Risk,B-/A4,Downgraded,6.7,Y,True,156.0,WARM,True,ALPHA PACIFIC SYSTEMS PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Amritvarsha Industries Ltd.,2025-08-21,IND-RA,Non-government debt,High Risk,B-/A4,Downgraded,23.0,Y,True,304.0,HOT,True,AMRITVARSHA INDUSTRIES LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Anadrone Systems Pvt. Ltd.,2025-09-11,IND-RA,Non-government debt,High Risk,B-/A4,Reaffirmed,14.0,Y,True,283.0,HOT,True,ANADRONE SYSTEMS PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Anand Construwell Pvt. Ltd.,2026-01-16,IND-RA,Non-government debt,High Risk,B/A4,Downgraded,21.0,Y,True,156.0,WARM,True,ANAND CONSTRUWELL PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Anand Mine Tools Pvt. Ltd.,2026-04-02,IND-RA,Non-government debt,Default,D,Reaffirmed,17.35,Y,True,80.0,LOW,True,ANAND MINE TOOLS PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Anantnath Silk Mills Pvt. Ltd.,2025-08-21,IND-RA,Non-government debt,High Risk,B/A4,Downgraded,25.37,Y,True,304.0,HOT,True,ANANTNATH SILK MILLS PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Ansal Housing Ltd.,2026-01-12,IND-RA,Non-government debt,Default,D,Reaffirmed,146.63,Y,True,160.0,WARM,True,ANSAL HOUSING LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Arasu Hi Tech Infra Pvt. Ltd.,2025-08-21,IND-RA,Non-government debt,High Risk,B-/A4,Reaffirmed,20.0,Y,True,304.0,HOT,True,ARASU HI TECH INFRA PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Archana Mines Pvt. Ltd.,2025-08-21,IND-RA,Non-government debt,High Risk,B-/A4,Downgraded,18.52,Y,True,304.0,HOT,True,ARCHANA MINES PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Arena Lifestyles Pvt. Ltd.,2026-04-02,IND-RA,Non-government debt,High Risk,B-/A4,Downgraded,29.0,Y,True,80.0,LOW,True,ARENA LIFESTYLES PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Arrow Constructions Ltd.,2026-04-02,IND-RA,Non-government debt,Default,D,Reaffirmed,10.0,Y,True,80.0,LOW,True,ARROW CONSTRUCTIONS LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Artek Enterprises Pvt. Ltd.,2025-08-21,IND-RA,Non-government debt,High Risk,B-/A4,Reaffirmed,5.95,Y,True,304.0,HOT,True,ARTEK ENTERPRISES PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Arunoday Construction Co. Pvt. Ltd.,2025-09-11,IND-RA,Non-government debt,High Risk,B-/A4,Downgraded,24.85,Y,True,283.0,HOT,True,ARUNODAY CONSTRUCTION CO. PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Arunodaya Print Pack Pvt. Ltd.,2026-04-02,IND-RA,Non-government debt,High Risk,B-/A4,Downgraded,7.12,Y,True,80.0,LOW,True,ARUNODAYA PRINT PACK PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Asclepius Hospitals & Health Care Pvt. Ltd.,2026-03-27,IND-RA,Non-government debt,High Risk,B-/A4,Downgraded,49.81,Y,True,86.0,LOW,True,ASCLEPIUS HOSPITALS & HEALTH CARE PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Ascon Infratech Pvt. Ltd.,2025-06-25,IND-RA,Non-government debt,Inadequate Safety,BB-/A4+,Downgraded,8.0,Y,True,361.0,HOT,True,ASCON INFRATECH PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Ashok Textile Mills Pvt. Ltd.,2025-12-19,IND-RA,Non-government debt,High Risk,B/A4,Downgraded,89.21,Y,True,184.0,HOT,True,ASHOK TEXTILE MILLS PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Asian Handicrafts Pvt. Ltd.,2025-09-11,IND-RA,Non-government debt,High Risk,B-/A4,Reaffirmed,14.0,Y,True,283.0,HOT,True,ASIAN HANDICRAFTS PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Athitheya Kshema Hotels Pvt. Ltd.,2025-11-24,IND-RA,Non-government debt,Default,D,Reaffirmed,14.06,Y,True,209.0,HOT,True,ATHITHEYA KSHEMA HOTELS PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Athulitha Laboratories Pvt. Ltd.,2026-01-16,IND-RA,Non-government debt,High Risk,B-/A4,Downgraded,10.52,Y,True,156.0,WARM,True,ATHULITHA LABORATORIES PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Atmastco Ltd.,2026-02-27,IND-RA,Non-government debt,High Risk,B/A4,Downgraded,85.75,Y,True,114.0,WARM,True,ATMASTCO LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Auro Industries Ltd.,2025-09-11,IND-RA,Non-government debt,High Risk,B-/A4,Downgraded,11.0,Y,True,283.0,HOT,True,AURO INDUSTRIES LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Axis Overseas Ltd.,2025-08-21,IND-RA,Non-government debt,High Risk,B-/A4,Reaffirmed,25.0,Y,True,304.0,HOT,True,AXIS OVERSEAS LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Azafran Innovacion Ltd.,2025-08-21,IND-RA,Non-government debt,High Risk,B-/A4,Reaffirmed,11.56,Y,True,304.0,HOT,True,AZAFRAN INNOVACION LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
B A S S Minerals India Pvt. Ltd.,2026-04-02,IND-RA,Non-government debt,High Risk,B-/A4,Reaffirmed,5.0,Y,True,80.0,LOW,True,B A S S MINERALS INDIA PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
B C Sen & Co. Ltd.,2026-02-27,IND-RA,Non-government debt,High Risk,B-/A4,Downgraded,39.5,Y,True,114.0,WARM,True,B C SEN & CO. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
B L Agro Inds. Ltd.,2025-11-24,IND-RA,Non-government debt,High Risk,B-/A4,Downgraded,352.0,Y,True,209.0,HOT,True,B L AGRO INDS. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
B M R Blue Genetics Pvt. Ltd.,2025-08-21,IND-RA,Non-government debt,High Risk,B/A4,Reaffirmed,10.06,Y,True,304.0,HOT,True,B M R BLUE GENETICS PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
