Company Name,Priority Tier,Score,Current Rater(s),Instrument Type,Rating,Last Rating Date,Days Overdue,Urgency,Signal_UltraHot,Signal_DualINC,Signal_RecentTransition,Signal_MultiAgency,Signal_Downgraded,Why Target,ACER Pitch Angle,Sector
Arya Steels Rolling (India) Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,7,BRICKWORK | CARE | CRISIL,Letter Of credit,A 4,2026-04-21,386,HIGH,1,1,0,1,1,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | rated by 3+ agencies | recently downgraded,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Steel & Metals
Supermint Exports Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,7,BRICKWORK | CARE | CRISIL,Bank Guarantee,A 4+,2026-04-08,386,HIGH,1,1,0,1,1,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | rated by 3+ agencies | recently downgraded,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Logistics
Med Freshe Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,7,BRICKWORK | CARE | CRISIL,Letter Of credit,A 4,2026-04-21,379,HIGH,1,1,0,1,1,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | rated by 3+ agencies | recently downgraded,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Agro & Food
New Modern Technomech Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,7,ACUITE | BRICKWORK | CARE | CRISIL,Bank Guarantee,A 4,2026-04-21,366,HIGH,1,1,0,1,1,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | rated by 3+ agencies | recently downgraded,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",IT & Technology
Alamelu Balaji Spg. Mills Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,6,BRICKWORK | CARE | CRISIL,Term loans,B-,2026-04-01,407,HIGH,1,1,0,1,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | rated by 3+ agencies,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Textiles
Khedut Solvexp Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,6,CARE | CRISIL | IND-RA,Term loans,BB+,2026-02-10,407,HIGH,1,0,1,1,0,ULTRA HOT (365+ days INC) | JUST transitioned to INC | rated by 3+ agencies,"You just became INC — ACER can restore your rating track record within weeks, not months",Chemicals & Pharma
A & T Infracon Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,6,CARE | CRISIL | IND-RA,Bank Guarantee,A 4+,2026-04-08,403,HIGH,1,0,1,1,0,ULTRA HOT (365+ days INC) | JUST transitioned to INC | rated by 3+ agencies,"You just became INC — ACER can restore your rating track record within weeks, not months",Construction
Chhabeela Energy Foods Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,6,BRICKWORK | CRISIL,Letter Of credit,A 4,2026-04-23,401,HIGH,1,1,0,0,1,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | recently downgraded,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Agro & Food
Ilasakaa Steels Ltd.,TIER 1 — MAXIMUM PRIORITY,6,BRICKWORK | CARE | CRISIL,Letter Of credit,D,2026-03-11,401,HIGH,1,1,0,1,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | rated by 3+ agencies,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Steel & Metals
K Lall Overseas Pvt. Ltd. [Merged],TIER 1 — MAXIMUM PRIORITY,6,BRICKWORK | CRISIL | IND-RA,Letter Of credit,A 4,2026-03-25,401,HIGH,1,1,0,1,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | rated by 3+ agencies,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Logistics
