Company Name,CRISIL_INC_Date,CRISIL_Days_Overdue,CRISIL_Instrument,CRISIL_Rating,CARE_INC_Date,CARE_Days_Overdue,CARE_Instrument,CARE_Rating,BW_INC_Date,BW_Days_Overdue,BW_Instrument,BW_Rating,Max_Days_Overdue,Urgency,Agencies_INC_Count,Why_Target,ACER_Pitch
Alamelu Balaji Spg. Mills Pvt. Ltd.,2025-08-26,299,Long term Loans,B,2025-05-09,408,Term loans,B-,2026-04-01,81,Term loans,C-,408,ULTRA HOT,3,"TRIPLE AGENCY INC — abandoned by CRISIL, CARE, AND BRICKWORK simultaneously",All 3 major raters have marked you non-cooperative — ACER offers fresh start with fast turnaround
Ilasakaa Steels Ltd.,2025-07-25,331,Letter Of credit,D,2025-05-15,402,Letter Of credit,D,2026-03-11,102,Letter Of credit,D,402,ULTRA HOT,3,"TRIPLE AGENCY INC — abandoned by CRISIL, CARE, AND BRICKWORK simultaneously",All 3 major raters have marked you non-cooperative — ACER offers fresh start with fast turnaround
Arya Steels Rolling (India) Pvt. Ltd.,2026-04-21,61,Letter Of credit,A 4,2026-04-10,72,Bank Guarantee,BB-,2025-05-30,387,Letter Of credit,A 4,387,ULTRA HOT,3,"TRIPLE AGENCY INC — abandoned by CRISIL, CARE, AND BRICKWORK simultaneously",All 3 major raters have marked you non-cooperative — ACER offers fresh start with fast turnaround
Ramdev Stainless Strips Pvt. Ltd.,2025-07-23,333,Term loans,B,2025-12-08,195,Term loans,B-,2025-05-30,387,Term loans,C,387,ULTRA HOT,3,"TRIPLE AGENCY INC — abandoned by CRISIL, CARE, AND BRICKWORK simultaneously",All 3 major raters have marked you non-cooperative — ACER offers fresh start with fast turnaround
J B Rolling Mills Ltd.,2025-11-24,209,Long term Loans,B,2025-06-04,382,Term loans,B+,2025-06-12,374,Term loans,B,382,ULTRA HOT,3,"TRIPLE AGENCY INC — abandoned by CRISIL, CARE, AND BRICKWORK simultaneously",All 3 major raters have marked you non-cooperative — ACER offers fresh start with fast turnaround
Med Freshe Pvt. Ltd.,2026-02-26,115,Letter Of credit,A 4,2026-04-21,61,Letter Of credit,A 4,2025-06-06,380,Letter Of credit,A 4,380,ULTRA HOT,3,"TRIPLE AGENCY INC — abandoned by CRISIL, CARE, AND BRICKWORK simultaneously",All 3 major raters have marked you non-cooperative — ACER offers fresh start with fast turnaround
R B Rungta Steels & Food Products Pvt. Ltd.,2026-03-31,82,Fund based financial facility/instrument,B,2026-03-05,108,Term loans,B-,2025-06-10,376,Term loans,C,376,ULTRA HOT,3,"TRIPLE AGENCY INC — abandoned by CRISIL, CARE, AND BRICKWORK simultaneously",All 3 major raters have marked you non-cooperative — ACER offers fresh start with fast turnaround
Aadarsh Pvt. Ltd.,2025-10-06,258,Bank Guarantee,A 4,2025-06-17,369,Letter Of credit,A 4,2026-02-09,132,Bank Guarantee,A 4,369,ULTRA HOT,3,"TRIPLE AGENCY INC — abandoned by CRISIL, CARE, AND BRICKWORK simultaneously",All 3 major raters have marked you non-cooperative — ACER offers fresh start with fast turnaround
Sweety Infrastructure Pvt. Ltd.,2025-08-29,296,Bank Guarantee,D,2026-04-24,58,Bank Guarantee,D,2025-06-17,369,Bank Guarantee,D,369,ULTRA HOT,3,"TRIPLE AGENCY INC — abandoned by CRISIL, CARE, AND BRICKWORK simultaneously",All 3 major raters have marked you non-cooperative — ACER offers fresh start with fast turnaround
New Modern Technomech Pvt. Ltd.,2026-01-08,164,Bank Guarantee,A 4+,2026-04-21,61,Letter Of credit,A 4,2025-06-19,367,Letter Of credit,A 4,367,ULTRA HOT,3,"TRIPLE AGENCY INC — abandoned by CRISIL, CARE, AND BRICKWORK simultaneously",All 3 major raters have marked you non-cooperative — ACER offers fresh start with fast turnaround
Bhardwaj Overseas Pvt. Ltd.,2026-03-24,89,Term loans,B,2025-06-19,367,Term loans,BB-,2026-03-05,108,Term loans,B-,367,ULTRA HOT,3,"TRIPLE AGENCY INC — abandoned by CRISIL, CARE, AND BRICKWORK simultaneously",All 3 major raters have marked you non-cooperative — ACER offers fresh start with fast turnaround
Omsai Udyog India Pvt. Ltd.,2025-10-24,240,Bank Guarantee,D,2025-08-07,318,Bank Guarantee,D,2025-06-27,359,Bank Guarantee,D,359,HOT,3,"TRIPLE AGENCY INC — abandoned by CRISIL, CARE, AND BRICKWORK simultaneously",All 3 major raters have marked you non-cooperative — ACER offers fresh start with fast turnaround
Super Iron Foundry Ltd.,2025-08-28,297,Term loans,B+,2026-03-25,88,Term loans,B+,2025-07-01,355,Bank Guarantee,A 4,355,HOT,3,"TRIPLE AGENCY INC — abandoned by CRISIL, CARE, AND BRICKWORK simultaneously",All 3 major raters have marked you non-cooperative — ACER offers fresh start with fast turnaround
Winfab Equipments Pvt. Ltd.,2026-01-31,141,Bank Guarantee,A 4,2025-08-25,300,Bank Guarantee,A 4,2025-07-16,340,Bank Guarantee,A 4,340,HOT,3,"TRIPLE AGENCY INC — abandoned by CRISIL, CARE, AND BRICKWORK simultaneously",All 3 major raters have marked you non-cooperative — ACER offers fresh start with fast turnaround
Lemon Electronics Ltd.,2025-12-10,193,Letter Of credit,D,2026-04-20,62,Letter Of credit,D,2025-07-21,335,Letter Of credit,D,335,HOT,3,"TRIPLE AGENCY INC — abandoned by CRISIL, CARE, AND BRICKWORK simultaneously",All 3 major raters have marked you non-cooperative — ACER offers fresh start with fast turnaround
Kama Metal & Alloys Pvt. Ltd.,2026-03-18,95,Term loans,D,2025-09-19,275,Term loans,D,2025-07-30,326,Term loans,D,326,HOT,3,"TRIPLE AGENCY INC — abandoned by CRISIL, CARE, AND BRICKWORK simultaneously",All 3 major raters have marked you non-cooperative — ACER offers fresh start with fast turnaround
Sree Venkateswara Road Constructions Pvt. Ltd.,2026-02-27,114,Bank Guarantee,A 4,2025-08-08,317,Bank Guarantee,A 4,2025-12-04,199,Bank Guarantee,A 4,317,HOT,3,"TRIPLE AGENCY INC — abandoned by CRISIL, CARE, AND BRICKWORK simultaneously",All 3 major raters have marked you non-cooperative — ACER offers fresh start with fast turnaround
Supermint Exports Pvt. Ltd.,2025-08-11,314,Bank Guarantee,A 4+,2026-04-08,74,Non-government debt,B/A4,2026-01-12,160,Term loans,C,314,HOT,3,"TRIPLE AGENCY INC — abandoned by CRISIL, CARE, AND BRICKWORK simultaneously",All 3 major raters have marked you non-cooperative — ACER offers fresh start with fast turnaround
Pes Installations Pvt. Ltd.,2025-08-14,311,Bank Guarantee,A 4,2025-11-28,205,Term loans,B+,2025-09-04,290,Term loans,C,311,HOT,3,"TRIPLE AGENCY INC — abandoned by CRISIL, CARE, AND BRICKWORK simultaneously",All 3 major raters have marked you non-cooperative — ACER offers fresh start with fast turnaround
Supreme Paper Mills Ltd.,2025-08-30,295,Letter Of credit,A 4+,2026-02-12,129,Letter Of credit,A 4,2025-10-23,241,Letter Of credit,A 4,295,HOT,3,"TRIPLE AGENCY INC — abandoned by CRISIL, CARE, AND BRICKWORK simultaneously",All 3 major raters have marked you non-cooperative — ACER offers fresh start with fast turnaround
F T Textiles Pvt. Ltd.,2025-09-29,265,Term loans,BB,2025-09-01,293,Bank Guarantee,A 4,2026-03-13,100,Bank Guarantee,A 4,293,HOT,3,"TRIPLE AGENCY INC — abandoned by CRISIL, CARE, AND BRICKWORK simultaneously",All 3 major raters have marked you non-cooperative — ACER offers fresh start with fast turnaround
P N Gawande Gng. Prsg. & Oil Mill Pvt. Ltd.,2025-09-03,291,Term loans,B,2025-12-16,187,Fund based financial facility/instrument,B-,2025-09-25,269,Term loans,C,291,HOT,3,"TRIPLE AGENCY INC — abandoned by CRISIL, CARE, AND BRICKWORK simultaneously",All 3 major raters have marked you non-cooperative — ACER offers fresh start with fast turnaround
Primuss Pipes & Tubes Ltd.,2026-01-31,141,Letter Of credit,D,2025-09-04,290,Non-government debt,D,2025-12-09,194,Bank Guarantee,D,290,HOT,3,"TRIPLE AGENCY INC — abandoned by CRISIL, CARE, AND BRICKWORK simultaneously",All 3 major raters have marked you non-cooperative — ACER offers fresh start with fast turnaround
Ran India Steels Pvt. Ltd.,2025-09-05,289,Long term Loans,D,2025-09-09,285,Letter Of credit,D,2025-09-08,286,Letter Of credit,D,289,HOT,3,"TRIPLE AGENCY INC — abandoned by CRISIL, CARE, AND BRICKWORK simultaneously",All 3 major raters have marked you non-cooperative — ACER offers fresh start with fast turnaround
R A C Papers Ltd.,2025-09-30,264,Term loans,BB+,2026-04-22,60,Term loans,C,2026-04-10,72,Term loans,C,264,HOT,3,"TRIPLE AGENCY INC — abandoned by CRISIL, CARE, AND BRICKWORK simultaneously",All 3 major raters have marked you non-cooperative — ACER offers fresh start with fast turnaround
Mapsko Builders Pvt. Ltd.,2026-03-09,104,Bank Guarantee,A 4,2025-10-03,261,Term loans,B-,2026-03-05,108,Term loans,BB-,261,HOT,3,"TRIPLE AGENCY INC — abandoned by CRISIL, CARE, AND BRICKWORK simultaneously",All 3 major raters have marked you non-cooperative — ACER offers fresh start with fast turnaround
Shanker Wood Pvt. Ltd.,2026-03-30,83,Letter Of credit,A 4,2025-10-15,249,Non-fund-based financial facility/instrument,A 4,2025-10-07,257,Letter Of credit,A 4,257,HOT,3,"TRIPLE AGENCY INC — abandoned by CRISIL, CARE, AND BRICKWORK simultaneously",All 3 major raters have marked you non-cooperative — ACER offers fresh start with fast turnaround
Uttarakhand Engineering Products Pvt. Ltd.,2026-03-31,82,Long term Loans,B,2026-01-12,160,Non-government debt,B+/A4,2025-10-09,255,Letter Of credit,A 4,255,HOT,3,"TRIPLE AGENCY INC — abandoned by CRISIL, CARE, AND BRICKWORK simultaneously",All 3 major raters have marked you non-cooperative — ACER offers fresh start with fast turnaround
Sree Astalaxmi Spinning Mills Pvt. Ltd.,2026-02-28,113,Long term Loans,B,2026-04-08,74,Term loans,B-,2025-10-13,251,Bank Guarantee,A 4,251,HOT,3,"TRIPLE AGENCY INC — abandoned by CRISIL, CARE, AND BRICKWORK simultaneously",All 3 major raters have marked you non-cooperative — ACER offers fresh start with fast turnaround
Universal Seaport Pvt. Ltd.,2025-10-30,234,Long term Loans,B,2026-04-10,72,Fund based financial facility/instrument,B,2025-10-23,241,Term loans,C,241,HOT,3,"TRIPLE AGENCY INC — abandoned by CRISIL, CARE, AND BRICKWORK simultaneously",All 3 major raters have marked you non-cooperative — ACER offers fresh start with fast turnaround
Rangoli Industries Pvt. Ltd.,2025-12-05,198,Bank Guarantee,A 4,2025-10-31,233,Non-government debt,B-/A4,2026-02-19,122,Bank Guarantee,A 4,233,HOT,3,"TRIPLE AGENCY INC — abandoned by CRISIL, CARE, AND BRICKWORK simultaneously",All 3 major raters have marked you non-cooperative — ACER offers fresh start with fast turnaround
Good Greens India Pvt. Ltd.,2025-11-12,221,Long term Loans,B+,2026-03-23,90,Term loans,BB-,2025-12-08,195,Term loans,C,221,HOT,3,"TRIPLE AGENCY INC — abandoned by CRISIL, CARE, AND BRICKWORK simultaneously",All 3 major raters have marked you non-cooperative — ACER offers fresh start with fast turnaround
