Company Name,CRISIL_INC_Date,CRISIL_Days_Overdue,CRISIL_Instrument,CRISIL_Rating,CARE_INC_Date,CARE_Days_Overdue,CARE_Instrument,CARE_Rating,BW_INC_Date,BW_Days_Overdue,BW_Instrument,BW_Rating,Max_Days_Overdue,Urgency,Agencies_INC_Count,Why_Target,ACER_Pitch
Alamelu Balaji Spg. Mills Pvt. Ltd.,2025-08-26,299,Long term Loans,B,2025-05-09,408,Term loans,B-,2026-04-01,81,Term loans,C-,408,ULTRA HOT,3,"TRIPLE AGENCY INC — abandoned by CRISIL, CARE, AND BRICKWORK simultaneously",All 3 major raters have marked you non-cooperative — ACER offers fresh start with fast turnaround
Ilasakaa Steels Ltd.,2025-07-25,331,Letter Of credit,D,2025-05-15,402,Letter Of credit,D,2026-03-11,102,Letter Of credit,D,402,ULTRA HOT,3,"TRIPLE AGENCY INC — abandoned by CRISIL, CARE, AND BRICKWORK simultaneously",All 3 major raters have marked you non-cooperative — ACER offers fresh start with fast turnaround
Arya Steels Rolling (India) Pvt. Ltd.,2026-04-21,61,Letter Of credit,A 4,2026-04-10,72,Bank Guarantee,BB-,2025-05-30,387,Letter Of credit,A 4,387,ULTRA HOT,3,"TRIPLE AGENCY INC — abandoned by CRISIL, CARE, AND BRICKWORK simultaneously",All 3 major raters have marked you non-cooperative — ACER offers fresh start with fast turnaround
Ramdev Stainless Strips Pvt. Ltd.,2025-07-23,333,Term loans,B,2025-12-08,195,Term loans,B-,2025-05-30,387,Term loans,C,387,ULTRA HOT,3,"TRIPLE AGENCY INC — abandoned by CRISIL, CARE, AND BRICKWORK simultaneously",All 3 major raters have marked you non-cooperative — ACER offers fresh start with fast turnaround
J B Rolling Mills Ltd.,2025-11-24,209,Long term Loans,B,2025-06-04,382,Term loans,B+,2025-06-12,374,Term loans,B,382,ULTRA HOT,3,"TRIPLE AGENCY INC — abandoned by CRISIL, CARE, AND BRICKWORK simultaneously",All 3 major raters have marked you non-cooperative — ACER offers fresh start with fast turnaround
Med Freshe Pvt. Ltd.,2026-02-26,115,Letter Of credit,A 4,2026-04-21,61,Letter Of credit,A 4,2025-06-06,380,Letter Of credit,A 4,380,ULTRA HOT,3,"TRIPLE AGENCY INC — abandoned by CRISIL, CARE, AND BRICKWORK simultaneously",All 3 major raters have marked you non-cooperative — ACER offers fresh start with fast turnaround
R B Rungta Steels & Food Products Pvt. Ltd.,2026-03-31,82,Fund based financial facility/instrument,B,2026-03-05,108,Term loans,B-,2025-06-10,376,Term loans,C,376,ULTRA HOT,3,"TRIPLE AGENCY INC — abandoned by CRISIL, CARE, AND BRICKWORK simultaneously",All 3 major raters have marked you non-cooperative — ACER offers fresh start with fast turnaround
Aadarsh Pvt. Ltd.,2025-10-06,258,Bank Guarantee,A 4,2025-06-17,369,Letter Of credit,A 4,2026-02-09,132,Bank Guarantee,A 4,369,ULTRA HOT,3,"TRIPLE AGENCY INC — abandoned by CRISIL, CARE, AND BRICKWORK simultaneously",All 3 major raters have marked you non-cooperative — ACER offers fresh start with fast turnaround
Sweety Infrastructure Pvt. Ltd.,2025-08-29,296,Bank Guarantee,D,2026-04-24,58,Bank Guarantee,D,2025-06-17,369,Bank Guarantee,D,369,ULTRA HOT,3,"TRIPLE AGENCY INC — abandoned by CRISIL, CARE, AND BRICKWORK simultaneously",All 3 major raters have marked you non-cooperative — ACER offers fresh start with fast turnaround
New Modern Technomech Pvt. Ltd.,2026-01-08,164,Bank Guarantee,A 4+,2026-04-21,61,Letter Of credit,A 4,2025-06-19,367,Letter Of credit,A 4,367,ULTRA HOT,3,"TRIPLE AGENCY INC — abandoned by CRISIL, CARE, AND BRICKWORK simultaneously",All 3 major raters have marked you non-cooperative — ACER offers fresh start with fast turnaround
Bhardwaj Overseas Pvt. Ltd.,2026-03-24,89,Term loans,B,2025-06-19,367,Term loans,BB-,2026-03-05,108,Term loans,B-,367,ULTRA HOT,3,"TRIPLE AGENCY INC — abandoned by CRISIL, CARE, AND BRICKWORK simultaneously",All 3 major raters have marked you non-cooperative — ACER offers fresh start with fast turnaround
