Sector,Total_Companies,Tier1_Companies,Tier2_Companies,Avg_Score,Avg_Days_Overdue,Top_Company
Other,388,1,387,3.1,375.3,Aadarsh Pvt. Ltd.
Construction,178,10,168,3.2,379.5,A & T Infracon Pvt. Ltd.
Steel & Metals,145,19,126,3.4,379.9,Arya Steels Rolling (India) Pvt. Ltd.
Manufacturing,112,5,107,3.1,377.5,Indica Conveyors Ltd.
Agro & Food,84,11,73,3.4,381.5,Med Freshe Pvt. Ltd.
Textiles,59,4,55,3.2,376.5,Alamelu Balaji Spg. Mills Pvt. Ltd.
IT & Technology,55,4,51,3.3,384.3,New Modern Technomech Pvt. Ltd.
Chemicals & Pharma,53,5,48,3.3,382.4,Khedut Solvexp Pvt. Ltd.
Automobiles,52,4,48,3.2,379.1,Ocean Motors Pvt. Ltd.
Energy,52,1,51,3.1,369.6,Thrive Solar Energy Pvt. Ltd.
Logistics,51,7,44,3.4,373.1,Supermint Exports Pvt. Ltd.
Paper & Packaging,27,2,25,3.2,372.6,Anand Triplex Board Pvt. Ltd.
Mining & Minerals,24,3,21,3.4,387.7,Passion Vitrified Pvt. Ltd.
Healthcare,24,2,22,3.2,382.8,Patel Hospital Pvt. Ltd.
Media & Retail,24,1,23,3.1,378.8,Mohammed Enterprises Pvt. Ltd.
Jewellery,16,1,15,3.2,386.8,Osia Gems Pvt. Ltd.
BFSI,15,0,15,3.0,347.1,Riverbank Developers Pvt. Ltd.
Hotels & Tourism,8,0,8,3.1,346.0,Keshav Holiday Resort Pvt. Ltd.
Ship Breaking,2,1,1,5.0,391.0,Ghaziabad Ship Breakers Pvt. Ltd.
