Sector,Companies,Avg_Score,Avg_Days_Overdue,Total_Score_Points,Top_Company
Steel & Metals,19,5.5,387.6,104,Arya Steels Rolling (India) Pvt. Ltd.
Agro & Food,11,5.6,384.7,62,Med Freshe Pvt. Ltd.
Construction,10,5.3,394.2,53,A & T Infracon Pvt. Ltd.
Logistics,7,5.6,384.0,39,Supermint Exports Pvt. Ltd.
Chemicals & Pharma,5,5.6,398.2,28,Khedut Solvexp Pvt. Ltd.
Manufacturing,5,5.2,375.4,26,Indica Conveyors Ltd.
Textiles,4,5.2,394.0,21,Alamelu Balaji Spg. Mills Pvt. Ltd.
IT & Technology,4,6.0,377.5,24,New Modern Technomech Pvt. Ltd.
Automobiles,4,5.2,389.8,21,Ocean Motors Pvt. Ltd.
Mining & Minerals,3,5.3,389.3,16,Passion Vitrified Pvt. Ltd.
Paper & Packaging,2,5.0,389.0,10,Anand Triplex Board Pvt. Ltd.
Healthcare,2,5.0,395.0,10,Patel Hospital Pvt. Ltd.
Energy,1,5.0,401.0,5,Thrive Solar Energy Pvt. Ltd.
Jewellery,1,5.0,367.0,5,Osia Gems Pvt. Ltd.
Media & Retail,1,6.0,393.0,6,Mohammed Enterprises Pvt. Ltd.
Other,1,6.0,368.0,6,Aadarsh Pvt. Ltd.
Ship Breaking,1,6.0,394.0,6,Ghaziabad Ship Breakers Pvt. Ltd.
