Company Name,Rating_Date_Parsed,Agency,Instrument,Grade,Rating,Amount_Cr,Days_Since,Urgency,Inferred_State,Geo_Signal,Year,Month,Month_Str,Why_Target,ACER_Pitch
Best Koki Automotive Pvt. Ltd.,2025-05-06,ACUITE,Long term Loans,Inadequate Safety,BB+,12.00,412,ULTRA HOT,Unknown,Unknown,2025,5,2025-05,ACUITE INC — accelerating INC pattern in 2025-2026; dissatisfied client,ACUITE has marked you non-cooperative — ACER offers faster turnaround and analyst access
E L E C Steel Processing Inds. Ltd.,2025-05-07,ACUITE,Letter Of credit,High Risk,A 4+,20.00,411,ULTRA HOT,Unknown,Unknown,2025,5,2025-05,ACUITE INC — accelerating INC pattern in 2025-2026; dissatisfied client,ACUITE has marked you non-cooperative — ACER offers faster turnaround and analyst access
E L E C Steel Processing Inds. Ltd.,2025-05-07,ACUITE,Short-term loan,High Risk,A 4+,0.75,411,ULTRA HOT,Unknown,Unknown,2025,5,2025-05,ACUITE INC — accelerating INC pattern in 2025-2026; dissatisfied client,ACUITE has marked you non-cooperative — ACER offers faster turnaround and analyst access
E L E C Steel Processing Inds. Ltd.,2025-05-07,ACUITE,Term loans,Inadequate Safety,BB+,0.94,411,ULTRA HOT,Unknown,Unknown,2025,5,2025-05,ACUITE INC — accelerating INC pattern in 2025-2026; dissatisfied client,ACUITE has marked you non-cooperative — ACER offers faster turnaround and analyst access
E L E C Steel Processing Inds. Ltd.,2025-05-07,ACUITE,Term loans,Inadequate Safety,BB+,16.78,411,ULTRA HOT,Unknown,Unknown,2025,5,2025-05,ACUITE INC — accelerating INC pattern in 2025-2026; dissatisfied client,ACUITE has marked you non-cooperative — ACER offers faster turnaround and analyst access
Kallam Brothers Cottons Pvt. Ltd.,2025-05-07,ACUITE,Letter Of credit,High Risk,A 4,12.00,411,ULTRA HOT,Unknown,Unknown,2025,5,2025-05,ACUITE INC — accelerating INC pattern in 2025-2026; dissatisfied client,ACUITE has marked you non-cooperative — ACER offers faster turnaround and analyst access
Kallam Brothers Cottons Pvt. Ltd.,2025-05-07,ACUITE,Long term Loans,Substantial Risk,C,1.32,411,ULTRA HOT,Unknown,Unknown,2025,5,2025-05,ACUITE INC — accelerating INC pattern in 2025-2026; dissatisfied client,ACUITE has marked you non-cooperative — ACER offers faster turnaround and analyst access
Kallam Brothers Cottons Pvt. Ltd.,2025-05-07,ACUITE,Term loans,Substantial Risk,C,30.13,411,ULTRA HOT,Unknown,Unknown,2025,5,2025-05,ACUITE INC — accelerating INC pattern in 2025-2026; dissatisfied client,ACUITE has marked you non-cooperative — ACER offers faster turnaround and analyst access
Archon Powerinfra India Pvt. Ltd.,2025-05-07,ACUITE,Bank Guarantee,High Risk,A 4,4.50,411,ULTRA HOT,Unknown,Unknown,2025,5,2025-05,ACUITE INC — accelerating INC pattern in 2025-2026; dissatisfied client,ACUITE has marked you non-cooperative — ACER offers faster turnaround and analyst access
Y F C Projects Pvt. Ltd.,2025-05-07,ACUITE,Letter Of credit,Default,D,20.00,411,ULTRA HOT,Unknown,Unknown,2025,5,2025-05,ACUITE INC — accelerating INC pattern in 2025-2026; dissatisfied client,ACUITE has marked you non-cooperative — ACER offers faster turnaround and analyst access
