Company Name,Rating_Date_Parsed,Agency,Instrument,Grade,Rating,Amount_Cr,Days_Since,Urgency,Inferred_State,Why_Target,ACER_Pitch
Premium Laminators Pvt. Ltd.,2026-02-02,CARE,Non-government debt,High Risk,B+/A4,1.41,140,LOW,Unknown,CARE INC Feb 2026 — 140 days overdue; instrument: Non-government debt,CARE INC since Feb 2026: 90-120 days INC — fresh enough that they remember the INC decision. Instrument: Non-government debt. ACER can rerate quickly.
Feedback Infra Pvt. Ltd.,2026-02-03,CARE,Non-government debt,Default,D,239.00,139,LOW,Unknown,CARE INC Feb 2026 — 139 days overdue; instrument: Non-government debt,CARE INC since Feb 2026: 90-120 days INC — fresh enough that they remember the INC decision. Instrument: Non-government debt. ACER can rerate quickly.
Khedut Solvexp Pvt. Ltd.,2026-02-03,CARE,Non-government debt,High Risk,B+/A4,45.00,139,LOW,Unknown,CARE INC Feb 2026 — 139 days overdue; instrument: Non-government debt,CARE INC since Feb 2026: 90-120 days INC — fresh enough that they remember the INC decision. Instrument: Non-government debt. ACER can rerate quickly.
Singhal Commodities Pvt. Ltd.,2026-02-03,CARE,Non-government debt,High Risk,B-/A4,5.00,139,LOW,Unknown,CARE INC Feb 2026 — 139 days overdue; instrument: Non-government debt,CARE INC since Feb 2026: 90-120 days INC — fresh enough that they remember the INC decision. Instrument: Non-government debt. ACER can rerate quickly.
Tara Tarini Constructions Pvt. Ltd.,2026-02-03,CARE,Non-government debt,Inadequate Safety,BB/A4,34.38,139,LOW,Unknown,CARE INC Feb 2026 — 139 days overdue; instrument: Non-government debt,CARE INC since Feb 2026: 90-120 days INC — fresh enough that they remember the INC decision. Instrument: Non-government debt. ACER can rerate quickly.
Milton Industries Ltd.,2026-02-04,CARE,Non-government debt,High Risk,B+/A4,10.00,138,LOW,Unknown,CARE INC Feb 2026 — 138 days overdue; instrument: Non-government debt,CARE INC since Feb 2026: 90-120 days INC — fresh enough that they remember the INC decision. Instrument: Non-government debt. ACER can rerate quickly.
Anlon Healthcare Ltd.,2026-02-04,CARE,Non-government debt,Default,D,3.00,138,LOW,Unknown,CARE INC Feb 2026 — 138 days overdue; instrument: Non-government debt,CARE INC since Feb 2026: 90-120 days INC — fresh enough that they remember the INC decision. Instrument: Non-government debt. ACER can rerate quickly.
Bharat Electrodrives Pvt. Ltd.,2026-02-05,CARE,Non-government debt,Inadequate Safety,BB+/A4+,4.31,137,LOW,Unknown,CARE INC Feb 2026 — 137 days overdue; instrument: Non-government debt,CARE INC since Feb 2026: 90-120 days INC — fresh enough that they remember the INC decision. Instrument: Non-government debt. ACER can rerate quickly.
Surya Wires Pvt. Ltd.,2026-02-05,CARE,Non-government debt,Default,D,0.25,137,LOW,Unknown,CARE INC Feb 2026 — 137 days overdue; instrument: Non-government debt,CARE INC since Feb 2026: 90-120 days INC — fresh enough that they remember the INC decision. Instrument: Non-government debt. ACER can rerate quickly.
Ajay (India) Ltd.,2026-02-05,CARE,Non-government debt,High Risk,B/A4,13.50,137,LOW,Unknown,CARE INC Feb 2026 — 137 days overdue; instrument: Non-government debt,CARE INC since Feb 2026: 90-120 days INC — fresh enough that they remember the INC decision. Instrument: Non-government debt. ACER can rerate quickly.
Shubh Aluminium Pvt. Ltd.,2026-02-06,CARE,Non-government debt,Substantial Risk,C/A4,14.00,136,LOW,Unknown,CARE INC Feb 2026 — 136 days overdue; instrument: Non-government debt,CARE INC since Feb 2026: 90-120 days INC — fresh enough that they remember the INC decision. Instrument: Non-government debt. ACER can rerate quickly.
Sanauto Engineers (India) Pvt. Ltd.,2026-02-09,CARE,Non-government debt,Inadequate Safety,BB-/A4,5.00,133,LOW,Unknown,CARE INC Feb 2026 — 133 days overdue; instrument: Non-government debt,CARE INC since Feb 2026: 90-120 days INC — fresh enough that they remember the INC decision. Instrument: Non-government debt. ACER can rerate quickly.
