Company_Name,Rating_Date,Instruments,Size,Current_Rating,Outlook,Days_Since_Rating,Urgency,Current_Rater,Why_Target,ACER_Pitch
Pioneer Steels,"June 23, 2025",Long Term Bank Facilities,Rs. 71.50 Cr.,IVR BB (INC)(Downgraded),Negative,364,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Neccon Power and Infra Limited,"June 24, 2025",Long Term Bank Facilities,Rs. 89.84 Cr.,IVR D (INC)(Downgraded),Nil,363,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Neccon Power and Infra Limited,"June 24, 2025",Short Term Bank Facilities,Rs. 400.16 Cr.,IVR D (INC)(Downgraded),Nil,363,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Gyan Construction Company,"June 24, 2025",Long Term Bank Facilities- Cash Credit,Rs. 16.00 Cr.,IVR BB- (INC)(Downgraded),Negative,363,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Gyan Construction Company,"June 24, 2025",Short Term Bank Facilities- Bank Guarantee,Rs. 25.00 Cr.,IVR A4 (INC)(Reaffirmed),Nil,363,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Hindustan Rasayan Private Limited,"June 24, 2025",Long Term Bank Facilities,Rs. 9.44 Cr.,IVR BB- (INC)(Downgraded),Negative,363,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Hindustan Rasayan Private Limited,"June 24, 2025",Long Term/ Short Term Bank Facilities,Rs. 14.25 Cr.,IVR BB-/ IVR A4 (INC) (Downgraded/Reaffirmed),Negative/-,363,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Stark Ridge Paper Private Limited,"June 25, 2025",Long Term Bank Facilities,Rs. 55.00 Cr.,IVR B (INC)(Downgraded),Negative,362,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
MM Aqua Technologies Limited,"June 25, 2025",Long Term Facilities,Rs. 12.00 Cr.,IVR C+ (INC) (Downgraded),Nil,362,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
MM Aqua Technologies Limited,"June 25, 2025",Short Term Facilities,Rs. 7.50 Cr.,IVR A4 (INC)(Reaffirmed),Nil,362,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Sankar Sai Consumer Product,"June 25, 2025",Long Term Facilities,Rs. 18.00 Cr.,IVR B- (INC)(Reaffirmed),Negative,362,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Sankar Sai Consumer Product,"June 25, 2025",Short Term Facilities,Rs. 8.00 Cr.,IVR A4 (INC)(Reaffirmed),Nil,362,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Kolhapur Ratnagiri Highways Private Limited,"June 25, 2025",Long Term Bank Facilities,Rs. 440.00 Cr.,IVR BB+ (INC)(Downgraded),Negative,362,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Dynamic Air Engineering India Private Limited,"June 26, 2025",Long Term Bank Facilities,Rs. 17.32 Cr.,IVR B- (INC)(Downgraded),Negative,361,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Nova Textiles Private Limited,"June 26, 2025",Long Term Bank Facilities,Rs. 5.53 Cr.,IVR BB+ (INC)(Downgraded),Negative,361,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Nova Textiles Private Limited,"June 26, 2025",Short Term Bank Facilities,Rs. 50.00 Cr.,IVR A4+ (INC)(Downgraded),Nil,361,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
SVASCA Industries India Limited,"June 27, 2025",Long Term Bank Facilities,Rs. 12.00 Cr.,IVR B+ (INC)(Downgraded),Negative,360,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
SVASCA Industries India Limited,"June 27, 2025",Short Term Bank Facilities,Rs. 26.00 Cr.,IVR A4 (INC)(Reaffirmed),Nil,360,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
LTC Commercial Company Private Limited,"June 27, 2025",Long Term Bank Facilities,Rs. 0.96 Cr.,IVR BB (INC)(Downgraded),Negative,360,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
LTC Commercial Company Private Limited,"June 27, 2025",Short Term Bank Facilities,Rs. 24.09 Cr.,IVR A4 (INC)(Downgraded),Nil,360,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
J M Mhatre Infra Private Limited (JMMIPL),"June 27, 2025",Long Term Bank Facilities,Rs. 135.71 Cr.,IVR BB+ (INC)(Downgraded),Negative,360,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
J M Mhatre Infra Private Limited (JMMIPL),"June 27, 2025",Short Term Bank Facilities,Rs. 375.00 Cr.,IVR A4+ (INC)(Downgraded),Nil,360,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Gita Met Industries,"June 30, 2025",Long Term Bank Facilities,Rs. 18.10 Cr.,IVR B- (INC)(Downgraded),Negative,357,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Gita Met Industries,"June 30, 2025",Short Term Bank Facilities,Rs. 0.67 Cr.,IVR A4 (INC)(Reaffirmed),Nil,357,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Sagar Metallics Private Limited,"June 30, 2025",Long Term Bank Facilities,Rs. 14.57 Cr.,IVR B (INC)(Downgraded),Negative,357,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
