YearMonth,Infomerics_Total,Infomerics_INC,Infomerics_INC_Rate_Pct
2016-12,1,0,0.0
2017-10,1,0,0.0
2017-12,2,0,0.0
2018-02,3,0,0.0
2018-04,4,0,0.0
2018-05,1,0,0.0
2018-06,1,0,0.0
2018-07,1,0,0.0
2018-08,1,0,0.0
2018-09,4,0,0.0
2018-12,10,0,0.0
2019-01,6,0,0.0
2019-02,1,0,0.0
2019-05,1,0,0.0
2019-06,2,0,0.0
2019-08,4,0,0.0
2019-10,5,0,0.0
2019-11,1,0,0.0
2019-12,1,0,0.0
2020-03,5,0,0.0
2020-04,2,0,0.0
2020-05,4,0,0.0
2020-06,1,0,0.0
2020-08,7,0,0.0
2020-09,7,0,0.0
2020-10,10,0,0.0
2020-11,20,0,0.0
2020-12,6,0,0.0
2021-01,13,0,0.0
2021-02,6,0,0.0
2021-03,11,0,0.0
2021-04,10,0,0.0
2021-05,5,0,0.0
2021-06,14,0,0.0
2021-07,7,0,0.0
2021-08,17,0,0.0
2021-09,12,1,8.3
2021-10,25,3,12.0
2021-11,2,1,50.0
2021-12,7,7,100.0
2022-01,6,2,33.3
2022-02,2,0,0.0
2022-03,6,0,0.0
2022-04,29,21,72.4
2022-05,12,2,16.7
2022-06,7,0,0.0
2022-07,19,0,0.0
2022-09,12,0,0.0
2022-10,11,4,36.4
2022-11,30,3,10.0
2022-12,15,4,26.7
2023-01,25,1,4.0
2023-02,26,3,11.5
2023-03,19,6,31.6
2023-04,7,3,42.9
2023-05,45,34,75.6
2023-06,33,15,45.5
2023-07,9,4,44.4
2023-08,13,1,7.7
2023-09,11,2,18.2
2023-10,26,5,19.2
2023-11,14,2,14.3
2023-12,18,4,22.2
2024-01,50,2,4.0
2024-02,48,3,6.2
2024-03,20,1,5.0
2024-04,11,0,0.0
2024-05,17,0,0.0
2024-06,13,0,0.0
2024-07,13,0,0.0
2024-08,30,0,0.0
2024-09,24,0,0.0
2024-10,23,0,0.0
2024-11,65,1,1.5
2024-12,190,24,12.6
2025-01,357,62,17.4
2025-02,423,63,14.9
2025-03,697,125,17.9
2025-04,510,110,21.6
2025-05,487,155,31.8
2025-06,469,103,22.0
2025-07,603,138,22.9
2025-08,482,109,22.6
2025-09,667,178,26.7
2025-10,425,131,30.8
2025-11,482,133,27.6
2025-12,764,172,22.5
2026-01,654,200,30.6
2026-02,274,90,32.8
