Company Name,Date,Instruments,Size,Current Ratings,Outlook,Rating_Date,Days_Since,Urgency,In_D365,Match_Type,D365_Agencies,D365_Also_INC,Why_Target,ACER_Pitch
Imperial Granites Pvt Ltd,"October 21, 2021",Long Term Bank Facilities,Rs. 9.00 Cr.,IVR BB (INC)(Reaffirmed & Withdrawn),Nil,2021-10-21,1705.0,ULTRA HOT,True,Exact,CRISIL,YES,ULTRA HOT (1705 days overdue) + MULTI-AGENCY: also in D365 with CRISIL,MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
Imperial Granites Pvt Ltd,"October 21, 2021",Short Term Bank Facilities,Rs. 5.00 Cr.,IVR A4 (INC)(Reaffirmed & Withdrawn),Nil,2021-10-21,1705.0,ULTRA HOT,True,Exact,CRISIL,YES,ULTRA HOT (1705 days overdue) + MULTI-AGENCY: also in D365 with CRISIL,MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
Sai Point Finance Corporation Limited,"November 25, 2021",Long Term Fund Based Limits - Cash Credit,Rs. 50.00 Cr.,IVR BB (INC)(Withdrawn),Nil,2021-11-25,1670.0,ULTRA HOT,True,Fuzzy,ACUITE,NO,ULTRA HOT (1670 days overdue) + MULTI-AGENCY: also in D365 with ACUITE,MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
Sri Anagha Refineries Private Limited,"December 20, 2021",Long Term Bank Facilities,Rs. 14.85 Cr.,IVR BB+ (INC)(Reaffirmed and Withdrawn),Nil,2021-12-20,1645.0,ULTRA HOT,True,Exact,CARE,YES,ULTRA HOT (1645 days overdue) + MULTI-AGENCY: also in D365 with CARE,MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
Sri Anagha Refineries Private Limited,"December 20, 2021",Short Term Bank Facilities,135.15 Cr.,IVR A4+ (INC)(Reaffirmed and Withdrawn),Nil,2021-12-20,1645.0,ULTRA HOT,True,Exact,CARE,YES,ULTRA HOT (1645 days overdue) + MULTI-AGENCY: also in D365 with CARE,MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
Sri Anagha Refineries Private Limited,"December 20, 2021",Long Term Bank Facilities,Rs. 14.85 Cr.,IVR BB+ (INC)(Reaffirmed and Withdrawn),Nil,2021-12-20,1645.0,ULTRA HOT,True,Exact,CARE,YES,ULTRA HOT (1645 days overdue) + MULTI-AGENCY: also in D365 with CARE,MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
Sri Anagha Refineries Private Limited,"December 20, 2021",Short Term Bank Facilities,135.15 Cr.,IVR A4+ (INC)(Reaffirmed and Withdrawn),Nil,2021-12-20,1645.0,ULTRA HOT,True,Exact,CARE,YES,ULTRA HOT (1645 days overdue) + MULTI-AGENCY: also in D365 with CARE,MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
Deccan Ferro Alloys Private Limited,"January 8, 2022",Long Term Fund Based Facility,Rs. 15.00 Cr.,IVR BB+ (INC)(Reaffirmed and Withdrawn),Nil,2022-01-08,1626.0,ULTRA HOT,True,Exact,ACUITE,YES,ULTRA HOT (1626 days overdue) + MULTI-AGENCY: also in D365 with ACUITE,MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
Deccan Ferro Alloys Private Limited,"January 8, 2022",Short Term Bank Facilities,Rs. 30.00 Cr.,IVR A4+ (INC)(Reaffirmed and Withdrawn),Nil,2022-01-08,1626.0,ULTRA HOT,True,Exact,ACUITE,YES,ULTRA HOT (1626 days overdue) + MULTI-AGENCY: also in D365 with ACUITE,MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
Radha Smelters Private Limited,"April 11, 2022",Long Term Fund Based Facility - Cash Credit,Rs. 61.00 Cr.,IVR BB+ (INC)(Reaffirmed and Withdrawn),Nil,2022-04-11,1533.0,ULTRA HOT,True,Exact,"CARE, CRISIL",NO,"ULTRA HOT (1533 days overdue) + MULTI-AGENCY: also in D365 with CARE, CRISIL",MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
