YearMonth_str,Instrument_Group,Total_Records,INC_Records,INC_Rate_Pct
2025-05,Bank Guarantee,524,305,58.2
2025-05,Fund Based,251,89,35.5
2025-05,Letter of Credit,362,214,59.1
2025-05,NCD / Non-Gov Debt,360,85,23.6
2025-05,Non-Fund Based,313,107,34.2
2025-05,Short-term Loan,63,14,22.2
2025-05,Term Loans,1526,617,40.4
2025-06,Bank Guarantee,585,296,50.6
2025-06,Fund Based,315,101,32.1
2025-06,Letter of Credit,410,211,51.5
2025-06,NCD / Non-Gov Debt,446,84,18.8
2025-06,Non-Fund Based,446,218,48.9
2025-06,Short-term Loan,62,8,12.9
2025-06,Term Loans,1677,691,41.2
2025-07,Bank Guarantee,735,370,50.3
2025-07,Fund Based,398,153,38.4
2025-07,Letter of Credit,532,278,52.3
2025-07,NCD / Non-Gov Debt,588,97,16.5
2025-07,Non-Fund Based,530,222,41.9
2025-07,Short-term Loan,74,22,29.7
2025-07,Term Loans,2136,876,41.0
2025-08,Bank Guarantee,576,290,50.3
2025-08,Fund Based,287,117,40.8
2025-08,Letter of Credit,379,183,48.3
2025-08,NCD / Non-Gov Debt,634,229,36.1
2025-08,Non-Fund Based,279,85,30.5
2025-08,Short-term Loan,42,14,33.3
2025-08,Term Loans,1666,666,40.0
2025-09,Bank Guarantee,713,309,43.3
2025-09,Fund Based,381,124,32.5
2025-09,Letter of Credit,481,238,49.5
2025-09,NCD / Non-Gov Debt,772,196,25.4
2025-09,Non-Fund Based,339,82,24.2
2025-09,Short-term Loan,81,34,42.0
2025-09,Term Loans,2031,719,35.4
2025-10,Bank Guarantee,608,270,44.4
2025-10,Fund Based,323,107,33.1
2025-10,Letter of Credit,398,180,45.2
2025-10,NCD / Non-Gov Debt,670,85,12.7
2025-10,Non-Fund Based,296,73,24.7
2025-10,Short-term Loan,64,8,12.5
2025-10,Term Loans,1782,617,34.6
2025-11,Bank Guarantee,576,317,55.0
2025-11,Fund Based,317,128,40.4
2025-11,Letter of Credit,387,219,56.6
2025-11,NCD / Non-Gov Debt,574,138,24.0
2025-11,Non-Fund Based,261,83,31.8
2025-11,Short-term Loan,50,18,36.0
2025-11,Term Loans,1480,628,42.4
2025-12,Bank Guarantee,614,281,45.8
2025-12,Fund Based,310,95,30.6
2025-12,Letter of Credit,439,196,44.6
2025-12,NCD / Non-Gov Debt,804,117,14.6
2025-12,Non-Fund Based,311,78,25.1
2025-12,Short-term Loan,75,21,28.0
2025-12,Term Loans,1782,597,33.5
2026-01,Bank Guarantee,563,238,42.3
2026-01,Fund Based,309,126,40.8
2026-01,Letter of Credit,370,183,49.5
2026-01,NCD / Non-Gov Debt,777,209,26.9
2026-01,Non-Fund Based,270,73,27.0
2026-01,Short-term Loan,51,14,27.5
2026-01,Term Loans,1655,641,38.7
2026-02,Bank Guarantee,573,303,52.9
2026-02,Fund Based,286,97,33.9
2026-02,Letter of Credit,402,208,51.7
2026-02,NCD / Non-Gov Debt,558,111,19.9
2026-02,Non-Fund Based,247,73,29.6
2026-02,Short-term Loan,46,16,34.8
2026-02,Term Loans,1613,640,39.7
2026-03,Bank Guarantee,648,294,45.4
2026-03,Fund Based,392,144,36.7
2026-03,Letter of Credit,432,217,50.2
2026-03,NCD / Non-Gov Debt,842,92,10.9
2026-03,Non-Fund Based,336,92,27.4
2026-03,Short-term Loan,90,11,12.2
2026-03,Term Loans,1837,571,31.1
2026-04,Bank Guarantee,675,319,47.3
2026-04,Fund Based,316,111,35.1
2026-04,Letter of Credit,430,215,50.0
2026-04,NCD / Non-Gov Debt,826,227,27.5
2026-04,Non-Fund Based,283,72,25.4
2026-04,Short-term Loan,90,22,24.4
2026-04,Term Loans,1871,681,36.4
2026-05,Bank Guarantee,3,1,33.3
2026-05,Fund Based,2,1,50.0
2026-05,Letter of Credit,3,1,33.3
2026-05,NCD / Non-Gov Debt,10,1,10.0
2026-05,Non-Fund Based,3,1,33.3
2026-05,Term Loans,19,5,26.3
