YearMonth,ACUITE,BRICKWORK,CARE,CRISIL,ICRA,IND-RA
2025-05,32.3,97.3,54.3,34.3,33.8,13.2
2025-06,25.7,94.5,40.4,29.7,30.3,49.1
2025-07,40.1,81.1,26.0,42.8,25.4,43.6
2025-08,50.1,77.4,28.4,38.2,24.6,50.1
2025-09,45.6,75.4,24.0,33.2,26.5,38.7
2025-10,38.4,83.7,20.5,35.9,26.8,13.7
2025-11,39.1,86.3,39.2,42.8,26.4,32.4
2025-12,38.0,73.3,18.2,37.7,24.2,21.9
2026-01,40.7,85.2,19.8,39.6,28.3,47.6
2026-02,44.3,76.6,39.7,37.3,29.9,9.4
2026-03,42.6,84.2,16.9,30.4,17.5,10.4
2026-04,50.7,66.8,28.6,36.2,29.7,38.8
2026-05,,,34.5,,0.0,0.0
