Company,Agencies_INC_April2026,Agency_Count,Instruments,Max_Days_Since_Rating,Urgency,Data_Source,Why_Target,ACER_Pitch
Krisha Distribution Pvt. Ltd.,BRICKWORK | CRISIL,2,Bank Guarantee,83.0,LOW,D365,INC at 2 agencies in April 2026 fiscal year-end peak,"Your credit ratings at BRICKWORK, CRISIL are ALL INC from April 2026. ACER offers consolidated rating resolution for all your instruments in 21 days."
K B K Biotech Pvt. Ltd.,CARE | ICRA,2,Bank Guarantee | Non-government debt | Term loans,82.0,LOW,D365,INC at 2 agencies in April 2026 fiscal year-end peak,"Your credit ratings at CARE, ICRA are ALL INC from April 2026. ACER offers consolidated rating resolution for all your instruments in 21 days."
Rohan Dyes & Intermediates Ltd.,ACUITE | BRICKWORK,2,Bank Guarantee | Letter Of credit | Non-fund-based financial facility/instrument,82.0,LOW,D365,INC at 2 agencies in April 2026 fiscal year-end peak,"Your credit ratings at ACUITE, BRICKWORK are ALL INC from April 2026. ACER offers consolidated rating resolution for all your instruments in 21 days."
Veda Biofuel Ltd.,BRICKWORK | IND-RA,2,Term loans,82.0,LOW,D365,INC at 2 agencies in April 2026 fiscal year-end peak,"Your credit ratings at BRICKWORK, IND-RA are ALL INC from April 2026. ACER offers consolidated rating resolution for all your instruments in 21 days."
Suyash Chemical & Fertilizer Pvt. Ltd.,BRICKWORK | CARE,2,Bank Guarantee | Fund based financial facility/instrument | Term loans,78.0,LOW,D365,INC at 2 agencies in April 2026 fiscal year-end peak,"Your credit ratings at BRICKWORK, CARE are ALL INC from April 2026. ACER offers consolidated rating resolution for all your instruments in 21 days."
Sree Mangayarkarasi Mills Pvt. Ltd.,BRICKWORK | CARE,2,Bank Guarantee | Letter Of credit | Term loans,77.0,LOW,D365,INC at 2 agencies in April 2026 fiscal year-end peak,"Your credit ratings at BRICKWORK, CARE are ALL INC from April 2026. ACER offers consolidated rating resolution for all your instruments in 21 days."
Apurvakriti Infrastructure Pvt. Ltd.,ACUITE | CARE,2,Bank Guarantee,75.0,LOW,D365,INC at 2 agencies in April 2026 fiscal year-end peak,"Your credit ratings at ACUITE, CARE are ALL INC from April 2026. ACER offers consolidated rating resolution for all your instruments in 21 days."
Arya Steels Rolling (India) Pvt. Ltd.,CARE | CRISIL,2,Bank Guarantee | Letter Of credit,74.0,LOW,D365,INC at 2 agencies in April 2026 fiscal year-end peak,"Your credit ratings at CARE, CRISIL are ALL INC from April 2026. ACER offers consolidated rating resolution for all your instruments in 21 days."
R A C Papers Ltd.,BRICKWORK | CARE,2,Letter Of credit | Term loans,74.0,LOW,D365,INC at 2 agencies in April 2026 fiscal year-end peak,"Your credit ratings at BRICKWORK, CARE are ALL INC from April 2026. ACER offers consolidated rating resolution for all your instruments in 21 days."
S S G Pharma Pvt. Ltd.,ACUITE | CRISIL,2,Long term Loans | Term loans,74.0,LOW,D365,INC at 2 agencies in April 2026 fiscal year-end peak,"Your credit ratings at ACUITE, CRISIL are ALL INC from April 2026. ACER offers consolidated rating resolution for all your instruments in 21 days."
Mittapally Agro Products Pvt. Ltd.,CARE | CRISIL,2,Bank Guarantee | Non-government debt,70.0,LOW,D365,INC at 2 agencies in April 2026 fiscal year-end peak,"Your credit ratings at CARE, CRISIL are ALL INC from April 2026. ACER offers consolidated rating resolution for all your instruments in 21 days."
Natraj Electro Casting Pvt. Ltd.,CARE | CRISIL,2,Bank Guarantee | Non-government debt | Term loans,70.0,LOW,D365,INC at 2 agencies in April 2026 fiscal year-end peak,"Your credit ratings at CARE, CRISIL are ALL INC from April 2026. ACER offers consolidated rating resolution for all your instruments in 21 days."
New Modern Technomech Pvt. Ltd.,ACUITE | CARE,2,Bank Guarantee | Letter Of credit | Non-government debt,68.0,LOW,D365,INC at 2 agencies in April 2026 fiscal year-end peak,"Your credit ratings at ACUITE, CARE are ALL INC from April 2026. ACER offers consolidated rating resolution for all your instruments in 21 days."
Balaji Agro Pvt. Ltd.,ACUITE | CRISIL,2,Letter Of credit | Long term Loans | Short-term loan,67.0,LOW,D365,INC at 2 agencies in April 2026 fiscal year-end peak,"Your credit ratings at ACUITE, CRISIL are ALL INC from April 2026. ACER offers consolidated rating resolution for all your instruments in 21 days."
Nimbus Motors Pvt. Ltd.,CARE | CRISIL,2,Fund based financial facility/instrument | Term loans,62.0,LOW,D365,INC at 2 agencies in April 2026 fiscal year-end peak,"Your credit ratings at CARE, CRISIL are ALL INC from April 2026. ACER offers consolidated rating resolution for all your instruments in 21 days."
Vardhman Rice Exports Pvt. Ltd.,ACUITE | CRISIL,2,Fund based financial facility/instrument | Term loans,62.0,LOW,D365,INC at 2 agencies in April 2026 fiscal year-end peak,"Your credit ratings at ACUITE, CRISIL are ALL INC from April 2026. ACER offers consolidated rating resolution for all your instruments in 21 days."
Su-Solartech Systems Pvt. Ltd.,ACUITE | CRISIL,2,Bank Guarantee | Fund based financial facility/instrument | Letter Of credit,61.0,LOW,D365,INC at 2 agencies in April 2026 fiscal year-end peak,"Your credit ratings at ACUITE, CRISIL are ALL INC from April 2026. ACER offers consolidated rating resolution for all your instruments in 21 days."
S M Interior Pvt. Ltd.,CARE | CRISIL,2,Bank Guarantee | Fund based financial facility/instrument | Term loans,56.0,LOW,D365,INC at 2 agencies in April 2026 fiscal year-end peak,"Your credit ratings at CARE, CRISIL are ALL INC from April 2026. ACER offers consolidated rating resolution for all your instruments in 21 days."
