Company Name,Rating Date,Current Rater,Instrument,Grade,Rating,Days Since Rating,Urgency,Why Target,ACER Pitch Angle
Sowparnika Projects & Infrastructure Pvt. Ltd.,06-05-2025,ICRA,Term loans,High Risk,B+,413,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 413 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Vishva Vishal Refractory Ltd.,08-05-2025,ICRA,Term loans,Inadequate Safety,BB,411,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 411 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Mangalam Pipes Pvt. Ltd.,09-05-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,410,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 410 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Landmark Veneers Pvt. Ltd.,09-05-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,410,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 410 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Jsw Mahanadi Power Co. Ltd.,09-05-2025,ICRA,Non-fund-based financial facility/instrument,Default,D,410,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 410 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
R N P Scaffolding & Formwork Pvt. Ltd.,09-05-2025,ICRA,Non-government debt,High Risk,B/A4,410,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 410 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
V S P Enterprises Pvt. Ltd.,09-05-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,410,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 410 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Katira Construction Ltd.,09-05-2025,ICRA,Term loans,High Risk,B+,410,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 410 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Purandar Milk & Agro Products Ltd.,09-05-2025,ICRA,Term loans,Default,D,410,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 410 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Zillion Infraprojects Pvt. Ltd.,09-05-2025,ICRA,Non-fund-based financial facility/instrument,Default,D,410,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 410 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Sargam Metals Pvt. Ltd.,09-05-2025,ICRA,Non-fund-based financial facility/instrument,Default,D,410,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 410 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Shamli Steels Pvt. Ltd.,09-05-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,410,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 410 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
