Company,Instrument,Current_Rater,Rating,Latest_Rating_Date,Urgency,Why_Target,ACER_Pitch,Size_Cr,Sector
Ashok Bricks Inds. Pvt. Ltd.,Non-government debt,IND-RA,D,2026-04-02,LOW,IND-RA INC — not cooperating with rater; ACER can provide fresh rating,Your NCD/Bonds rating at IND-RA is INC for 82.0 days. ACER can activate a working credit rating in 21 days.,44.00,Unknown
Ashok Kumar Chhabra Constructions Pvt. Ltd.,Non-fund based working capital limit,IND-RA,A 4,2025-10-17,HOT,IND-RA INC — not cooperating with rater; ACER can provide fresh rating,Your Fund-Based rating at IND-RA is INC for 249.0 days. ACER can activate a working credit rating in 21 days.,5.00,Unknown
Ashok Textile Mills Pvt. Ltd.,Non-government debt,IND-RA,B/A4,2025-12-19,HOT,IND-RA INC — not cooperating with rater; ACER can provide fresh rating,Your NCD/Bonds rating at IND-RA is INC for 186.0 days. ACER can activate a working credit rating in 21 days.,89.21,Unknown
Asia (Chennai) Engineering Co. Pvt. Ltd.,Non-fund based working capital limit,IND-RA,A 4,2025-07-18,HOT,IND-RA INC — not cooperating with rater; ACER can provide fresh rating,Your Fund-Based rating at IND-RA is INC for 340.0 days. ACER can activate a working credit rating in 21 days.,25.00,Unknown
Asian Handicrafts Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2025-09-11,HOT,IND-RA INC — not cooperating with rater; ACER can provide fresh rating,Your NCD/Bonds rating at IND-RA is INC for 285.0 days. ACER can activate a working credit rating in 21 days.,14.00,Unknown
Asian Hotels (West) Ltd.,Term loans,IND-RA,D,2026-04-02,LOW,IND-RA INC — not cooperating with rater; ACER can provide fresh rating,Your Term Loan rating at IND-RA is INC for 82.0 days. ACER can activate a working credit rating in 21 days.,247.76,Unknown
Asiatic Electrical & Switchgear Pvt. Ltd.,Non-fund based working capital limit,IND-RA,D,2025-05-16,ULTRA HOT,IND-RA INC — not cooperating with rater; ACER can provide fresh rating,Your Fund-Based rating at IND-RA is INC for 403.0 days. ACER can activate a working credit rating in 21 days.,15.00,Unknown
Asiatic Electrical & Switchgear Pvt. Ltd.,Term loans,IND-RA,D,2025-05-16,ULTRA HOT,IND-RA INC — not cooperating with rater; ACER can provide fresh rating,Your Term Loan rating at IND-RA is INC for 403.0 days. ACER can activate a working credit rating in 21 days.,15.00,Unknown
Aster Pvt. Ltd.,Non-fund based working capital limit,IND-RA,D,2025-06-25,HOT,IND-RA INC — not cooperating with rater; ACER can provide fresh rating,Your Fund-Based rating at IND-RA is INC for 363.0 days. ACER can activate a working credit rating in 21 days.,1103.95,Unknown
Astha Innovations Pvt. Ltd.,Term loans,IND-RA,B-,2025-09-11,HOT,IND-RA INC — not cooperating with rater; ACER can provide fresh rating,Your Term Loan rating at IND-RA is INC for 285.0 days. ACER can activate a working credit rating in 21 days.,11.00,Unknown
Athitheya Kshema Hotels Pvt. Ltd.,Non-government debt,IND-RA,D,2025-11-24,HOT,IND-RA INC — not cooperating with rater; ACER can provide fresh rating,Your NCD/Bonds rating at IND-RA is INC for 211.0 days. ACER can activate a working credit rating in 21 days.,14.06,Unknown
Athulitha Laboratories Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,MEDIUM,IND-RA INC — not cooperating with rater; ACER can provide fresh rating,Your NCD/Bonds rating at IND-RA is INC for 158.0 days. ACER can activate a working credit rating in 21 days.,10.52,Unknown
Atibir Industries Co. Ltd.,Non-fund based working capital limit,IND-RA,D,2025-06-25,HOT,IND-RA INC — not cooperating with rater; ACER can provide fresh rating,Your Fund-Based rating at IND-RA is INC for 363.0 days. ACER can activate a working credit rating in 21 days.,262.83,Unknown
Atmastco Ltd.,Non-government debt,IND-RA,B/A4,2026-02-27,MEDIUM,IND-RA INC — not cooperating with rater; ACER can provide fresh rating,Your NCD/Bonds rating at IND-RA is INC for 116.0 days. ACER can activate a working credit rating in 21 days.,85.75,Unknown
Atria Wind (Kadambur) Pvt. Ltd.,Term loans,IND-RA,BB+,2025-11-24,HOT,IND-RA INC — not cooperating with rater; ACER can provide fresh rating,Your Term Loan rating at IND-RA is INC for 211.0 days. ACER can activate a working credit rating in 21 days.,179.33,Unknown
Atul Generators Pvt. Ltd.,Non-fund based working capital limit,IND-RA,A 4,2025-06-25,HOT,IND-RA INC — not cooperating with rater; ACER can provide fresh rating,Your Fund-Based rating at IND-RA is INC for 363.0 days. ACER can activate a working credit rating in 21 days.,1.11,Unknown
Atul Generators Pvt. Ltd.,Term loans,IND-RA,B-,2025-06-25,HOT,IND-RA INC — not cooperating with rater; ACER can provide fresh rating,Your Term Loan rating at IND-RA is INC for 363.0 days. ACER can activate a working credit rating in 21 days.,1.88,Unknown
Auro Industries Ltd.,Non-government debt,IND-RA,B-/A4,2025-09-11,HOT,IND-RA INC — not cooperating with rater; ACER can provide fresh rating,Your NCD/Bonds rating at IND-RA is INC for 285.0 days. ACER can activate a working credit rating in 21 days.,11.00,Unknown
Auto Profiles Ltd.,Non-fund based working capital limit,IND-RA,A 4+,2025-06-25,HOT,IND-RA INC — not cooperating with rater; ACER can provide fresh rating,Your Fund-Based rating at IND-RA is INC for 363.0 days. ACER can activate a working credit rating in 21 days.,1.50,Unknown
Auto Profiles Ltd.,Term loans,IND-RA,BB-,2025-06-25,HOT,IND-RA INC — not cooperating with rater; ACER can provide fresh rating,Your Term Loan rating at IND-RA is INC for 363.0 days. ACER can activate a working credit rating in 21 days.,9.88,Unknown
Avani Textiles Ltd.,Term loans,IND-RA,B,2025-06-25,HOT,IND-RA INC — not cooperating with rater; ACER can provide fresh rating,Your Term Loan rating at IND-RA is INC for 363.0 days. ACER can activate a working credit rating in 21 days.,17.68,Unknown
Aventura Properties Ltd.,Term loans,IND-RA,B-,2025-09-11,HOT,IND-RA INC — not cooperating with rater; ACER can provide fresh rating,Your Term Loan rating at IND-RA is INC for 285.0 days. ACER can activate a working credit rating in 21 days.,40.00,Unknown
Awadh Oils Pvt. Ltd.,Term loans,IND-RA,B-,2025-09-11,HOT,IND-RA INC — not cooperating with rater; ACER can provide fresh rating,Your Term Loan rating at IND-RA is INC for 285.0 days. ACER can activate a working credit rating in 21 days.,7.50,Unknown
Axis Overseas Ltd.,Non-government debt,IND-RA,B-/A4,2025-08-21,HOT,IND-RA INC — not cooperating with rater; ACER can provide fresh rating,Your NCD/Bonds rating at IND-RA is INC for 306.0 days. ACER can activate a working credit rating in 21 days.,25.00,Unknown
Axis Solutions Pvt. Ltd. [Merged],Non-fund based working capital limit,IND-RA,A 3,2025-08-08,HOT,IND-RA INC — not cooperating with rater; ACER can provide fresh rating,Your Fund-Based rating at IND-RA is INC for 319.0 days. ACER can activate a working credit rating in 21 days.,23.00,Unknown
Axis Solutions Pvt. Ltd. [Merged],Non-fund based working capital limit,IND-RA,A 3,2025-08-08,HOT,IND-RA INC — not cooperating with rater; ACER can provide fresh rating,Your Fund-Based rating at IND-RA is INC for 319.0 days. ACER can activate a working credit rating in 21 days.,9.94,Unknown
Azafran Innovacion Ltd.,Non-government debt,IND-RA,B-/A4,2025-08-21,HOT,IND-RA INC — not cooperating with rater; ACER can provide fresh rating,Your NCD/Bonds rating at IND-RA is INC for 306.0 days. ACER can activate a working credit rating in 21 days.,11.56,Unknown
B A S S Minerals India Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-04-02,LOW,IND-RA INC — not cooperating with rater; ACER can provide fresh rating,Your NCD/Bonds rating at IND-RA is INC for 82.0 days. ACER can activate a working credit rating in 21 days.,5.00,Unknown
B C Bhuyan Constructions Pvt. Ltd.,Non-fund based working capital limit,IND-RA,A 4+,2025-06-03,ULTRA HOT,IND-RA INC — not cooperating with rater; ACER can provide fresh rating,Your Fund-Based rating at IND-RA is INC for 385.0 days. ACER can activate a working credit rating in 21 days.,20.00,Unknown
B C Bhuyan Constructions Pvt. Ltd.,Term loans,IND-RA,BB,2025-06-03,ULTRA HOT,IND-RA INC — not cooperating with rater; ACER can provide fresh rating,Your Term Loan rating at IND-RA is INC for 385.0 days. ACER can activate a working credit rating in 21 days.,1.00,Unknown
B C Sen & Co. Ltd.,Non-government debt,IND-RA,B-/A4,2026-02-27,MEDIUM,IND-RA INC — not cooperating with rater; ACER can provide fresh rating,Your NCD/Bonds rating at IND-RA is INC for 116.0 days. ACER can activate a working credit rating in 21 days.,39.50,Unknown
B D Motors Ltd.,Term loans,IND-RA,D,2025-08-21,HOT,IND-RA INC — not cooperating with rater; ACER can provide fresh rating,Your Term Loan rating at IND-RA is INC for 306.0 days. ACER can activate a working credit rating in 21 days.,35.30,Unknown
B L Agro Inds. Ltd.,Non-government debt,IND-RA,B-/A4,2025-11-24,HOT,IND-RA INC — not cooperating with rater; ACER can provide fresh rating,Your NCD/Bonds rating at IND-RA is INC for 211.0 days. ACER can activate a working credit rating in 21 days.,352.00,Unknown
B L Containers Pvt. Ltd.,Non-fund based working capital limit,IND-RA,A 4,2025-06-25,HOT,IND-RA INC — not cooperating with rater; ACER can provide fresh rating,Your Fund-Based rating at IND-RA is INC for 363.0 days. ACER can activate a working credit rating in 21 days.,0.25,Unknown
B L Containers Pvt. Ltd.,Term loans,IND-RA,B,2025-06-25,HOT,IND-RA INC — not cooperating with rater; ACER can provide fresh rating,Your Term Loan rating at IND-RA is INC for 363.0 days. ACER can activate a working credit rating in 21 days.,4.95,Unknown
B M R Blue Genetics Pvt. Ltd.,Non-government debt,IND-RA,B/A4,2025-08-21,HOT,IND-RA INC — not cooperating with rater; ACER can provide fresh rating,Your NCD/Bonds rating at IND-RA is INC for 306.0 days. ACER can activate a working credit rating in 21 days.,10.06,Unknown
B N H Infra Projects (India) Pvt. Ltd.,Term loans,IND-RA,D,2026-01-12,MEDIUM,IND-RA INC — not cooperating with rater; ACER can provide fresh rating,Your Term Loan rating at IND-RA is INC for 162.0 days. ACER can activate a working credit rating in 21 days.,51.50,Unknown
B N S R Inds. Ltd.,Non-government debt,IND-RA,B-/A4,2026-04-02,LOW,IND-RA INC — not cooperating with rater; ACER can provide fresh rating,Your NCD/Bonds rating at IND-RA is INC for 82.0 days. ACER can activate a working credit rating in 21 days.,4.90,Unknown
