Agency,Year_Month,Total_Records,INC_Records,INC_Rate_Pct
IND-RA,2025-05,380,50,13.2
IND-RA,2025-06,552,271,49.1
IND-RA,2025-07,601,262,43.6
IND-RA,2025-08,523,262,50.1
IND-RA,2025-09,432,167,38.7
IND-RA,2025-10,358,49,13.7
IND-RA,2025-11,287,93,32.4
IND-RA,2025-12,365,80,21.9
IND-RA,2026-01,450,214,47.6
IND-RA,2026-02,339,32,9.4
IND-RA,2026-03,386,40,10.4
IND-RA,2026-04,479,186,38.8
IND-RA,2026-05,10,0,0.0
CARE,2025-05,506,275,54.3
CARE,2025-06,560,226,40.4
CARE,2025-07,951,247,26.0
CARE,2025-08,696,198,28.4
CARE,2025-09,986,237,24.0
CARE,2025-10,1109,227,20.5
CARE,2025-11,767,301,39.2
CARE,2025-12,1148,209,18.2
CARE,2026-01,1036,205,19.8
CARE,2026-02,799,317,39.7
CARE,2026-03,1092,185,16.9
CARE,2026-04,1341,383,28.6
CARE,2026-05,29,10,34.5
ACUITE,2025-05,310,100,32.3
ACUITE,2025-06,284,73,25.7
ACUITE,2025-07,399,160,40.1
ACUITE,2025-08,379,190,50.1
ACUITE,2025-09,528,241,45.6
ACUITE,2025-10,409,157,38.4
ACUITE,2025-11,297,116,39.1
ACUITE,2025-12,353,134,38.0
ACUITE,2026-01,364,148,40.7
ACUITE,2026-02,404,179,44.3
ACUITE,2026-03,399,170,42.6
ACUITE,2026-04,509,258,50.7
