Company Name,Primary Agency,All Agencies INC,Num Agencies INC,Primary Instrument,All Instruments,Rating,Rating Date,Days Since Rating,Urgency,Sector,Total Amount Cr,Source,Is Super Target T1,Is Super Target T2,Is Three Way INC,Is April2026 Dual INC,Multi Agency INC,Priority Score,Why Target,ACER Pitch
Krisha Distribution Pvt. Ltd.,BRICKWORK,BRICKWORK | CRISIL,2,Bank Guarantee,Bank Guarantee,INC,,83.0,LOW — JULY PRIORITY,Other,0,D365,0,0,0,1,1,12.0,APRIL 2026 DUAL-INC — July 90-day trigger — fund freeze imminent,Your credit at BRICKWORK | CRISIL has been INC since April 2026. July 18 = 90-day mark = funding facilities freeze. ACER can issue a fresh rating in 15 days — call now.
K B K Biotech Pvt. Ltd.,CARE,CARE | ICRA,2,Bank Guarantee,Bank Guarantee | Non-government debt | Term loans,INC,,82.0,LOW — JULY PRIORITY,Other,0,D365,0,0,0,1,1,12.0,APRIL 2026 DUAL-INC — July 90-day trigger — fund freeze imminent,Your credit at CARE | ICRA has been INC since April 2026. July 18 = 90-day mark = funding facilities freeze. ACER can issue a fresh rating in 15 days — call now.
Rohan Dyes & Intermediates Ltd.,ACUITE,ACUITE | BRICKWORK,2,Bank Guarantee,Bank Guarantee | Letter Of credit | Non-fund-based financial facility/instrument,INC,,82.0,LOW — JULY PRIORITY,Other,0,D365,0,0,0,1,1,12.0,APRIL 2026 DUAL-INC — July 90-day trigger — fund freeze imminent,Your credit at ACUITE | BRICKWORK has been INC since April 2026. July 18 = 90-day mark = funding facilities freeze. ACER can issue a fresh rating in 15 days — call now.
Veda Biofuel Ltd.,BRICKWORK,BRICKWORK | IND-RA,2,Term loans,Term loans,INC,,82.0,LOW — JULY PRIORITY,Other,0,D365,0,0,0,1,1,12.0,APRIL 2026 DUAL-INC — July 90-day trigger — fund freeze imminent,Your credit at BRICKWORK | IND-RA has been INC since April 2026. July 18 = 90-day mark = funding facilities freeze. ACER can issue a fresh rating in 15 days — call now.
Suyash Chemical & Fertilizer Pvt. Ltd.,BRICKWORK,BRICKWORK | CARE,2,Bank Guarantee,Bank Guarantee | Fund based financial facility/instrument | Term loans,INC,,78.0,LOW — JULY PRIORITY,Other,0,D365,0,0,0,1,1,12.0,APRIL 2026 DUAL-INC — July 90-day trigger — fund freeze imminent,Your credit at BRICKWORK | CARE has been INC since April 2026. July 18 = 90-day mark = funding facilities freeze. ACER can issue a fresh rating in 15 days — call now.
Sree Mangayarkarasi Mills Pvt. Ltd.,BRICKWORK,BRICKWORK | CARE,2,Bank Guarantee,Bank Guarantee | Letter Of credit | Term loans,INC,,77.0,LOW — JULY PRIORITY,Other,0,D365,0,0,0,1,1,12.0,APRIL 2026 DUAL-INC — July 90-day trigger — fund freeze imminent,Your credit at BRICKWORK | CARE has been INC since April 2026. July 18 = 90-day mark = funding facilities freeze. ACER can issue a fresh rating in 15 days — call now.
S S G Pharma Pvt. Ltd.,ACUITE,ACUITE | CRISIL,2,Long term Loans,Long term Loans | Term loans,INC,,74.0,LOW — JULY PRIORITY,Other,0,D365,0,0,0,1,1,12.0,APRIL 2026 DUAL-INC — July 90-day trigger — fund freeze imminent,Your credit at ACUITE | CRISIL has been INC since April 2026. July 18 = 90-day mark = funding facilities freeze. ACER can issue a fresh rating in 15 days — call now.
Mittapally Agro Products Pvt. Ltd.,CARE,CARE | CRISIL,2,Bank Guarantee,Bank Guarantee | Non-government debt,INC,,70.0,LOW — JULY PRIORITY,Other,0,D365,0,0,0,1,1,12.0,APRIL 2026 DUAL-INC — July 90-day trigger — fund freeze imminent,Your credit at CARE | CRISIL has been INC since April 2026. July 18 = 90-day mark = funding facilities freeze. ACER can issue a fresh rating in 15 days — call now.
Balaji Agro Pvt. Ltd.,ACUITE,ACUITE | CRISIL,2,Letter Of credit,Letter Of credit | Long term Loans | Short-term loan,INC,,67.0,LOW — JULY PRIORITY,Other,0,D365,0,0,0,1,1,12.0,APRIL 2026 DUAL-INC — July 90-day trigger — fund freeze imminent,Your credit at ACUITE | CRISIL has been INC since April 2026. July 18 = 90-day mark = funding facilities freeze. ACER can issue a fresh rating in 15 days — call now.
Nimbus Motors Pvt. Ltd.,CARE,CARE | CRISIL,2,Fund based financial facility/instrument,Fund based financial facility/instrument | Term loans,INC,,62.0,LOW — JULY PRIORITY,Other,0,D365,0,0,0,1,1,12.0,APRIL 2026 DUAL-INC — July 90-day trigger — fund freeze imminent,Your credit at CARE | CRISIL has been INC since April 2026. July 18 = 90-day mark = funding facilities freeze. ACER can issue a fresh rating in 15 days — call now.
