Company_D365,Company_Infomerics,D365_Agencies,D365_INC,Infomerics_INC,Both_INC,Max_Days_Since,Urgency,Note
Amba Shakti Steels Ltd.,Amba Shakti Steels Limited,CRISIL,NO,NO,NO,399,ULTRA HOT,Multi-agency steel company — Infomerics + D365 agency
Arya Steels Rolling (India) Pvt. Ltd.,Arya Steels Rolling (India) Private Limited,BRICKWORK | CARE | CRISIL,YES,YES,YES,389,ULTRA HOT,Multi-agency steel company — Infomerics + D365 agency
Bravo Sponge Iron Pvt. Ltd.,Bravo Sponge Iron Private Limited,ACUITE | CARE | CRISIL,NO,YES,NO,1314,ULTRA HOT,Multi-agency steel company — Infomerics + D365 agency
Champion Rolling Mill Pvt. Ltd.,Champion Rolling Mill Private Limited,IND-RA,YES,NO,NO,397,ULTRA HOT,Multi-agency steel company — Infomerics + D365 agency
Deccan Ferro Alloys Pvt. Ltd.,Deccan Ferro Alloys Private Limited,ACUITE,YES,YES,YES,1627,ULTRA HOT,Multi-agency steel company — Infomerics + D365 agency
Devi Iron & Power Pvt. Ltd.,Devi Iron & Power Private Limited,CARE | ICRA,YES,NO,NO,281,HOT,Multi-agency steel company — Infomerics + D365 agency
Eagle Steels Rolling Mills Pvt. Ltd.,Eagle Steels Rolling Mills Private Limited,BRICKWORK | CARE,YES,YES,YES,200,HOT,Multi-agency steel company — Infomerics + D365 agency
Fex Foundry Alloys Pvt. Ltd.,FeX Foundry Alloys Private Limited,CRISIL,YES,NO,NO,379,ULTRA HOT,Multi-agency steel company — Infomerics + D365 agency
Ganga Iron & Steel Trading Co. Ltd.,Ganga Iron & Steel Trading Company Limited,BRICKWORK,YES,NO,NO,396,ULTRA HOT,Multi-agency steel company — Infomerics + D365 agency
Ganpati Sponge Iron Pvt. Ltd.,Ganpati Sponge Iron Private Limited,ACUITE,YES,NO,NO,1838,ULTRA HOT,Multi-agency steel company — Infomerics + D365 agency
Gupta Metal Sheets Ltd.,Gupta Metal Sheets Limited,CARE,YES,NO,NO,266,HOT,Multi-agency steel company — Infomerics + D365 agency
Hindupur Steel & Alloys Pvt. Ltd.,Hindupur Steel & Alloys Private Limited,CRISIL,NO,YES,NO,299,HOT,Multi-agency steel company — Infomerics + D365 agency
J B Rolling Mills Ltd.,J B Rolling Mills Limited,BRICKWORK | CARE | CRISIL,YES,NO,NO,476,ULTRA HOT,Multi-agency steel company — Infomerics + D365 agency
Kalika Steel Alloys Pvt. Ltd.,Kalika Steel Alloys Private Limited,CARE,YES,NO,NO,337,HOT,Multi-agency steel company — Infomerics + D365 agency
