Company,Current_Rater,Instruments,Rating,Latest_Rating_Date,Days_Since_Latest,Urgency,Is_INC,INC_Agencies,Amount_Cr,Data_Source,Sector,Also_in_Infomerics,Also_in_D365,INC_Status,Why_Target,ACER_Pitch,Multi_Agency
Counto Metals & Mining Company Limited (CMMCL),Infomerics,Fund Based Facilities | Long Term Debt- Term Loan,IVR B (Reaffirmed and withdrawn),2018-12-17,2745.0,ULTRA HOT,False,,Rs. 4.73 cr. | Rs. 5.27 Cr.,Infomerics,Steel & Metals,,NO,Active,365+ days overdue — most urgent,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Electrosteel Castings Limited,Infomerics,Outstanding Non-Convertible Debentures (NCD) - Series VI,IVR A (Withdrawn),2019-05-29,2582.0,ULTRA HOT,False,,Rs. 27.00 Cr.,Infomerics,Steel & Metals,,NO,Active,365+ days overdue — most urgent,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Ganpati Sponge Iron Private Limited,Infomerics,Long Term Fund Based Facility - Cash Credit | Long Term Fund Based Facility - Term Loan,IVR BB+ (Assigned and Withdran),2021-06-11,1838.0,ULTRA HOT,False,,Rs. 13.50 Cr. (including sub limit Inland Letter of Credit of Rs. 2.50 crore) | Rs. 1.50 Cr.,Infomerics,Steel & Metals,,NO,Active,365+ days overdue — most urgent,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",YES
Deccan Ferro Alloys Private Limited,Infomerics,Long Term Fund Based Facility | Short Term Bank Facilities,IVR BB+ (INC)(Reaffirmed and Withdrawn),2022-01-08,1627.0,ULTRA HOT,True,Infomerics,Rs. 15.00 Cr. | Rs. 30.00 Cr.,Infomerics,Steel & Metals,,NO,INC,INC at Infomerics | 365+ days overdue — most urgent,Your steel company's rating at Infomerics has been INC for 1627.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,YES
NRVS Steels Limited,Infomerics,Long Term Bank Facilities,IVR BB+ (INC)(Reaffirmed and Withdrawn),2022-04-29,1516.0,ULTRA HOT,True,Infomerics,Rs. 47.91 Cr.,Infomerics,Steel & Metals,,NO,INC,INC at Infomerics | 365+ days overdue — most urgent,Your steel company's rating at Infomerics has been INC for 1516.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
New Laxmi Steel and Power Private Limited,Infomerics,Long Term Bank Facilities,IVR BBB- (Reaffirmed & Withdrawn),2022-07-18,1436.0,ULTRA HOT,False,,Rs. 56.49 Cr.,Infomerics,Steel & Metals,,NO,Active,365+ days overdue — most urgent,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Eloquent Steels Private Limited,Infomerics,Long term Bank Facilities | Short term Bank Facilities,IVR BB (CE) Under Issuer Not Cooperating Category (Reaffirmed and Withdrawn),2022-07-27,1427.0,ULTRA HOT,False,,Rs. 65.00 Cr. | Rs. 25.00 Cr.,Infomerics,Steel & Metals,,NO,Active,365+ days overdue — most urgent,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Bravo Sponge Iron Private Limited,Infomerics,Long Term Bank Facilities | Short Term Bank Facilities,IVR BB+ (INC)(Reaffirmed and Withdrawn),2022-11-17,1314.0,ULTRA HOT,True,Infomerics,Rs. 167.29 Cr. | Rs. 40.50 Cr.,Infomerics,Steel & Metals,,NO,INC,INC at Infomerics | 365+ days overdue — most urgent,Your steel company's rating at Infomerics has been INC for 1314.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,YES
Rebanta Steels Private Limited,Infomerics,Bank Facilities,IVR BB- (INC)(Withdrawn),2022-11-18,1313.0,ULTRA HOT,True,Infomerics,Rs. 40.00 Cr.,Infomerics,Steel & Metals,,NO,INC,INC at Infomerics | 365+ days overdue — most urgent,Your steel company's rating at Infomerics has been INC for 1313.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Agarwal Induction Furnace Pvt. Ltd,Infomerics,Long Term Bank Facilities | Short Term Bank Facilities,Withdrawn,2023-01-25,1245.0,ULTRA HOT,False,,-,Infomerics,Steel & Metals,,NO,Active,365+ days overdue — most urgent,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
VRKP Steel Industries Private Limited,Infomerics,Long Term Bank Facilities,Withdrawn,2023-01-25,1245.0,ULTRA HOT,False,,-,Infomerics,Steel & Metals,,NO,Active,365+ days overdue — most urgent,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
