Company,Current_Rater,Instruments,Rating,Latest_Rating_Date,Days_Since_Latest,Urgency,Is_INC,INC_Agencies,Amount_Cr,Data_Source,Sector,Also_in_Infomerics,Also_in_D365,INC_Status,Why_Target,ACER_Pitch
Deccan Ferro Alloys Private Limited,Infomerics,Long Term Fund Based Facility | Short Term Bank Facilities,IVR BB+ (INC)(Reaffirmed and Withdrawn),2022-01-08,1627.0,ULTRA HOT,True,Infomerics,Rs. 15.00 Cr. | Rs. 30.00 Cr.,Infomerics,Steel & Metals,N/A,NO,INC,INC at Infomerics | 365+ days overdue — most urgent,Your steel company's rating at Infomerics has been INC for 1627.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
NRVS Steels Limited,Infomerics,Long Term Bank Facilities,IVR BB+ (INC)(Reaffirmed and Withdrawn),2022-04-29,1516.0,ULTRA HOT,True,Infomerics,Rs. 47.91 Cr.,Infomerics,Steel & Metals,N/A,NO,INC,INC at Infomerics | 365+ days overdue — most urgent,Your steel company's rating at Infomerics has been INC for 1516.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Bravo Sponge Iron Private Limited,Infomerics,Long Term Bank Facilities | Short Term Bank Facilities,IVR BB+ (INC)(Reaffirmed and Withdrawn),2022-11-17,1314.0,ULTRA HOT,True,Infomerics,Rs. 167.29 Cr. | Rs. 40.50 Cr.,Infomerics,Steel & Metals,N/A,NO,INC,INC at Infomerics | 365+ days overdue — most urgent,Your steel company's rating at Infomerics has been INC for 1314.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Rebanta Steels Private Limited,Infomerics,Bank Facilities,IVR BB- (INC)(Withdrawn),2022-11-18,1313.0,ULTRA HOT,True,Infomerics,Rs. 40.00 Cr.,Infomerics,Steel & Metals,N/A,NO,INC,INC at Infomerics | 365+ days overdue — most urgent,Your steel company's rating at Infomerics has been INC for 1313.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Manaksia Coated Metals & Industries Limited,Infomerics,Long Term Bank Facilities,IVR BB+ (INC)(Reaffirmed and Withdrawn),2023-04-18,1162.0,ULTRA HOT,True,Infomerics,Rs. 15.00 Cr.,Infomerics,Steel & Metals,N/A,NO,INC,INC at Infomerics | 365+ days overdue — most urgent,Your steel company's rating at Infomerics has been INC for 1162.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
SKA Steel & Power Private Limited,Infomerics,Long Term Bank Facilities,IVR B+ (INC)(Reaffirmed & Withdrawn),2023-05-30,1120.0,ULTRA HOT,True,Infomerics,Rs. 68.00 Cr.,Infomerics,Steel & Metals,N/A,NO,INC,INC at Infomerics | 365+ days overdue — most urgent,Your steel company's rating at Infomerics has been INC for 1120.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Gagan Ferrotech Limited,Infomerics,Long Term Bank Facilities | Short Term Bank Facilities,IVR BB (INC)(Reaffirmed & Withdrawn),2023-10-19,978.0,ULTRA HOT,True,Infomerics,Rs. 210.72 CR. | Rs. 93.75 Cr.,Infomerics,Steel & Metals,N/A,NO,INC,INC at Infomerics | 365+ days overdue — most urgent,Your steel company's rating at Infomerics has been INC for 978.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Saatvik Ferro Limited,Infomerics,Long Term/ Short Term Bank Facility | Short Term Bank Facility,IVR BB+/IVR A4+; (INC)(Downgraded),2024-12-27,543.0,ULTRA HOT,True,Infomerics,Rs. 15.00 Cr. | Rs. 10.00 Cr. (includes proposed limit of Rs. 10.00 Cr.),Infomerics,Steel & Metals,N/A,NO,INC,INC at Infomerics | 365+ days overdue — most urgent,Your steel company's rating at Infomerics has been INC for 543.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Rayalaseema Steel Re Rolling Mills Private Limited,Infomerics,Long Term Bank Facilities | Short Term Bank Facility,IVR B+ (INC)(Downgraded),2024-12-31,539.0,ULTRA HOT,True,Infomerics,Rs. 45.75 Cr. | Rs. 3.00 Cr.,Infomerics,Steel & Metals,N/A,NO,INC,INC at Infomerics | 365+ days overdue — most urgent,Your steel company's rating at Infomerics has been INC for 539.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Balu Iron & Steel Company,Infomerics,Long Term Bank Facilities | Long Term/ Short Term Bank Facilities,IVR B+ (INC)(Downgraded),2025-01-27,512.0,ULTRA HOT,True,Infomerics,Rs. 126.33 Cr. | Rs. 0.91 Cr.,Infomerics,Steel & Metals,N/A,NO,INC,INC at Infomerics | 365+ days overdue — most urgent,Your steel company's rating at Infomerics has been INC for 512.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
MSR Iron and Steel Industries India Private Limited,Infomerics,Long Term Bank Facilities,IVR B+ (INC)(Downgraded),2025-01-27,512.0,ULTRA HOT,True,Infomerics,Rs. 30.00 Cr.,Infomerics,Steel & Metals,N/A,NO,INC,INC at Infomerics | 365+ days overdue — most urgent,Your steel company's rating at Infomerics has been INC for 512.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Metalfab Hightech Private Limited,Infomerics,Long Term Bank Facilities | Short Term Bank Facilities,IVR D (INC)(Reaffirmed),2025-01-27,512.0,ULTRA HOT,True,Infomerics,Rs. 59.61 Cr. | Rs. 50.00 Cr.,Infomerics,Steel & Metals,N/A,NO,INC,INC at Infomerics | 365+ days overdue — most urgent,Your steel company's rating at Infomerics has been INC for 512.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
