Company Name,Current Rating Agency,Instrument,Instrument Type,Rating,Rating Date,Days Since Rating,Urgency,Amount Cr,Sector,Why Target,ACER Pitch
3 B Infrastructure Pvt. Ltd.,Brickwork,Term loans,Term Loan,C,2025-08-06,322.0,HOT,13.00,Construction,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
A 2 Z Auto Wheels Pvt. Ltd.,Brickwork,Fund based financial facility/instrument,Fund Based,BB-,2025-10-07,260.0,HOT,2.60,Automobiles,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
A A P Infrastructure Ltd.,Brickwork,Term loans,Term Loan,D,2025-05-27,393.0,ULTRA HOT,16.20,Construction,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
A B Crops Pvt. Ltd.,Brickwork,Letter Of credit,Letter of Credit,D,2025-05-23,397.0,ULTRA HOT,2.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
A B Grain Spirits Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2025-12-01,205.0,HOT,28.00,Agro/Food,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
A B Infra Invsts. Pvt. Ltd.,Brickwork,Letter Of credit,Letter of Credit,D,2025-05-23,397.0,ULTRA HOT,46.00,Construction,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
A B S Fujitsu General Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2025-05-30,390.0,ULTRA HOT,12.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
A B S India Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2025-08-06,322.0,HOT,9.25,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
A B Udyog Pvt. Ltd.,Brickwork,Fund based financial facility/instrument,Fund Based,B+,2025-06-05,384.0,ULTRA HOT,3.74,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
A B World Trade Pvt. Ltd.,Brickwork,Letter Of credit,Letter of Credit,D,2025-05-23,397.0,ULTRA HOT,30.00,Media/Retail,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
A J S Impex Pvt. Ltd.,Brickwork,Term loans,Term Loan,D,2025-07-25,334.0,HOT,105.19,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
A K Infraprojects Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2025-07-09,350.0,HOT,15.00,Construction,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
A K R Industries Pvt. Ltd.,Brickwork,Term loans,Term Loan,BB-,2025-10-24,243.0,HOT,61.02,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
A K Soni Hosiery Mills Pvt. Ltd.,Brickwork,Term loans,Term Loan,D,2026-02-26,118.0,MEDIUM,1.97,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
A L M Food Products Ltd.,Brickwork,Term loans,Term Loan,BB-,2026-01-09,166.0,MEDIUM,14.00,Agro/Food,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
A M W Autocomponent Ltd.,Brickwork,Non-fund-based financial facility/instrument,Non-Fund Based,D,2025-06-18,371.0,ULTRA HOT,55.00,Automobiles,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
A One Steels India Pvt. Ltd.,Brickwork,Letter Of credit,Letter of Credit,A 4,2025-12-22,184.0,HOT,5.00,Steel,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
A S A Agrotech Pvt. Ltd.,Brickwork,Non-government debt,NCD,B-/A4,2025-06-05,384.0,ULTRA HOT,12.00,Agro/Food,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
A S C Builders Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2026-02-27,117.0,MEDIUM,10.00,Construction,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
A S C Power Pvt. Ltd.,Brickwork,Term loans,Term Loan,C,2025-05-21,399.0,ULTRA HOT,4.20,Energy,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
A S Jute Product Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2025-11-11,225.0,HOT,0.16,Agro/Food,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
A S P Sealing Products Ltd.,Brickwork,Letter Of credit,Letter of Credit,D,2025-07-23,336.0,HOT,4.00,Manufacturing,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
A S Wire Inds. (V S P) Pvt. Ltd.,Brickwork,Term loans,Term Loan,C,2025-05-29,391.0,ULTRA HOT,0.01,Manufacturing,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
A V I Ansh Enterprises Pvt. Ltd.,Brickwork,Fund based financial facility/instrument,Fund Based,C,2025-05-28,392.0,ULTRA HOT,1.80,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
A V I Ansh Textile Ltd.,Brickwork,Fund based financial facility/instrument,Fund Based,C,2025-07-07,352.0,HOT,16.45,Construction,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
A V R Marines Pvt. Ltd.,Brickwork,Term loans,Term Loan,C,2025-08-21,307.0,HOT,5.40,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
A-Class Marbles (India) Pvt. Ltd.,Brickwork,Fund based financial facility/instrument,Fund Based,BB,2025-08-04,324.0,HOT,3.45,Mining/Minerals,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Aadarsh Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2026-02-09,135.0,MEDIUM,1.50,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Aakarshit Ice & Cold Storage Pvt. Ltd.,Brickwork,Term loans,Term Loan,C-,2025-11-25,211.0,HOT,2.99,IT/Technology,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Aakash Polyfilms Ltd.,Brickwork,Non-fund-based financial facility/instrument,Non-Fund Based,A 4,2026-02-04,140.0,MEDIUM,7.80,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Aakriti Super Snacks Pvt. Ltd.,Brickwork,Term loans,Term Loan,B+,2025-09-02,295.0,HOT,17.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Aanchal Ispat Ltd.,Brickwork,Letter Of credit,Letter of Credit,D,2025-06-18,371.0,ULTRA HOT,12.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Aashraya Hotels & Estates Pvt. Ltd.,Brickwork,Term loans,Term Loan,C,2025-10-31,236.0,HOT,3.32,Hotels/Tourism,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Aavishkar Online Lottery Agency Pvt. Ltd.,Brickwork,Term loans,Term Loan,C,2026-01-23,152.0,MEDIUM,3.02,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Abellon Cleanenergy Ltd.,Brickwork,Letter Of credit,Letter of Credit,B-,2025-09-17,280.0,HOT,4.32,Energy,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Abhimaani Publications Ltd.,Brickwork,Term loans,Term Loan,C,2025-10-13,254.0,HOT,5.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Abhiraj Engicon Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2025-11-03,233.0,HOT,2.50,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Abhirama Steels Ltd.,Brickwork,Term loans,Term Loan,D,2025-08-04,324.0,HOT,3.80,Steel,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Abhiyan Dealcomm Pvt. Ltd.,Brickwork,Fund based financial facility/instrument,Fund Based,C,2025-06-25,364.0,HOT,14.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Abil Chempharma Pvt. Ltd.,Brickwork,Letter Of credit,Letter of Credit,A 4,2025-05-16,404.0,ULTRA HOT,13.00,Chemicals/Pharma,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Abok Spring Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2025-06-25,364.0,HOT,1.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Accil Corporation Pvt. Ltd.,Brickwork,Term loans,Term Loan,D,2025-10-09,258.0,HOT,31.78,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Accord Distillers & Brewers Pvt. Ltd.,Brickwork,Letter Of credit,Letter of Credit,D,2025-11-20,216.0,HOT,20.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Acebright (India) Pharma Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2025-09-08,289.0,HOT,1.00,Chemicals/Pharma,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Acme Auto Pvt. Ltd.,Brickwork,Term loans,Term Loan,C-,2025-10-28,239.0,HOT,1.25,Automobiles,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Action Batteries Pvt. Ltd.,Brickwork,Term loans,Term Loan,C,2026-02-25,119.0,MEDIUM,0.06,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Active Tools Pvt. Ltd.,Brickwork,Term loans,Term Loan,D,2025-07-08,351.0,HOT,5.00,Manufacturing,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Adison Granito Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,D,2025-09-03,294.0,HOT,590.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Aditya Coke Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,D,2025-09-02,295.0,HOT,8.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Aditya Construction Co. India Pvt. Ltd.,Brickwork,Term loans,Term Loan,C,2026-02-04,140.0,MEDIUM,204.00,Construction,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Aditya Exim Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,D,2026-04-08,77.0,LOW,1.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Aditya Motocorp Pvt. Ltd.,Brickwork,Term loans,Term Loan,C,2025-06-10,379.0,ULTRA HOT,2.52,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Aditya Vidyut Appliances Ltd.,Brickwork,Non-fund-based financial facility/instrument,Non-Fund Based,D,2026-02-04,140.0,MEDIUM,173.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Adorn Speciality Polymers Pvt. Ltd.,Brickwork,Fund based financial facility/instrument,Fund Based,B-,2025-06-09,380.0,ULTRA HOT,,Chemicals/Pharma,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Adroit Pharmaceuticals Pvt. Ltd.,Brickwork,Term loans,Term Loan,C,2025-10-30,237.0,HOT,21.00,Chemicals/Pharma,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Advant I T Park Pvt. Ltd.,Brickwork,Non-government debt,NCD,B,2026-03-20,96.0,MEDIUM,300.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Agarwal Polysacks Ltd.,Brickwork,Letter Of credit,Letter of Credit,A 4,2026-04-03,82.0,LOW,1.60,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Agog Pharma Ltd.,Brickwork,Letter Of credit,Letter of Credit,A 4,2026-03-17,99.0,MEDIUM,7.00,Chemicals/Pharma,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Agra Oil& General Inds. Ltd.,Brickwork,Letter Of credit,Letter of Credit,A 4,2025-09-01,296.0,HOT,0.50,Energy,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Agro Phos (India) Ltd.,Brickwork,Letter Of credit,Letter of Credit,A 4,2025-05-16,404.0,ULTRA HOT,,Agro/Food,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Agsons Agencies (India) Pvt. Ltd.,Brickwork,Letter Of credit,Letter of Credit,D,2025-07-03,356.0,HOT,120.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Ahuja Cotspin Pvt. Ltd.,Brickwork,Fund based financial facility/instrument,Fund Based,D,2026-01-22,153.0,MEDIUM,216.58,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Airen Metals Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,D,2025-08-13,315.0,HOT,82.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Airwave International Pvt. Ltd.,Brickwork,Letter Of credit,Letter of Credit,D,2025-06-10,379.0,ULTRA HOT,3.50,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Aishwaryagiri Constructions Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2025-05-08,412.0,ULTRA HOT,15.00,Construction,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Ajanta Raaj Proteins Ltd.,Brickwork,Fund based financial facility/instrument,Fund Based,B-,2025-11-26,210.0,HOT,4.52,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Ajay Ingot Rolling Mill Pvt. Ltd.,Brickwork,Term loans,Term Loan,BB-,2025-10-28,239.0,HOT,11.37,Steel,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Ajmer Vidyut Vitran Nigam Ltd.,Brickwork,Letter Of credit,Letter of Credit,A 4,2025-06-30,359.0,HOT,551.98,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Akal Information Systems Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2026-02-16,128.0,MEDIUM,5.25,IT/Technology,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Akansha Shipbreaking Pvt. Ltd.,Brickwork,Non-government debt,NCD,C/A4,2026-03-31,85.0,LOW,35.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Akash Steel Crafts Pvt. Ltd.,Brickwork,Non-government debt,NCD,A 4,2025-10-24,243.0,HOT,5.00,Steel,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Akashganga Infraventures India Pvt. Ltd.,Brickwork,Term loans,Term Loan,C,2026-02-09,135.0,MEDIUM,2.34,Construction,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Akbar Travels Of India Pvt. Ltd.,Brickwork,Fund based financial facility/instrument,Fund Based,BB,2025-10-07,260.0,HOT,544.50,Hotels/Tourism,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Akhil Shipbreakers Pvt. Ltd.,Brickwork,Non-government debt,NCD,C/A4,2026-01-23,152.0,MEDIUM,30.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Akhshayaa Finance Bhaarath Ltd.,Brickwork,Term loans,Term Loan,D,2025-10-08,259.0,HOT,9.00,BFSI,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Akrati Technimont Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2026-02-09,135.0,MEDIUM,9.00,IT/Technology,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Akshar Ispat Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2025-05-19,401.0,ULTRA HOT,1.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Akshay Food Impex Pvt. Ltd.,Brickwork,Fund based financial facility/instrument,Fund Based,B,2025-08-01,327.0,HOT,20.00,Agro/Food,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Akula Boards Pvt. Ltd.,Brickwork,Letter Of credit,Letter of Credit,A 4,2026-03-30,86.0,LOW,2.00,Paper/Packaging,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Al-Dua Food Processing Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2025-12-22,184.0,HOT,3.00,Agro/Food,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Al-Hamd Agro Food Products Pvt. Ltd.,Brickwork,Term loans,Term Loan,B-,2025-10-09,258.0,HOT,3.30,Agro/Food,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Alamelu Balaji Spg. Mills Pvt. Ltd.,Brickwork,Term loans,Term Loan,C-,2026-04-01,84.0,LOW,4.40,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Alex Astral Power Pvt. Ltd.,Brickwork,Term loans,Term Loan,B-,2025-09-17,280.0,HOT,207.49,Energy,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Ali Afzal Flour Mill Ltd.,Brickwork,Fund based financial facility/instrument,Fund Based,B,2025-12-02,204.0,HOT,2.60,Agro/Food,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Alokik Steels Pvt. Ltd.,Brickwork,Term loans,Term Loan,C,2025-09-03,294.0,HOT,0.03,Steel,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Alpha Nippon Innovatives Ltd.,Brickwork,Term loans,Term Loan,D,2025-10-08,259.0,HOT,92.58,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Alpine Knits (India) Pvt. Ltd.,Brickwork,Letter Of credit,Letter of Credit,A 4,2025-05-22,398.0,ULTRA HOT,15.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Amar Infrastructure Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2025-07-14,345.0,HOT,50.00,Construction,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Amar Trades Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2026-03-03,113.0,MEDIUM,1.10,Media/Retail,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Amartex Industries Ltd.,Brickwork,Non-government debt,NCD,B/A4,2026-02-19,125.0,MEDIUM,19.21,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Amba Shakti Ispat Ltd.,Brickwork,Letter Of credit,Letter of Credit,A 4,2025-12-10,196.0,HOT,12.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Ambashakti Udyog Ltd.,Brickwork,Letter Of credit,Letter of Credit,A 4,2025-10-30,237.0,HOT,25.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Ambica Spintex Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2025-05-26,394.0,ULTRA HOT,1.50,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Ambika Realcon Pvt. Ltd.,Brickwork,Term loans,Term Loan,B,2025-06-23,366.0,ULTRA HOT,34.95,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Ambit Switchgear Pvt. Ltd.,Brickwork,Letter Of credit,Letter of Credit,A 4,2025-05-22,398.0,ULTRA HOT,1.00,IT/Technology,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Ambootia Tea Exports Pvt. Ltd.,Brickwork,Letter Of credit,Letter of Credit,D,2025-09-01,296.0,HOT,0.50,Agro/Food,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Ambuja Pipes Pvt. Ltd.,Brickwork,Fund based financial facility/instrument,Fund Based,D,2026-03-05,111.0,MEDIUM,7.75,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Ami Riddhi Chem Pvt. Ltd.,Brickwork,Non-government debt,NCD,C/A4,2025-07-02,357.0,HOT,12.50,Chemicals/Pharma,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Amit Auto Wheels Pvt. Ltd.,Brickwork,Fund based financial facility/instrument,Fund Based,C,2026-03-24,92.0,MEDIUM,9.50,Automobiles,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Amitech Textiles Ltd.,Brickwork,Term loans,Term Loan,D,2026-03-11,105.0,MEDIUM,9.79,Construction,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Ammanarul Spinners Pvt. Ltd.,Brickwork,Term loans,Term Loan,D,2025-07-01,358.0,HOT,10.47,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Amrit Exports Pvt. Ltd.,Brickwork,Letter Of credit,Letter of Credit,A 4,2025-05-28,392.0,ULTRA HOT,3.00,IT/Technology,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Amrutha Coffee Pvt. Ltd.,Brickwork,Letter Of credit,Letter of Credit,A 4,2026-02-24,120.0,MEDIUM,1.50,Agro/Food,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Anadi Rice Mill Pvt. Ltd.,Brickwork,Term loans,Term Loan,D,2026-03-17,99.0,MEDIUM,0.50,Agro/Food,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Anand Transport Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2025-05-30,390.0,ULTRA HOT,104.57,Logistics,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Anand Triplex Board Pvt. Ltd.,Brickwork,Letter Of credit,Letter of Credit,A 4,2026-01-22,153.0,MEDIUM,4.00,Paper/Packaging,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Ananda Dairy Intl. Ltd.,Brickwork,Fund based financial facility/instrument,Fund Based,B+,2025-08-05,323.0,HOT,278.57,Agro/Food,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Anant Dudh Pvt. Ltd.,Brickwork,Fund based financial facility/instrument,Fund Based,D,2025-05-30,390.0,ULTRA HOT,5.20,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Ananya Engineering Pvt. Ltd.,Brickwork,Fund based financial facility/instrument,Fund Based,C,2026-01-27,148.0,MEDIUM,0.96,Manufacturing,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Andhra Pradesh Power Generation Corpn. Ltd.,Brickwork,Fund based financial facility/instrument,Fund Based,C,2025-07-21,338.0,HOT,3904.22,Energy,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Andhra Pradesh Township & Infrastructure Devp. Corpn. Ltd.,Brickwork,Term loans,Term Loan,BB-,2025-06-05,384.0,ULTRA HOT,220.99,Construction,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
