Company Name,Current Rating Agency,Instrument,Rating,Rating Date,Days Since Rating,Urgency,Amount Cr,Sector,Source,Is Super Target T1,Is Super Target T2,Is Three Way INC,Multi Agency INC,Priority Score,SEBI Note,Why Target,ACER Pitch Script
Srivatsa Encivil Private Limited,Infomerics,NCD,IVR D (INC)(Reaffirmed),2025-03-04,477.0,ULTRA HOT,,Construction,Infomerics,0.0,0.0,0.0,0.0,9.76,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (477 days overdue),Your NCD rating at Infomerics has been INC for 477 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
ICL Fincorp Limited,Infomerics,NCD,IVR BB (INC) (Reaffirmed),2025-03-21,460.0,ULTRA HOT,,Other,Infomerics,0.0,0.0,0.0,0.0,9.59,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (460 days overdue),Your NCD rating at Infomerics has been INC for 460 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
Saisrushti Bidalur Projects Private Limited,Infomerics,NCD,IVR B (INC)(Downgraded),2025-04-15,435.0,ULTRA HOT,,Agro/Food,Infomerics,0.0,0.0,0.0,0.0,9.34,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (435 days overdue),Your NCD rating at Infomerics has been INC for 435 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
Parinee Realtors Private Limited,Infomerics,NCD,IVR D (INC)(Reaffirmed),2025-04-23,427.0,ULTRA HOT,,Other,Infomerics,0.0,0.0,0.0,0.0,9.26,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (427 days overdue),Your NCD rating at Infomerics has been INC for 427 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
Parinee Shelters Private Limited,Infomerics,NCD,IVR D (INC)(Reaffirmed),2025-04-23,427.0,ULTRA HOT,,Other,Infomerics,0.0,0.0,0.0,0.0,9.26,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (427 days overdue),Your NCD rating at Infomerics has been INC for 427 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
Onkar International Pvt. Ltd.,CARE,NCD,C/A4,2025-05-06,414.0,ULTRA HOT,5.00,Other,D365,0.0,1.0,0.0,0.0,14.13,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (414 days overdue),Your NCD rating at CARE has been INC for 414 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
Shree Sidhbali Industries Ltd.,BRICKWORK,NCD,B/A4,2025-05-06,414.0,ULTRA HOT,17.00,Other,D365,0.0,1.0,0.0,0.0,14.13,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (414 days overdue),Your NCD rating at BRICKWORK has been INC for 414 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
West Coast Fine Foods (India) Pvt. Ltd.,CARE,NCD,D,2025-05-06,414.0,ULTRA HOT,15.00,Agro/Food,D365,0.0,1.0,0.0,0.0,14.13,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (414 days overdue),Your NCD rating at CARE has been INC for 414 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
Cucku Enterprises Pvt. Ltd.,CARE,NCD,D,2025-05-07,413.0,ULTRA HOT,6.50,Other,D365,0.0,1.0,0.0,0.0,14.12,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (413 days overdue),Your NCD rating at CARE has been INC for 413 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
Iscon Craft Paper Mill Pvt. Ltd.,CARE,NCD,B-/A4,2025-05-07,413.0,ULTRA HOT,8.75,Paper/Packaging,D365,0.0,1.0,0.0,1.0,17.12,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (413 days overdue),Your NCD rating at CARE has been INC for 413 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
Traditional Gallery Pvt. Ltd.,CARE,NCD,B+/A4,2025-05-07,413.0,ULTRA HOT,3.00,Other,D365,0.0,1.0,0.0,0.0,14.12,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (413 days overdue),Your NCD rating at CARE has been INC for 413 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
Dhan Steels Pvt. Ltd.,CARE,NCD,B/A4,2025-05-08,412.0,ULTRA HOT,35.00,Steel,D365,0.0,1.0,0.0,0.0,14.11,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (412 days overdue),Your NCD rating at CARE has been INC for 412 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
Lanco Babandh Power Ltd.,CARE,NCD,D,2025-05-08,412.0,ULTRA HOT,750.00,Energy,D365,0.0,1.0,0.0,0.0,14.11,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (412 days overdue),Your NCD rating at CARE has been INC for 412 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
