Year_Month,Total_Records,INC_Records,Active_Non_INC_Records,Total_Companies,INC_Companies,Active_Companies,INC_Rate_pct
2025-05,401,390,11,232,226,6,97.3
2025-06,433,409,24,244,231,13,94.5
2025-07,413,335,78,233,204,29,81.1
2025-08,337,261,76,166,143,24,77.4
2025-09,366,276,90,180,149,33,75.4
2025-10,288,241,47,167,150,19,83.7
2025-11,278,240,38,147,132,17,86.3
2025-12,311,228,83,160,129,33,73.3
2026-01,263,224,39,134,120,15,85.2
2026-02,355,272,83,186,160,27,76.6
2026-03,543,457,86,274,243,31,84.2
2026-04,229,153,76,121,94,27,66.8
