Company Name,Instrument,Amount (Cr),Rating,Rating Date,Days Since Rating,Urgency,Sector,State,Current Rater,Why Target,ACER Pitch Angle
West Coast Fine Foods (India) Pvt. Ltd.,Non-government debt,15.0,D,2025-05-06,414,ULTRA HOT,Agro/Food,Unknown,CARE,CARE NCD INC 414 days — NCD instrument non-functional; active rating needed for compliance and re-issuance,Your NCD at CARE has been INC for 414 days — this blocks bond re-issuance and triggers investor communication obligations. ACER provides fresh NCD ratings in 30 days with dedicated analyst access.
Onkar International Pvt. Ltd.,Non-government debt,2.0,C/A4,2025-05-06,414,ULTRA HOT,Other,Unknown,CARE,CARE NCD INC 414 days — NCD instrument non-functional; active rating needed for compliance and re-issuance,Your NCD at CARE has been INC for 414 days — this blocks bond re-issuance and triggers investor communication obligations. ACER provides fresh NCD ratings in 30 days with dedicated analyst access.
Onkar International Pvt. Ltd.,Non-government debt,5.0,C/A4,2025-05-06,414,ULTRA HOT,Other,Unknown,CARE,CARE NCD INC 414 days — NCD instrument non-functional; active rating needed for compliance and re-issuance,Your NCD at CARE has been INC for 414 days — this blocks bond re-issuance and triggers investor communication obligations. ACER provides fresh NCD ratings in 30 days with dedicated analyst access.
Onkar International Pvt. Ltd.,Non-government debt,11.0,C/A4,2025-05-06,414,ULTRA HOT,Other,Unknown,CARE,CARE NCD INC 414 days — NCD instrument non-functional; active rating needed for compliance and re-issuance,Your NCD at CARE has been INC for 414 days — this blocks bond re-issuance and triggers investor communication obligations. ACER provides fresh NCD ratings in 30 days with dedicated analyst access.
Traditional Gallery Pvt. Ltd.,Non-government debt,3.0,B+/A4,2025-05-07,413,ULTRA HOT,Trading/Exports,Unknown,CARE,CARE NCD INC 413 days — NCD instrument non-functional; active rating needed for compliance and re-issuance,Your NCD at CARE has been INC for 413 days — this blocks bond re-issuance and triggers investor communication obligations. ACER provides fresh NCD ratings in 30 days with dedicated analyst access.
Cucku Enterprises Pvt. Ltd.,Non-government debt,6.5,D,2025-05-07,413,ULTRA HOT,Other,Unknown,CARE,CARE NCD INC 413 days — NCD instrument non-functional; active rating needed for compliance and re-issuance,Your NCD at CARE has been INC for 413 days — this blocks bond re-issuance and triggers investor communication obligations. ACER provides fresh NCD ratings in 30 days with dedicated analyst access.
Iscon Craft Paper Mill Pvt. Ltd.,Non-government debt,8.75,B-/A4,2025-05-07,413,ULTRA HOT,Paper/Packaging,Unknown,CARE,CARE NCD INC 413 days — NCD instrument non-functional; active rating needed for compliance and re-issuance,Your NCD at CARE has been INC for 413 days — this blocks bond re-issuance and triggers investor communication obligations. ACER provides fresh NCD ratings in 30 days with dedicated analyst access.
Traditional Gallery Pvt. Ltd.,Non-government debt,5.0,B+/A4,2025-05-07,413,ULTRA HOT,Trading/Exports,Unknown,CARE,CARE NCD INC 413 days — NCD instrument non-functional; active rating needed for compliance and re-issuance,Your NCD at CARE has been INC for 413 days — this blocks bond re-issuance and triggers investor communication obligations. ACER provides fresh NCD ratings in 30 days with dedicated analyst access.
Dhan Steels Pvt. Ltd.,Non-government debt,35.0,B/A4,2025-05-08,412,ULTRA HOT,Steel & Metals,Unknown,CARE,CARE NCD INC 412 days — NCD instrument non-functional; active rating needed for compliance and re-issuance,Your NCD at CARE has been INC for 412 days — this blocks bond re-issuance and triggers investor communication obligations. ACER provides fresh NCD ratings in 30 days with dedicated analyst access.
Lanco Babandh Power Ltd.,Non-government debt,750.0,D,2025-05-08,412,ULTRA HOT,Energy,Unknown,CARE,CARE NCD INC 412 days — NCD instrument non-functional; active rating needed for compliance and re-issuance,Your NCD at CARE has been INC for 412 days — this blocks bond re-issuance and triggers investor communication obligations. ACER provides fresh NCD ratings in 30 days with dedicated analyst access.
