Sector,Companies,Records,ULTRA_HOT,HOT,Avg_Days,Total_Amount_Cr,Max_Amount_Cr
Other,199,234,38,62,246.16666666666666,27693.78,9092.78
Construction,43,57,6,14,216.35087719298247,11454.18,7900.0
Energy,32,42,14,5,237.35714285714286,7802.69,3000.0
Manufacturing,28,33,6,9,234.06060606060606,1981.13,840.27
Steel & Metals,27,30,5,10,253.36666666666667,527.98,135.0
Agro/Food,24,26,3,5,222.3846153846154,2456.1400000000003,1179.67
Chemicals/Pharma,20,29,5,4,219.0,992.76,255.0
IT/Technology,16,20,1,3,184.5,519.94,205.0
Automobiles,14,19,1,5,180.21052631578948,378.99,116.0
Textiles,13,15,1,6,239.2,297.08,69.6
Logistics,9,9,1,3,211.11111111111111,1078.86,890.0
Paper/Packaging,8,11,1,3,223.1818181818182,226.43,78.0
Healthcare,7,8,0,1,154.375,150.28,76.78
Jewellery/Gems,5,7,0,1,183.28571428571428,391.88,120.0
Trading/Exports,5,7,4,1,332.57142857142856,207.0,120.0
Hotels/Tourism,2,2,0,1,238.0,9.5,8.0
BFSI,2,4,0,0,138.0,754.71,435.71
