Company Name,Agency,Instrument,Rating,Rating Date,Days Since Rating,Urgency,Amount (Cr),Sector,State,N_INC_Agencies,INC_Agencies_List,Why Target,ACER Pitch Angle
Ashok Bricks Inds. Pvt. Ltd.,BRICKWORK,Bank Guarantee,D,2025-05-20,400,ULTRA HOT,29.0,Construction,Unknown,4,"BRICKWORK, CRISIL, ICRA, IND-RA",INC at ALL 4 major agencies simultaneously — maximum displacement opportunity; 400 days overdue at BRICKWORK,"Ashok Bricks Inds. Pvt. Ltd. has been INC at every established agency. ACER offers a fresh start: dedicated analyst, transparent criteria, new review process within 45 days. This is likely a documentation or cooperation issue we can help resolve."
Ashok Bricks Inds. Pvt. Ltd.,BRICKWORK,Term loans,D,2025-05-20,400,ULTRA HOT,4.47,Construction,Unknown,4,"BRICKWORK, CRISIL, ICRA, IND-RA",INC at ALL 4 major agencies simultaneously — maximum displacement opportunity; 400 days overdue at BRICKWORK,"Ashok Bricks Inds. Pvt. Ltd. has been INC at every established agency. ACER offers a fresh start: dedicated analyst, transparent criteria, new review process within 45 days. This is likely a documentation or cooperation issue we can help resolve."
Ashok Bricks Inds. Pvt. Ltd.,ICRA,Non-government debt,D,2025-09-26,271,HOT,20.0,Construction,Unknown,4,"BRICKWORK, CRISIL, ICRA, IND-RA",INC at ALL 4 major agencies simultaneously — maximum displacement opportunity; 271 days overdue at ICRA,"Ashok Bricks Inds. Pvt. Ltd. has been INC at every established agency. ACER offers a fresh start: dedicated analyst, transparent criteria, new review process within 45 days. This is likely a documentation or cooperation issue we can help resolve."
Ashok Bricks Inds. Pvt. Ltd.,ICRA,Non-government debt,D,2025-09-26,271,HOT,0.03,Construction,Unknown,4,"BRICKWORK, CRISIL, ICRA, IND-RA",INC at ALL 4 major agencies simultaneously — maximum displacement opportunity; 271 days overdue at ICRA,"Ashok Bricks Inds. Pvt. Ltd. has been INC at every established agency. ACER offers a fresh start: dedicated analyst, transparent criteria, new review process within 45 days. This is likely a documentation or cooperation issue we can help resolve."
Ashok Bricks Inds. Pvt. Ltd.,ICRA,Term loans,D,2025-09-26,271,HOT,0.47,Construction,Unknown,4,"BRICKWORK, CRISIL, ICRA, IND-RA",INC at ALL 4 major agencies simultaneously — maximum displacement opportunity; 271 days overdue at ICRA,"Ashok Bricks Inds. Pvt. Ltd. has been INC at every established agency. ACER offers a fresh start: dedicated analyst, transparent criteria, new review process within 45 days. This is likely a documentation or cooperation issue we can help resolve."
Ashok Bricks Inds. Pvt. Ltd.,CRISIL,Bank Guarantee,D,2026-02-20,124,LOW,20.0,Construction,Unknown,4,"BRICKWORK, CRISIL, ICRA, IND-RA",INC at ALL 4 major agencies simultaneously — maximum displacement opportunity; 124 days overdue at CRISIL,"Ashok Bricks Inds. Pvt. Ltd. has been INC at every established agency. ACER offers a fresh start: dedicated analyst, transparent criteria, new review process within 45 days. This is likely a documentation or cooperation issue we can help resolve."
Ashok Bricks Inds. Pvt. Ltd.,CRISIL,Letter Of credit,D,2026-02-20,124,LOW,1.5,Construction,Unknown,4,"BRICKWORK, CRISIL, ICRA, IND-RA",INC at ALL 4 major agencies simultaneously — maximum displacement opportunity; 124 days overdue at CRISIL,"Ashok Bricks Inds. Pvt. Ltd. has been INC at every established agency. ACER offers a fresh start: dedicated analyst, transparent criteria, new review process within 45 days. This is likely a documentation or cooperation issue we can help resolve."
Ashok Bricks Inds. Pvt. Ltd.,CRISIL,Term loans,D,2026-02-20,124,LOW,0.47,Construction,Unknown,4,"BRICKWORK, CRISIL, ICRA, IND-RA",INC at ALL 4 major agencies simultaneously — maximum displacement opportunity; 124 days overdue at CRISIL,"Ashok Bricks Inds. Pvt. Ltd. has been INC at every established agency. ACER offers a fresh start: dedicated analyst, transparent criteria, new review process within 45 days. This is likely a documentation or cooperation issue we can help resolve."
Ashok Bricks Inds. Pvt. Ltd.,IND-RA,Non-government debt,D,2026-04-02,83,LOW,44.0,Construction,Unknown,4,"BRICKWORK, CRISIL, ICRA, IND-RA",INC at ALL 4 major agencies simultaneously — maximum displacement opportunity; 83 days overdue at IND-RA,"Ashok Bricks Inds. Pvt. Ltd. has been INC at every established agency. ACER offers a fresh start: dedicated analyst, transparent criteria, new review process within 45 days. This is likely a documentation or cooperation issue we can help resolve."
Kohinoor Feeds & Fats Pvt. Ltd.,CRISIL,Fund based financial facility/instrument,B,2025-07-18,341,HOT,12.0,Other,Unknown,4,"ACUITE, BRICKWORK, CRISIL, IND-RA",INC at ALL 4 major agencies simultaneously — maximum displacement opportunity; 341 days overdue at CRISIL,"Kohinoor Feeds & Fats Pvt. Ltd. has been INC at every established agency. ACER offers a fresh start: dedicated analyst, transparent criteria, new review process within 45 days. This is likely a documentation or cooperation issue we can help resolve."
Kohinoor Feeds & Fats Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-09-03,294,HOT,,Other,Unknown,4,"ACUITE, BRICKWORK, CRISIL, IND-RA",INC at ALL 4 major agencies simultaneously — maximum displacement opportunity; 294 days overdue at BRICKWORK,"Kohinoor Feeds & Fats Pvt. Ltd. has been INC at every established agency. ACER offers a fresh start: dedicated analyst, transparent criteria, new review process within 45 days. This is likely a documentation or cooperation issue we can help resolve."
