Company Name,Agency,Instrument Type,Rating,Rating Date,Days Since (Jun 25),Current Urgency,Urgency at Oct 1,Urgency at Nov 1,Amount Cr,Sector,Why Target
Ashok Bricks Inds. Pvt. Ltd.,IND-RA,NCD/Bond,D,02-Apr-2026,84,LOW,MEDIUM,MEDIUM,44.0,Construction,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Asian Hotels (West) Ltd.,IND-RA,Term Loan,D,02-Apr-2026,84,LOW,MEDIUM,MEDIUM,247.76,Hotels/Tourism,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Associated Appliances Ltd.,BRICKWORK,Bank Guarantee,D,03-Apr-2026,83,LOW,MEDIUM,MEDIUM,3.0,IT/Technology,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Associated Appliances Ltd.,BRICKWORK,Letter of Credit,D,03-Apr-2026,83,LOW,MEDIUM,MEDIUM,11.0,IT/Technology,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Assorted Plastics Pvt. Ltd.,BRICKWORK,Term Loan,C,06-Apr-2026,80,LOW,LOW,MEDIUM,2.76,Chemicals/Pharma,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Atul Generators Pvt. Ltd.,BRICKWORK,Bank Guarantee,C,08-Apr-2026,78,LOW,LOW,MEDIUM,0.95,Energy,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Auro Industries Ltd.,ACUITE,Bank Guarantee,A 4,02-Apr-2026,84,LOW,MEDIUM,MEDIUM,0.75,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Auro Industries Ltd.,ACUITE,Letter of Credit,A 4,02-Apr-2026,84,LOW,MEDIUM,MEDIUM,2.25,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Auro Industries Ltd.,ACUITE,Term Loan,B-,02-Apr-2026,84,LOW,MEDIUM,MEDIUM,0.43,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Auto Hitech Pvt. Ltd.,ICRA,Term Loan,B+,17-Apr-2026,69,LOW,LOW,MEDIUM,2.0,IT/Technology,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Avian Infrastructure & Energy Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,21-Apr-2026,65,LOW,LOW,MEDIUM,55.0,Construction,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Azam Rubber Products Pvt. Ltd.,CARE,Non-Fund-Based,D,15-Apr-2026,71,LOW,LOW,MEDIUM,30.8,Chemicals/Pharma,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Azam Rubber Products Pvt. Ltd.,CARE,Term Loan,D,15-Apr-2026,71,LOW,LOW,MEDIUM,29.48,Chemicals/Pharma,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
B A S S Minerals India Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,02-Apr-2026,84,LOW,MEDIUM,MEDIUM,5.0,Mining/Minerals,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
B C L Secure Premises Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,22-Apr-2026,64,LOW,LOW,MEDIUM,10.0,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
B C L Secure Premises Pvt. Ltd.,CRISIL,Term Loan,B,22-Apr-2026,64,LOW,LOW,MEDIUM,1.0,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
B D Steels Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,17-Apr-2026,69,LOW,LOW,MEDIUM,3.0,Steel & Metals,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
B K Sons Infrastructure Pvt. Ltd.,CARE,Bank Guarantee,D,21-Apr-2026,65,LOW,LOW,MEDIUM,50.0,Construction,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
B N S R Inds. Ltd.,IND-RA,NCD/Bond,B-/A4,02-Apr-2026,84,LOW,MEDIUM,MEDIUM,4.9,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
B N T Connections Impex Ltd.,IND-RA,NCD/Bond,B-/A4,02-Apr-2026,84,LOW,MEDIUM,MEDIUM,30.55,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
B S Shakti Steel Pvt. Ltd.,CARE,Fund-Based,B-,13-Apr-2026,73,LOW,LOW,MEDIUM,17.5,Steel & Metals,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
B S Shakti Steel Pvt. Ltd.,CARE,Letter of Credit,A 4,13-Apr-2026,73,LOW,LOW,MEDIUM,3.0,Steel & Metals,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
B S Shakti Steel Pvt. Ltd.,CARE,Term Loan,B-,13-Apr-2026,73,LOW,LOW,MEDIUM,3.0,Steel & Metals,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
B S T Textile Mills Pvt. Ltd.,CARE,Bank Guarantee,D,02-Apr-2026,84,LOW,MEDIUM,MEDIUM,1.0,Textiles,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
