Company Name,Agency,Instrument Type,Rating,Rating Date,Current Urgency,Urgency at Oct 1,Urgency at Nov 1,Days Since (Jun 25),Amount Cr,Sector
Ashok Bricks Inds. Pvt. Ltd.,IND-RA,NCD/Bond,D,02-04-2026,LOW,MEDIUM,MEDIUM,84,44.0,Construction
Asian Hotels (West) Ltd.,IND-RA,Term Loan,D,02-04-2026,LOW,MEDIUM,MEDIUM,84,247.76,Hotels/Tourism
Associated Appliances Ltd.,BRICKWORK,Bank Guarantee,D,03-04-2026,LOW,MEDIUM,MEDIUM,83,3.0,IT/Technology
Associated Appliances Ltd.,BRICKWORK,Letter of Credit,D,03-04-2026,LOW,MEDIUM,MEDIUM,83,11.0,IT/Technology
Assorted Plastics Pvt. Ltd.,BRICKWORK,Term Loan,C,06-04-2026,LOW,LOW,MEDIUM,80,2.76,Chemicals/Pharma
Atul Generators Pvt. Ltd.,BRICKWORK,Bank Guarantee,C,08-04-2026,LOW,LOW,MEDIUM,78,0.95,Energy
Auro Industries Ltd.,ACUITE,Bank Guarantee,A 4,02-04-2026,LOW,MEDIUM,MEDIUM,84,0.75,Other
Auro Industries Ltd.,ACUITE,Letter of Credit,A 4,02-04-2026,LOW,MEDIUM,MEDIUM,84,2.25,Other
Auro Industries Ltd.,ACUITE,Term Loan,B-,02-04-2026,LOW,MEDIUM,MEDIUM,84,0.43,Other
Auto Hitech Pvt. Ltd.,ICRA,Term Loan,B+,17-04-2026,LOW,LOW,MEDIUM,69,2.0,IT/Technology
Avian Infrastructure & Energy Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,21-04-2026,LOW,LOW,MEDIUM,65,55.0,Construction
Azam Rubber Products Pvt. Ltd.,CARE,Non-Fund-Based,D,15-04-2026,LOW,LOW,MEDIUM,71,30.8,Chemicals/Pharma
Azam Rubber Products Pvt. Ltd.,CARE,Term Loan,D,15-04-2026,LOW,LOW,MEDIUM,71,29.48,Chemicals/Pharma
B A S S Minerals India Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,02-04-2026,LOW,MEDIUM,MEDIUM,84,5.0,Mining/Minerals
B C L Secure Premises Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,22-04-2026,LOW,LOW,MEDIUM,64,10.0,Other
B C L Secure Premises Pvt. Ltd.,CRISIL,Term Loan,B,22-04-2026,LOW,LOW,MEDIUM,64,1.0,Other
B D Steels Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,17-04-2026,LOW,LOW,MEDIUM,69,3.0,Steel & Metals
B K Sons Infrastructure Pvt. Ltd.,CARE,Bank Guarantee,D,21-04-2026,LOW,LOW,MEDIUM,65,50.0,Construction
B N S R Inds. Ltd.,IND-RA,NCD/Bond,B-/A4,02-04-2026,LOW,MEDIUM,MEDIUM,84,4.9,Other
B N T Connections Impex Ltd.,IND-RA,NCD/Bond,B-/A4,02-04-2026,LOW,MEDIUM,MEDIUM,84,30.55,Other
B S Shakti Steel Pvt. Ltd.,CARE,Fund-Based,B-,13-04-2026,LOW,LOW,MEDIUM,73,17.5,Steel & Metals
B S Shakti Steel Pvt. Ltd.,CARE,Letter of Credit,A 4,13-04-2026,LOW,LOW,MEDIUM,73,3.0,Steel & Metals
B S Shakti Steel Pvt. Ltd.,CARE,Term Loan,B-,13-04-2026,LOW,LOW,MEDIUM,73,3.0,Steel & Metals
B S T Textile Mills Pvt. Ltd.,CARE,Bank Guarantee,D,02-04-2026,LOW,MEDIUM,MEDIUM,84,1.0,Textiles
B S T Textile Mills Pvt. Ltd.,CARE,Term Loan,D,02-04-2026,LOW,MEDIUM,MEDIUM,84,18.44,Textiles
B V S Distilleries Pvt. Ltd.,IND-RA,Term Loan,D,02-04-2026,LOW,MEDIUM,MEDIUM,84,29.0,Other
Baba Malleshwar Rice Mill Pvt. Ltd.,CARE,Bank Guarantee,A 4,15-04-2026,LOW,LOW,MEDIUM,71,0.21,Agro/Food
Baba Malleshwar Rice Mill Pvt. Ltd.,CARE,Term Loan,B-,15-04-2026,LOW,LOW,MEDIUM,71,4.42,Agro/Food
Baba Structural Pvt. Ltd.,CARE,Bank Guarantee,A 4,13-04-2026,LOW,LOW,MEDIUM,73,2.7,Other
Baba Structural Pvt. Ltd.,CARE,Term Loan,B+,13-04-2026,LOW,LOW,MEDIUM,73,6.96,Other
Bagga Link Motors Ltd.,ICRA,Fund-Based,A 4,24-04-2026,LOW,LOW,MEDIUM,62,29.1,Automobiles
Bagga Link Motors Ltd.,ICRA,Letter of Credit,A 4,24-04-2026,LOW,LOW,MEDIUM,62,2.0,Automobiles
Bagga Link Motors Ltd.,ICRA,Term Loan,B+,24-04-2026,LOW,LOW,MEDIUM,62,4.26,Automobiles
Bagh Bahar Appliances Pvt. Ltd.,ACUITE,Term Loan,D,07-04-2026,LOW,LOW,MEDIUM,79,5.0,IT/Technology
Bagpoly International Pvt. Ltd.,CARE,Bank Guarantee,B-,13-04-2026,LOW,LOW,MEDIUM,73,8.4,Other
Bagpoly International Pvt. Ltd.,CARE,NCD/Bond,B-/A4,13-04-2026,LOW,LOW,MEDIUM,73,0.15,Other
Bagpoly International Pvt. Ltd.,CARE,NCD/Bond,B-/A4,13-04-2026,LOW,LOW,MEDIUM,73,7.8,Other
Bahl Builders Pvt. Ltd.,CARE,NCD/Bond,BB-/A4,30-04-2026,LOW,LOW,MEDIUM,56,5.0,Construction
Bahl Builders Pvt. Ltd.,CARE,NCD/Bond,BB-/A4,30-04-2026,LOW,LOW,MEDIUM,56,30.0,Construction
Balaji Agro Pvt. Ltd.,ACUITE,Letter of Credit,A 4,17-04-2026,LOW,LOW,MEDIUM,69,2.0,Agro/Food
Balaji Agro Pvt. Ltd.,ACUITE,Term Loan,B+,17-04-2026,LOW,LOW,MEDIUM,69,0.2,Agro/Food
Balaji Agro Pvt. Ltd.,ACUITE,Term Loan,A 4,17-04-2026,LOW,LOW,MEDIUM,69,0.5,Agro/Food
Balaji Agro Pvt. Ltd.,CRISIL,Letter of Credit,A 4,21-04-2026,LOW,LOW,MEDIUM,65,2.0,Agro/Food
Balaji Agro Pvt. Ltd.,CRISIL,Letter of Credit,A 4,21-04-2026,LOW,LOW,MEDIUM,65,1.5,Agro/Food
Balaji Dayalpura Infra Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,30-04-2026,LOW,LOW,MEDIUM,56,85.5,Construction
Balaji Dayalpura Infra Pvt. Ltd.,CRISIL,Term Loan,B,30-04-2026,LOW,LOW,MEDIUM,56,3.4,Construction
Balaji Fiber Reinforce Pvt. Ltd.,IND-RA,NCD/Bond,D,02-04-2026,LOW,MEDIUM,MEDIUM,84,30.0,Textiles
Balarka Fabricon Pvt. Ltd.,CARE,Bank Guarantee,A 4,28-04-2026,LOW,LOW,MEDIUM,58,1.0,Textiles
Balarka Fabricon Pvt. Ltd.,CARE,Term Loan,B-,28-04-2026,LOW,LOW,MEDIUM,58,1.01,Textiles
Bangalore Metallurgicals Pvt. Ltd.,ICRA,Term Loan,B+,29-04-2026,LOW,LOW,MEDIUM,57,1.5,Steel & Metals
Bansal Associates Pvt. Ltd.,CRISIL,Letter of Credit,A 4,21-04-2026,LOW,LOW,MEDIUM,65,6.0,Other
Bardhaman Edible Pvt. Ltd.,CARE,Bank Guarantee,A 4,14-04-2026,LOW,LOW,MEDIUM,72,0.17,Other
Bardhaman Edible Pvt. Ltd.,CARE,Term Loan,B-,14-04-2026,LOW,LOW,MEDIUM,72,1.03,Other
Baril Marketing Pvt. Ltd.,BRICKWORK,Fund-Based,C,06-04-2026,LOW,LOW,MEDIUM,80,19.0,Steel & Metals
Belgachi Tea Co. Ltd.,CARE,Bank Guarantee,A 4,15-04-2026,LOW,LOW,MEDIUM,71,0.58,Agro/Food
Belgachi Tea Co. Ltd.,CARE,Term Loan,B-,15-04-2026,LOW,LOW,MEDIUM,71,7.4,Agro/Food
Bell Finvest (India) Ltd.,CARE,Term Loan,D,01-04-2026,LOW,MEDIUM,MEDIUM,85,150.0,Other
Bell-O-Seal Valves Pvt. Ltd.,CARE,Bank Guarantee,A 4+,06-04-2026,LOW,LOW,MEDIUM,80,13.0,Other
Bell-O-Seal Valves Pvt. Ltd.,CARE,Term Loan,BB+,06-04-2026,LOW,LOW,MEDIUM,80,3.22,Other
