Sector,Companies,Records,UltraHot_Escalations,Hot_Escalations,Medium_Escalations
Other,210,373,165,173,35
Construction,41,69,31,33,5
Agro/Food,40,69,30,32,7
Textiles,22,41,16,18,7
Steel & Metals,21,36,19,11,6
Manufacturing,19,34,16,17,1
Chemicals/Pharma,19,36,6,27,3
Automobiles,18,29,14,14,1
IT/Technology,16,26,13,12,1
Healthcare,14,23,12,9,2
Paper/Packaging,13,28,10,14,4
Energy,12,17,9,5,3
Logistics,8,15,5,10,0
Trading/Exports,6,11,7,4,0
Hotels/Tourism,6,9,8,0,1
Jewellery/Gems,4,4,3,0,1
BFSI,2,2,2,0,0
