Company Name,Agency,Instrument Type,Rating,Rating Date,Current Urgency,Escalates To,Escalation Date,Escalation Month,Days Since (Jun 25),Amount Cr,Sector,Source,Why Target,ACER Pitch Angle,Instrument Short,Priority Score,BW Displacement Note
Hemodiaz Life Sciences Pvt. Ltd.,BRICKWORK,Letter of Credit,A 4,07-Oct-2025,MEDIUM,ULTRA HOT,2026-10-07,October 2026,261,4.0,Healthcare,D365,INC rating hits ULTRA HOT threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,Letter of Credit,5,"BW INC rate ~90% — structural non-performer. Escalates to ULTRA HOT by 2026-10-07. ACER pitch: faster processing, accessible analyst, SEBI-grade service."
King Yarns Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,07-Oct-2025,MEDIUM,ULTRA HOT,2026-10-07,October 2026,261,2.0,Textiles,D365,INC rating hits ULTRA HOT threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,Bank Guarantee,5,"BW INC rate ~90% — structural non-performer. Escalates to ULTRA HOT by 2026-10-07. ACER pitch: faster processing, accessible analyst, SEBI-grade service."
King Yarns Pvt. Ltd.,BRICKWORK,Fund-Based,B+,07-Oct-2025,MEDIUM,ULTRA HOT,2026-10-07,October 2026,261,3.05,Textiles,D365,INC rating hits ULTRA HOT threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,Fund-Based,5,"BW INC rate ~90% — structural non-performer. Escalates to ULTRA HOT by 2026-10-07. ACER pitch: faster processing, accessible analyst, SEBI-grade service."
King Yarns Pvt. Ltd.,BRICKWORK,Term Loan,B+,07-Oct-2025,MEDIUM,ULTRA HOT,2026-10-07,October 2026,261,29.65,Textiles,D365,INC rating hits ULTRA HOT threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,Term Loan,5,"BW INC rate ~90% — structural non-performer. Escalates to ULTRA HOT by 2026-10-07. ACER pitch: faster processing, accessible analyst, SEBI-grade service."
Rana Steels India Pvt. Ltd.,BRICKWORK,Letter of Credit,A 4,07-Oct-2025,MEDIUM,ULTRA HOT,2026-10-07,October 2026,261,4.0,Steel & Metals,D365,INC rating hits ULTRA HOT threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,Letter of Credit,5,"BW INC rate ~90% — structural non-performer. Escalates to ULTRA HOT by 2026-10-07. ACER pitch: faster processing, accessible analyst, SEBI-grade service."
Rana Steels India Pvt. Ltd.,BRICKWORK,Term Loan,C,07-Oct-2025,MEDIUM,ULTRA HOT,2026-10-07,October 2026,261,8.35,Steel & Metals,D365,INC rating hits ULTRA HOT threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,Term Loan,5,"BW INC rate ~90% — structural non-performer. Escalates to ULTRA HOT by 2026-10-07. ACER pitch: faster processing, accessible analyst, SEBI-grade service."
Shashank Auto Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,07-Oct-2025,MEDIUM,ULTRA HOT,2026-10-07,October 2026,261,0.55,Automobiles,D365,INC rating hits ULTRA HOT threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,Bank Guarantee,5,"BW INC rate ~90% — structural non-performer. Escalates to ULTRA HOT by 2026-10-07. ACER pitch: faster processing, accessible analyst, SEBI-grade service."
Shashank Auto Pvt. Ltd.,BRICKWORK,Term Loan,C,07-Oct-2025,MEDIUM,ULTRA HOT,2026-10-07,October 2026,261,2.35,Automobiles,D365,INC rating hits ULTRA HOT threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,Term Loan,5,"BW INC rate ~90% — structural non-performer. Escalates to ULTRA HOT by 2026-10-07. ACER pitch: faster processing, accessible analyst, SEBI-grade service."
A 2 Z Auto Wheels Pvt. Ltd.,BRICKWORK,Fund-Based,BB-,07-Oct-2025,MEDIUM,ULTRA HOT,2026-10-07,October 2026,261,2.6,Automobiles,D365,INC rating hits ULTRA HOT threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,Fund-Based,5,"BW INC rate ~90% — structural non-performer. Escalates to ULTRA HOT by 2026-10-07. ACER pitch: faster processing, accessible analyst, SEBI-grade service."
Akbar Travels Of India Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,07-Oct-2025,MEDIUM,ULTRA HOT,2026-10-07,October 2026,261,268.0,Hotels/Tourism,D365,INC rating hits ULTRA HOT threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,Bank Guarantee,5,"BW INC rate ~90% — structural non-performer. Escalates to ULTRA HOT by 2026-10-07. ACER pitch: faster processing, accessible analyst, SEBI-grade service."
