Company Name,Agency,Instrument,Rating,Rating Date,Days Since,Urgency,Amount Cr,Sector
Gammon India Ltd.,CARE,NCD/Bond,D,22-Jul-2025,338,HOT,9092.78,Other
Simplex Infrastructures Ltd.,CARE,NCD/Bond,D,14-Nov-2025,223,MEDIUM,7900.0,Construction
Gayatri Projects Ltd.,CARE,NCD/Bond,D,17-Jul-2025,343,HOT,4447.16,Other
Jaiprakash Associates Ltd.,CARE,NCD/Bond,D,30-Jan-2026,146,LOW,4322.21,Other
Senvion Wind Technology Pvt. Ltd.,CARE,NCD/Bond,BB/A4,10-Mar-2026,107,LOW,3000.0,Energy
Neelachal Ispat Nigam Ltd.,CARE,NCD/Bond,AA/A1+,15-Sep-2025,283,HOT,2000.0,Other
Nagarjuna Fertilizers & Chemicals Ltd.,CARE,NCD/Bond,D,18-Dec-2025,189,MEDIUM,1179.67,Agro/Food
Regen Powertech Pvt. Ltd.,CARE,NCD/Bond,D,30-Jan-2026,146,LOW,905.0,Energy
I L & F S Transportation Networks Ltd.,CARE,NCD/Bond,D,24-Feb-2026,121,LOW,890.0,Logistics
Nutrionex Manufacturers Ltd.,CARE,NCD/Bond,D,11-Jul-2025,349,HOT,840.27,Manufacturing
Lanco Babandh Power Ltd.,CARE,NCD/Bond,D,08-May-2025,413,ULTRA HOT,750.0,Energy
M M T C Ltd.,CARE,NCD/Bond,D,12-Sep-2025,286,HOT,700.0,Other
Hindusthan National Glass & Inds. Ltd.,CARE,NCD/Bond,D,19-Jun-2025,371,ULTRA HOT,600.0,Other
Bangalore Electricity Supply Co. Ltd.,CARE,NCD/Bond,BB+/A4,20-Oct-2025,248,MEDIUM,600.0,Energy
Leel Electricals Ltd.,CARE,NCD/Bond,D,02-Jun-2025,388,ULTRA HOT,595.0,Energy
Lakshmi Infrastructure & Developers India Pvt. Ltd.,CARE,NCD/Bond,D,03-Jul-2025,357,HOT,450.0,Construction
Reliance Home Finance Ltd.,CARE,NCD/Bond,D,16-Feb-2026,129,LOW,435.71,BFSI
J M Mhatre Infra Pvt. Ltd.,CARE,NCD/Bond,BB-/A4,28-Aug-2025,301,HOT,379.0,Construction
Shree Hari Infraprojects Pvt. Ltd.,CARE,NCD/Bond,BB/A4,16-Apr-2026,70,LOW,323.0,Construction
Regen Powertech Pvt. Ltd.,CARE,NCD/Bond,D,30-Jan-2026,146,LOW,310.0,Energy
Future Consumer Ltd.,CARE,NCD/Bond,D,27-Jun-2025,363,HOT,305.75,Other
Nutrionex Manufacturers Ltd.,CARE,NCD/Bond,D,11-Jul-2025,349,HOT,293.0,Manufacturing
Vijai Electricals Ltd.,CARE,NCD/Bond,BB-/A4,10-Apr-2026,76,LOW,285.78,Energy
Rai Bahadur Narain Singh Sugar Mills Ltd.,CARE,NCD/Bond,BB/A4,03-Nov-2025,234,MEDIUM,275.02,Agro/Food
Ritzy Chemicals Pvt. Ltd.,CARE,NCD/Bond,D,07-Jan-2026,169,LOW,255.0,Chemicals/Pharma
Flexituff Ventures Intl. Ltd.,CARE,NCD/Bond,D,17-Apr-2026,69,LOW,251.17,Other
Hero Electric Vehicles Pvt. Ltd.,CARE,NCD/Bond,D,23-Jun-2025,367,ULTRA HOT,250.0,Energy
Invreco Pvt. Ltd.,CARE,NCD/Bond,BBB+/A2,01-Dec-2025,206,MEDIUM,250.0,Other
Krishna Buildestates Pvt. Ltd.,CARE,NCD/Bond,BBB/A3+,26-Mar-2026,91,LOW,246.6,Construction
Feedback Infra Pvt. Ltd.,CARE,NCD/Bond,D,03-Feb-2026,142,LOW,239.0,Construction
C M I Ltd.,CARE,NCD/Bond,D,09-Jul-2025,351,HOT,235.0,Other
T R N Energy Pvt. Ltd.,CARE,NCD/Bond,D,19-Nov-2025,218,MEDIUM,225.0,Energy
Vikran Engineering Ltd.,CARE,NCD/Bond,BB-/A4,02-Jul-2025,358,HOT,215.75,Manufacturing
Arcotech Ltd.,CARE,NCD/Bond,D,11-Sep-2025,287,HOT,205.0,IT/Technology
T R N Energy Pvt. Ltd.,CARE,NCD/Bond,D,19-Nov-2025,218,MEDIUM,205.0,Energy
Reliance Home Finance Ltd.,CARE,NCD/Bond,PP-MLD D,16-Feb-2026,129,LOW,200.0,BFSI
Ramsons Food Ltd.,CARE,NCD/Bond,BB-/A4,24-Sep-2025,274,HOT,195.0,Agro/Food
Katerra India Pvt. Ltd.,CARE,NCD/Bond,D,15-Sep-2025,283,HOT,190.0,Other
Rika Global Impex Ltd.,CARE,NCD/Bond,BB-/A4,09-Jun-2025,381,ULTRA HOT,185.0,Other
Shri Gautam Shipbreaking Inds. Pvt. Ltd.,CARE,NCD/Bond,BB+/A4+,06-Jun-2025,384,ULTRA HOT,180.0,Other
