Company Name,Current Rater,Instrument,Rating,Rating Date,Days Since Rating,Urgency,Amount Cr,Sector,Sub-Sector,Source,Why Target,ACER Pitch Angle
Jsw Mahanadi Power Co. Ltd.,ICRA,NCD/Bond,D,09-May-2025,412,ULTRA HOT,773.0,Energy,Power/Generation,D365,Energy NCD INC at ICRA (412 days) — SEBI CRA license mandate for NCD,NCD rated INC by ICRA — ACER specialises in energy sector NCD; 2-3 week completion
Lanco Babandh Power Ltd.,CARE,NCD/Bond,D,08-May-2025,413,ULTRA HOT,750.0,Energy,Power/Generation,D365,Energy NCD INC at CARE (413 days) — SEBI CRA license mandate for NCD,NCD rated INC by CARE — ACER specialises in energy sector NCD; 2-3 week completion
Leel Electricals Ltd.,CARE,NCD/Bond,D,02-Jun-2025,388,ULTRA HOT,595.0,Energy,Power/Generation,D365,Energy NCD INC at CARE (388 days) — SEBI CRA license mandate for NCD,NCD rated INC by CARE — ACER specialises in energy sector NCD; 2-3 week completion
Hero Electric Vehicles Pvt. Ltd.,CARE,NCD/Bond,D,23-Jun-2025,367,ULTRA HOT,250.0,Energy,Power/Generation,D365,Energy NCD INC at CARE (367 days) — SEBI CRA license mandate for NCD,NCD rated INC by CARE — ACER specialises in energy sector NCD; 2-3 week completion
Feedback Energy Distribution Co. Ltd.,CARE,NCD/Bond,D,13-Jun-2025,377,ULTRA HOT,49.0,Energy,Other Energy,D365,Energy NCD INC at CARE (377 days) — SEBI CRA license mandate for NCD,NCD rated INC by CARE — ACER specialises in energy sector NCD; 2-3 week completion
P V Power Technologies Pvt. Ltd.,CARE,NCD/Bond,BB-/A4,06-Jun-2025,384,ULTRA HOT,31.6,Energy,Power/Generation,D365,Energy NCD INC at CARE (384 days) — SEBI CRA license mandate for NCD,NCD rated INC by CARE — ACER specialises in energy sector NCD; 2-3 week completion
Mangal Electrical Inds. Ltd.,CARE,NCD/Bond,B+/A4,20-Jun-2025,370,ULTRA HOT,26.25,Energy,Power/Generation,D365,Energy NCD INC at CARE (370 days) — SEBI CRA license mandate for NCD,NCD rated INC by CARE — ACER specialises in energy sector NCD; 2-3 week completion
Finolex J-Power Systems Ltd.,CARE,NCD/Bond,B+/A4,04-Jun-2025,386,ULTRA HOT,25.0,Energy,Power/Generation,D365,Energy NCD INC at CARE (386 days) — SEBI CRA license mandate for NCD,NCD rated INC by CARE — ACER specialises in energy sector NCD; 2-3 week completion
R S Fuel Pvt. Ltd.,CARE,NCD/Bond,BB-/A4,15-May-2025,406,ULTRA HOT,25.0,Energy,Oil & Gas,D365,Energy NCD INC at CARE (406 days) — SEBI CRA license mandate for NCD,NCD rated INC by CARE — ACER specialises in energy sector NCD; 2-3 week completion
P V Power Technologies Pvt. Ltd.,CARE,NCD/Bond,BB-/A4,06-Jun-2025,384,ULTRA HOT,19.0,Energy,Power/Generation,D365,Energy NCD INC at CARE (384 days) — SEBI CRA license mandate for NCD,NCD rated INC by CARE — ACER specialises in energy sector NCD; 2-3 week completion
Mangal Electrical Inds. Ltd.,CARE,NCD/Bond,B+/A4,20-Jun-2025,370,ULTRA HOT,12.5,Energy,Power/Generation,D365,Energy NCD INC at CARE (370 days) — SEBI CRA license mandate for NCD,NCD rated INC by CARE — ACER specialises in energy sector NCD; 2-3 week completion
M N C Electricals Pvt. Ltd.,CARE,NCD/Bond,B-/A4,12-May-2025,409,ULTRA HOT,12.0,Energy,Power/Generation,D365,Energy NCD INC at CARE (409 days) — SEBI CRA license mandate for NCD,NCD rated INC by CARE — ACER specialises in energy sector NCD; 2-3 week completion
Shree Shyam Sponge & Power Ltd.,CARE,NCD/Bond,B/A4,16-Jun-2025,374,ULTRA HOT,6.0,Energy,Power/Generation,D365,Energy NCD INC at CARE (374 days) — SEBI CRA license mandate for NCD,NCD rated INC by CARE — ACER specialises in energy sector NCD; 2-3 week completion
Patwari Electricals Pvt. Ltd.,CARE,NCD/Bond,C/A4,10-Jun-2025,380,ULTRA HOT,2.0,Energy,Power/Generation,D365,Energy NCD INC at CARE (380 days) — SEBI CRA license mandate for NCD,NCD rated INC by CARE — ACER specialises in energy sector NCD; 2-3 week completion
P V Power Technologies Pvt. Ltd.,CARE,NCD/Bond,BB-/A4,06-Jun-2025,384,ULTRA HOT,0.14,Energy,Power/Generation,D365,Energy NCD INC at CARE (384 days) — SEBI CRA license mandate for NCD,NCD rated INC by CARE — ACER specialises in energy sector NCD; 2-3 week completion
Serentica Renewables India Pvt. Ltd.,ICRA,NCD/Bond,AA-/A1+,24-Sep-2025,274,HOT,650.0,Energy,Renewable Energy,D365,Energy NCD INC at ICRA (274 days) — SEBI CRA license mandate for NCD,NCD rated INC by ICRA — ACER specialises in energy sector NCD; 2-3 week completion
John Energy Ltd.,IND-RA,NCD/Bond,D,21-Aug-2025,308,HOT,649.66,Energy,Other Energy,D365,Energy NCD INC at IND-RA (308 days) — SEBI CRA license mandate for NCD,NCD rated INC by IND-RA — ACER specialises in energy sector NCD; 2-3 week completion
Serentica Renewables India Pvt. Ltd.,ICRA,NCD/Bond,AA-/A1+,24-Sep-2025,274,HOT,535.0,Energy,Renewable Energy,D365,Energy NCD INC at ICRA (274 days) — SEBI CRA license mandate for NCD,NCD rated INC by ICRA — ACER specialises in energy sector NCD; 2-3 week completion
R K Wind Ltd.,IND-RA,NCD/Bond,D,11-Sep-2025,287,HOT,239.49,Energy,Renewable Energy,D365,Energy NCD INC at IND-RA (287 days) — SEBI CRA license mandate for NCD,NCD rated INC by IND-RA — ACER specialises in energy sector NCD; 2-3 week completion
I L & F S Wind Energy Ltd.,ICRA,NCD/Bond,D,14-Jul-2025,346,HOT,200.0,Energy,Renewable Energy,D365,Energy NCD INC at ICRA (346 days) — SEBI CRA license mandate for NCD,NCD rated INC by ICRA — ACER specialises in energy sector NCD; 2-3 week completion
Transglobal Power Ltd.,IND-RA,NCD/Bond,B+/A4,21-Aug-2025,308,HOT,150.0,Energy,Power/Generation,D365,Energy NCD INC at IND-RA (308 days) — SEBI CRA license mandate for NCD,NCD rated INC by IND-RA — ACER specialises in energy sector NCD; 2-3 week completion
S K S Ispat & Power Ltd.,CARE,NCD/Bond,BB/A4,26-Sep-2025,272,HOT,62.0,Energy,Power/Generation,D365,Energy NCD INC at CARE (272 days) — SEBI CRA license mandate for NCD,NCD rated INC by CARE — ACER specialises in energy sector NCD; 2-3 week completion
Krishna Coil Cutters Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,21-Aug-2025,308,HOT,60.0,Energy,Oil & Gas,D365,Energy NCD INC at IND-RA (308 days) — SEBI CRA license mandate for NCD,NCD rated INC by IND-RA — ACER specialises in energy sector NCD; 2-3 week completion
Vivaan Solar Pvt. Ltd.,CARE,NCD/Bond,B-/A4,15-Sep-2025,283,HOT,35.96,Energy,Renewable Energy,D365,Energy NCD INC at CARE (283 days) — SEBI CRA license mandate for NCD,NCD rated INC by CARE — ACER specialises in energy sector NCD; 2-3 week completion
Adlers Bio-Energy Ltd.,IND-RA,NCD/Bond,D,21-Aug-2025,308,HOT,30.93,Energy,Other Energy,D365,Energy NCD INC at IND-RA (308 days) — SEBI CRA license mandate for NCD,NCD rated INC by IND-RA — ACER specialises in energy sector NCD; 2-3 week completion
Maktel Power Ltd.,IND-RA,NCD/Bond,D,11-Sep-2025,287,HOT,23.0,Energy,Power/Generation,D365,Energy NCD INC at IND-RA (287 days) — SEBI CRA license mandate for NCD,NCD rated INC by IND-RA — ACER specialises in energy sector NCD; 2-3 week completion
Serentica Renewables India Pvt. Ltd.,ICRA,NCD/Bond,AA-/A1+,24-Sep-2025,274,HOT,15.0,Energy,Renewable Energy,D365,Energy NCD INC at ICRA (274 days) — SEBI CRA license mandate for NCD,NCD rated INC by ICRA — ACER specialises in energy sector NCD; 2-3 week completion
A P S Power-Tech (India) Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,21-Aug-2025,308,HOT,10.9,Energy,Power/Generation,D365,Energy NCD INC at IND-RA (308 days) — SEBI CRA license mandate for NCD,NCD rated INC by IND-RA — ACER specialises in energy sector NCD; 2-3 week completion
M B E Coal & Mineral Technology India Pvt. Ltd.,CARE,NCD/Bond,D,15-Jul-2025,345,HOT,7.5,Energy,Coal/Mining,D365,Energy NCD INC at CARE (345 days) — SEBI CRA license mandate for NCD,NCD rated INC by CARE — ACER specialises in energy sector NCD; 2-3 week completion
Kapco Electric Pvt. Ltd.,CARE,NCD/Bond,C/A4,16-Sep-2025,282,HOT,4.5,Energy,Power/Generation,D365,Energy NCD INC at CARE (282 days) — SEBI CRA license mandate for NCD,NCD rated INC by CARE — ACER specialises in energy sector NCD; 2-3 week completion
Mangalore Electricity Supply Co. Ltd.,ICRA,NCD/Bond,BB+/A4+,25-Aug-2025,304,HOT,2.81,Energy,Power/Generation,D365,Energy NCD INC at ICRA (304 days) — SEBI CRA license mandate for NCD,NCD rated INC by ICRA — ACER specialises in energy sector NCD; 2-3 week completion
Kapco Electric Pvt. Ltd.,CARE,NCD/Bond,C/A4,16-Sep-2025,282,HOT,2.5,Energy,Power/Generation,D365,Energy NCD INC at CARE (282 days) — SEBI CRA license mandate for NCD,NCD rated INC by CARE — ACER specialises in energy sector NCD; 2-3 week completion
Eneroil Offshore Drilling Ltd.,ICRA,NCD/Bond,B+/A4,26-Aug-2025,303,HOT,0.5,Energy,Oil & Gas,D365,Energy NCD INC at ICRA (303 days) — SEBI CRA license mandate for NCD,NCD rated INC by ICRA — ACER specialises in energy sector NCD; 2-3 week completion
