Company Name,Current Rater,Instrument,Rating,Rating Date,Days Since Rating,Urgency,Amount Cr,Sector,Sub-Sector,Source,Why Target,ACER Pitch Angle
Jsw Mahanadi Power Co. Ltd.,ICRA,NCD/Bond,D,09-May-2025,412,ULTRA HOT,773.0,Energy,Power/Generation,D365,Energy NCD INC at ICRA (412 days) — SEBI CRA license mandate for NCD,NCD rated INC by ICRA — ACER specialises in energy sector NCD; 2-3 week completion
Lanco Babandh Power Ltd.,CARE,NCD/Bond,D,08-May-2025,413,ULTRA HOT,750.0,Energy,Power/Generation,D365,Energy NCD INC at CARE (413 days) — SEBI CRA license mandate for NCD,NCD rated INC by CARE — ACER specialises in energy sector NCD; 2-3 week completion
Leel Electricals Ltd.,CARE,NCD/Bond,D,02-Jun-2025,388,ULTRA HOT,595.0,Energy,Power/Generation,D365,Energy NCD INC at CARE (388 days) — SEBI CRA license mandate for NCD,NCD rated INC by CARE — ACER specialises in energy sector NCD; 2-3 week completion
Hero Electric Vehicles Pvt. Ltd.,CARE,NCD/Bond,D,23-Jun-2025,367,ULTRA HOT,250.0,Energy,Power/Generation,D365,Energy NCD INC at CARE (367 days) — SEBI CRA license mandate for NCD,NCD rated INC by CARE — ACER specialises in energy sector NCD; 2-3 week completion
Feedback Energy Distribution Co. Ltd.,CARE,NCD/Bond,D,13-Jun-2025,377,ULTRA HOT,49.0,Energy,Other Energy,D365,Energy NCD INC at CARE (377 days) — SEBI CRA license mandate for NCD,NCD rated INC by CARE — ACER specialises in energy sector NCD; 2-3 week completion
P V Power Technologies Pvt. Ltd.,CARE,NCD/Bond,BB-/A4,06-Jun-2025,384,ULTRA HOT,31.6,Energy,Power/Generation,D365,Energy NCD INC at CARE (384 days) — SEBI CRA license mandate for NCD,NCD rated INC by CARE — ACER specialises in energy sector NCD; 2-3 week completion
Mangal Electrical Inds. Ltd.,CARE,NCD/Bond,B+/A4,20-Jun-2025,370,ULTRA HOT,26.25,Energy,Power/Generation,D365,Energy NCD INC at CARE (370 days) — SEBI CRA license mandate for NCD,NCD rated INC by CARE — ACER specialises in energy sector NCD; 2-3 week completion
Finolex J-Power Systems Ltd.,CARE,NCD/Bond,B+/A4,04-Jun-2025,386,ULTRA HOT,25.0,Energy,Power/Generation,D365,Energy NCD INC at CARE (386 days) — SEBI CRA license mandate for NCD,NCD rated INC by CARE — ACER specialises in energy sector NCD; 2-3 week completion
R S Fuel Pvt. Ltd.,CARE,NCD/Bond,BB-/A4,15-May-2025,406,ULTRA HOT,25.0,Energy,Oil & Gas,D365,Energy NCD INC at CARE (406 days) — SEBI CRA license mandate for NCD,NCD rated INC by CARE — ACER specialises in energy sector NCD; 2-3 week completion
P V Power Technologies Pvt. Ltd.,CARE,NCD/Bond,BB-/A4,06-Jun-2025,384,ULTRA HOT,19.0,Energy,Power/Generation,D365,Energy NCD INC at CARE (384 days) — SEBI CRA license mandate for NCD,NCD rated INC by CARE — ACER specialises in energy sector NCD; 2-3 week completion
Mangal Electrical Inds. Ltd.,CARE,NCD/Bond,B+/A4,20-Jun-2025,370,ULTRA HOT,12.5,Energy,Power/Generation,D365,Energy NCD INC at CARE (370 days) — SEBI CRA license mandate for NCD,NCD rated INC by CARE — ACER specialises in energy sector NCD; 2-3 week completion
M N C Electricals Pvt. Ltd.,CARE,NCD/Bond,B-/A4,12-May-2025,409,ULTRA HOT,12.0,Energy,Power/Generation,D365,Energy NCD INC at CARE (409 days) — SEBI CRA license mandate for NCD,NCD rated INC by CARE — ACER specialises in energy sector NCD; 2-3 week completion
Shree Shyam Sponge & Power Ltd.,CARE,NCD/Bond,B/A4,16-Jun-2025,374,ULTRA HOT,6.0,Energy,Power/Generation,D365,Energy NCD INC at CARE (374 days) — SEBI CRA license mandate for NCD,NCD rated INC by CARE — ACER specialises in energy sector NCD; 2-3 week completion
Patwari Electricals Pvt. Ltd.,CARE,NCD/Bond,C/A4,10-Jun-2025,380,ULTRA HOT,2.0,Energy,Power/Generation,D365,Energy NCD INC at CARE (380 days) — SEBI CRA license mandate for NCD,NCD rated INC by CARE — ACER specialises in energy sector NCD; 2-3 week completion
P V Power Technologies Pvt. Ltd.,CARE,NCD/Bond,BB-/A4,06-Jun-2025,384,ULTRA HOT,0.14,Energy,Power/Generation,D365,Energy NCD INC at CARE (384 days) — SEBI CRA license mandate for NCD,NCD rated INC by CARE — ACER specialises in energy sector NCD; 2-3 week completion
Serentica Renewables India Pvt. Ltd.,ICRA,NCD/Bond,AA-/A1+,24-Sep-2025,274,HOT,650.0,Energy,Renewable Energy,D365,Energy NCD INC at ICRA (274 days) — SEBI CRA license mandate for NCD,NCD rated INC by ICRA — ACER specialises in energy sector NCD; 2-3 week completion
John Energy Ltd.,IND-RA,NCD/Bond,D,21-Aug-2025,308,HOT,649.66,Energy,Other Energy,D365,Energy NCD INC at IND-RA (308 days) — SEBI CRA license mandate for NCD,NCD rated INC by IND-RA — ACER specialises in energy sector NCD; 2-3 week completion
Serentica Renewables India Pvt. Ltd.,ICRA,NCD/Bond,AA-/A1+,24-Sep-2025,274,HOT,535.0,Energy,Renewable Energy,D365,Energy NCD INC at ICRA (274 days) — SEBI CRA license mandate for NCD,NCD rated INC by ICRA — ACER specialises in energy sector NCD; 2-3 week completion
R K Wind Ltd.,IND-RA,NCD/Bond,D,11-Sep-2025,287,HOT,239.49,Energy,Renewable Energy,D365,Energy NCD INC at IND-RA (287 days) — SEBI CRA license mandate for NCD,NCD rated INC by IND-RA — ACER specialises in energy sector NCD; 2-3 week completion
I L & F S Wind Energy Ltd.,ICRA,NCD/Bond,D,14-Jul-2025,346,HOT,200.0,Energy,Renewable Energy,D365,Energy NCD INC at ICRA (346 days) — SEBI CRA license mandate for NCD,NCD rated INC by ICRA — ACER specialises in energy sector NCD; 2-3 week completion
Transglobal Power Ltd.,IND-RA,NCD/Bond,B+/A4,21-Aug-2025,308,HOT,150.0,Energy,Power/Generation,D365,Energy NCD INC at IND-RA (308 days) — SEBI CRA license mandate for NCD,NCD rated INC by IND-RA — ACER specialises in energy sector NCD; 2-3 week completion
S K S Ispat & Power Ltd.,CARE,NCD/Bond,BB/A4,26-Sep-2025,272,HOT,62.0,Energy,Power/Generation,D365,Energy NCD INC at CARE (272 days) — SEBI CRA license mandate for NCD,NCD rated INC by CARE — ACER specialises in energy sector NCD; 2-3 week completion
Krishna Coil Cutters Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,21-Aug-2025,308,HOT,60.0,Energy,Oil & Gas,D365,Energy NCD INC at IND-RA (308 days) — SEBI CRA license mandate for NCD,NCD rated INC by IND-RA — ACER specialises in energy sector NCD; 2-3 week completion
Vivaan Solar Pvt. Ltd.,CARE,NCD/Bond,B-/A4,15-Sep-2025,283,HOT,35.96,Energy,Renewable Energy,D365,Energy NCD INC at CARE (283 days) — SEBI CRA license mandate for NCD,NCD rated INC by CARE — ACER specialises in energy sector NCD; 2-3 week completion
Adlers Bio-Energy Ltd.,IND-RA,NCD/Bond,D,21-Aug-2025,308,HOT,30.93,Energy,Other Energy,D365,Energy NCD INC at IND-RA (308 days) — SEBI CRA license mandate for NCD,NCD rated INC by IND-RA — ACER specialises in energy sector NCD; 2-3 week completion
Maktel Power Ltd.,IND-RA,NCD/Bond,D,11-Sep-2025,287,HOT,23.0,Energy,Power/Generation,D365,Energy NCD INC at IND-RA (287 days) — SEBI CRA license mandate for NCD,NCD rated INC by IND-RA — ACER specialises in energy sector NCD; 2-3 week completion
Serentica Renewables India Pvt. Ltd.,ICRA,NCD/Bond,AA-/A1+,24-Sep-2025,274,HOT,15.0,Energy,Renewable Energy,D365,Energy NCD INC at ICRA (274 days) — SEBI CRA license mandate for NCD,NCD rated INC by ICRA — ACER specialises in energy sector NCD; 2-3 week completion
A P S Power-Tech (India) Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,21-Aug-2025,308,HOT,10.9,Energy,Power/Generation,D365,Energy NCD INC at IND-RA (308 days) — SEBI CRA license mandate for NCD,NCD rated INC by IND-RA — ACER specialises in energy sector NCD; 2-3 week completion
M B E Coal & Mineral Technology India Pvt. Ltd.,CARE,NCD/Bond,D,15-Jul-2025,345,HOT,7.5,Energy,Coal/Mining,D365,Energy NCD INC at CARE (345 days) — SEBI CRA license mandate for NCD,NCD rated INC by CARE — ACER specialises in energy sector NCD; 2-3 week completion
Kapco Electric Pvt. Ltd.,CARE,NCD/Bond,C/A4,16-Sep-2025,282,HOT,4.5,Energy,Power/Generation,D365,Energy NCD INC at CARE (282 days) — SEBI CRA license mandate for NCD,NCD rated INC by CARE — ACER specialises in energy sector NCD; 2-3 week completion
Mangalore Electricity Supply Co. Ltd.,ICRA,NCD/Bond,BB+/A4+,25-Aug-2025,304,HOT,2.81,Energy,Power/Generation,D365,Energy NCD INC at ICRA (304 days) — SEBI CRA license mandate for NCD,NCD rated INC by ICRA — ACER specialises in energy sector NCD; 2-3 week completion
Kapco Electric Pvt. Ltd.,CARE,NCD/Bond,C/A4,16-Sep-2025,282,HOT,2.5,Energy,Power/Generation,D365,Energy NCD INC at CARE (282 days) — SEBI CRA license mandate for NCD,NCD rated INC by CARE — ACER specialises in energy sector NCD; 2-3 week completion
Eneroil Offshore Drilling Ltd.,ICRA,NCD/Bond,B+/A4,26-Aug-2025,303,HOT,0.5,Energy,Oil & Gas,D365,Energy NCD INC at ICRA (303 days) — SEBI CRA license mandate for NCD,NCD rated INC by ICRA — ACER specialises in energy sector NCD; 2-3 week completion
Bangalore Electricity Supply Co. Ltd.,CARE,NCD/Bond,BB+/A4,20-Oct-2025,248,MEDIUM,600.0,Energy,Power/Generation,D365,Energy NCD INC at CARE (248 days) — SEBI CRA license mandate for NCD,NCD rated INC by CARE — ACER specialises in energy sector NCD; 2-3 week completion
T R N Energy Pvt. Ltd.,CARE,NCD/Bond,D,19-Nov-2025,218,MEDIUM,225.0,Energy,Other Energy,D365,Energy NCD INC at CARE (218 days) — SEBI CRA license mandate for NCD,NCD rated INC by CARE — ACER specialises in energy sector NCD; 2-3 week completion
T R N Energy Pvt. Ltd.,CARE,NCD/Bond,D,19-Nov-2025,218,MEDIUM,205.0,Energy,Other Energy,D365,Energy NCD INC at CARE (218 days) — SEBI CRA license mandate for NCD,NCD rated INC by CARE — ACER specialises in energy sector NCD; 2-3 week completion
Everrenew Energy Pvt. Ltd.,IND-RA,NCD/Bond,BBB-/A3,23-Oct-2025,245,MEDIUM,166.0,Energy,Renewable Energy,D365,Energy NCD INC at IND-RA (245 days) — SEBI CRA license mandate for NCD,NCD rated INC by IND-RA — ACER specialises in energy sector NCD; 2-3 week completion
Global Powersource (India) Pvt. Ltd.,IND-RA,NCD/Bond,D,19-Dec-2025,188,MEDIUM,93.5,Energy,Power/Generation,D365,Energy NCD INC at IND-RA (188 days) — SEBI CRA license mandate for NCD,NCD rated INC by IND-RA — ACER specialises in energy sector NCD; 2-3 week completion
Sai Regency Power Corpn. Pvt. Ltd.,ICRA,NCD/Bond,D,12-Dec-2025,195,MEDIUM,80.03,Energy,Power/Generation,D365,Energy NCD INC at ICRA (195 days) — SEBI CRA license mandate for NCD,NCD rated INC by ICRA — ACER specialises in energy sector NCD; 2-3 week completion
Goa Sponge & Power Ltd.,IND-RA,NCD/Bond,B/A4,19-Dec-2025,188,MEDIUM,80.0,Energy,Power/Generation,D365,Energy NCD INC at IND-RA (188 days) — SEBI CRA license mandate for NCD,NCD rated INC by IND-RA — ACER specialises in energy sector NCD; 2-3 week completion
Alectrona Energy Pvt. Ltd.,CARE,NCD/Bond,D,20-Nov-2025,217,MEDIUM,35.0,Energy,Other Energy,D365,Energy NCD INC at CARE (217 days) — SEBI CRA license mandate for NCD,NCD rated INC by CARE — ACER specialises in energy sector NCD; 2-3 week completion
Shri Vaari Electricals Pvt. Ltd.,CARE,NCD/Bond,BB-/A4,10-Nov-2025,227,MEDIUM,25.0,Energy,Power/Generation,D365,Energy NCD INC at CARE (227 days) — SEBI CRA license mandate for NCD,NCD rated INC by CARE — ACER specialises in energy sector NCD; 2-3 week completion
Luker Electric Technologies Pvt. Ltd.,CARE,NCD/Bond,BBB/A3,08-Dec-2025,199,MEDIUM,9.0,Energy,Power/Generation,D365,Energy NCD INC at CARE (199 days) — SEBI CRA license mandate for NCD,NCD rated INC by CARE — ACER specialises in energy sector NCD; 2-3 week completion
Powerful Technologies Ltd.,BRICKWORK,NCD/Bond,D,08-Dec-2025,199,MEDIUM,7.5,Energy,Power/Generation,D365,Energy NCD INC at BRICKWORK (199 days) — SEBI CRA license mandate for NCD,NCD rated INC by BRICKWORK — ACER specialises in energy sector NCD; 2-3 week completion
Wellcare Oil Tools Pvt. Ltd.,CARE,NCD/Bond,B-/A4,14-Oct-2025,254,MEDIUM,6.0,Energy,Oil & Gas,D365,Energy NCD INC at CARE (254 days) — SEBI CRA license mandate for NCD,NCD rated INC by CARE — ACER specialises in energy sector NCD; 2-3 week completion
Essem Auto Electricals Pvt. Ltd.,CARE,NCD/Bond,BB+/A4,08-Apr-2026,78,LOW,,Energy,Power/Generation,D365,Energy NCD INC at CARE (78 days) — SEBI CRA license mandate for NCD,NCD rated INC by CARE — ACER specialises in energy sector NCD; 2-3 week completion
Senvion Wind Technology Pvt. Ltd.,CARE,NCD/Bond,BB/A4,10-Mar-2026,107,LOW,3000.0,Energy,Renewable Energy,D365,Energy NCD INC at CARE (107 days) — SEBI CRA license mandate for NCD,NCD rated INC by CARE — ACER specialises in energy sector NCD; 2-3 week completion
Regen Powertech Pvt. Ltd.,CARE,NCD/Bond,D,30-Jan-2026,146,LOW,905.0,Energy,Power/Generation,D365,Energy NCD INC at CARE (146 days) — SEBI CRA license mandate for NCD,NCD rated INC by CARE — ACER specialises in energy sector NCD; 2-3 week completion
Shyama Power India Ltd.,IND-RA,NCD/Bond,B-/A4,27-Feb-2026,118,LOW,469.44,Energy,Power/Generation,D365,Energy NCD INC at IND-RA (118 days) — SEBI CRA license mandate for NCD,NCD rated INC by IND-RA — ACER specialises in energy sector NCD; 2-3 week completion
Swastik Coal Corpn. Pvt. Ltd.,IND-RA,NCD/Bond,D,12-Jan-2026,164,LOW,375.0,Energy,Coal/Mining,D365,Energy NCD INC at IND-RA (164 days) — SEBI CRA license mandate for NCD,NCD rated INC by IND-RA — ACER specialises in energy sector NCD; 2-3 week completion
Coastal Energy Pvt. Ltd.,ICRA,NCD/Bond,D,24-Mar-2026,93,LOW,335.5,Energy,Other Energy,D365,Energy NCD INC at ICRA (93 days) — SEBI CRA license mandate for NCD,NCD rated INC by ICRA — ACER specialises in energy sector NCD; 2-3 week completion
Regen Powertech Pvt. Ltd.,CARE,NCD/Bond,D,30-Jan-2026,146,LOW,310.0,Energy,Power/Generation,D365,Energy NCD INC at CARE (146 days) — SEBI CRA license mandate for NCD,NCD rated INC by CARE — ACER specialises in energy sector NCD; 2-3 week completion
Vijai Electricals Ltd.,CARE,NCD/Bond,BB-/A4,10-Apr-2026,76,LOW,285.78,Energy,Power/Generation,D365,Energy NCD INC at CARE (76 days) — SEBI CRA license mandate for NCD,NCD rated INC by CARE — ACER specialises in energy sector NCD; 2-3 week completion
Everrenew Energy Pvt. Ltd.,IND-RA,NCD/Bond,BB/A4+,13-Apr-2026,73,LOW,141.0,Energy,Renewable Energy,D365,Energy NCD INC at IND-RA (73 days) — SEBI CRA license mandate for NCD,NCD rated INC by IND-RA — ACER specialises in energy sector NCD; 2-3 week completion
International Coil Ltd.,IND-RA,NCD/Bond,B-/A4,02-Apr-2026,84,LOW,88.0,Energy,Oil & Gas,D365,Energy NCD INC at IND-RA (84 days) — SEBI CRA license mandate for NCD,NCD rated INC by IND-RA — ACER specialises in energy sector NCD; 2-3 week completion
Vijai Electricals Ltd.,CARE,NCD/Bond,BB-/A4,10-Apr-2026,76,LOW,61.0,Energy,Power/Generation,D365,Energy NCD INC at CARE (76 days) — SEBI CRA license mandate for NCD,NCD rated INC by CARE — ACER specialises in energy sector NCD; 2-3 week completion
Encorp Powertrans Pvt. Ltd.,IND-RA,NCD/Bond,B/A4,16-Jan-2026,160,LOW,55.0,Energy,Power/Generation,D365,Energy NCD INC at IND-RA (160 days) — SEBI CRA license mandate for NCD,NCD rated INC by IND-RA — ACER specialises in energy sector NCD; 2-3 week completion
Vimal Coal Pvt. Ltd.,CARE,NCD/Bond,BB-/A4,16-Apr-2026,70,LOW,50.0,Energy,Coal/Mining,D365,Energy NCD INC at CARE (70 days) — SEBI CRA license mandate for NCD,NCD rated INC by CARE — ACER specialises in energy sector NCD; 2-3 week completion
Power Max (India) Pvt. Ltd.,IND-RA,NCD/Bond,D,02-Apr-2026,84,LOW,48.15,Energy,Power/Generation,D365,Energy NCD INC at IND-RA (84 days) — SEBI CRA license mandate for NCD,NCD rated INC by IND-RA — ACER specialises in energy sector NCD; 2-3 week completion
Rajesh Power Services Ltd.,IND-RA,NCD/Bond,B-/A4,27-Feb-2026,118,LOW,47.0,Energy,Power/Generation,D365,Energy NCD INC at IND-RA (118 days) — SEBI CRA license mandate for NCD,NCD rated INC by IND-RA — ACER specialises in energy sector NCD; 2-3 week completion
Savair Energy Ltd.,CARE,NCD/Bond,D,09-Apr-2026,77,LOW,47.0,Energy,Other Energy,D365,Energy NCD INC at CARE (77 days) — SEBI CRA license mandate for NCD,NCD rated INC by CARE — ACER specialises in energy sector NCD; 2-3 week completion
Shiga Energy Pvt. Ltd.,ICRA,NCD/Bond,D,19-Mar-2026,98,LOW,45.05,Energy,Other Energy,D365,Energy NCD INC at ICRA (98 days) — SEBI CRA license mandate for NCD,NCD rated INC by ICRA — ACER specialises in energy sector NCD; 2-3 week completion
Vimal Coal Pvt. Ltd.,CARE,NCD/Bond,BB-/A4,16-Apr-2026,70,LOW,39.96,Energy,Coal/Mining,D365,Energy NCD INC at CARE (70 days) — SEBI CRA license mandate for NCD,NCD rated INC by CARE — ACER specialises in energy sector NCD; 2-3 week completion
Balaji Oil Industries Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,27-Feb-2026,118,LOW,32.39,Energy,Oil & Gas,D365,Energy NCD INC at IND-RA (118 days) — SEBI CRA license mandate for NCD,NCD rated INC by IND-RA — ACER specialises in energy sector NCD; 2-3 week completion
Translite Energy Ltd.,CARE,NCD/Bond,BB+/A4+,23-Jan-2026,153,LOW,32.0,Energy,Other Energy,D365,Energy NCD INC at CARE (153 days) — SEBI CRA license mandate for NCD,NCD rated INC by CARE — ACER specialises in energy sector NCD; 2-3 week completion
Everrenew Energy Pvt. Ltd.,IND-RA,NCD/Bond,BB/A4+,13-Apr-2026,73,LOW,25.0,Energy,Renewable Energy,D365,Energy NCD INC at IND-RA (73 days) — SEBI CRA license mandate for NCD,NCD rated INC by IND-RA — ACER specialises in energy sector NCD; 2-3 week completion
Dhanlaxmi Electricals Pvt. Ltd.,IND-RA,NCD/Bond,D,02-Apr-2026,84,LOW,23.0,Energy,Power/Generation,D365,Energy NCD INC at IND-RA (84 days) — SEBI CRA license mandate for NCD,NCD rated INC by IND-RA — ACER specialises in energy sector NCD; 2-3 week completion
