Company Name,Agency,Instrument,Rating,Rating Date,Days Since,Urgency,Amount Cr,Sector
Infrastructure Leasing & Financial Services Ltd.,ICRA,NCD/Bond,D,07-Nov-2025,230,MEDIUM,5225.0,Construction
I L & F S Transportation Networks Ltd.,ICRA,NCD/Bond,D,19-Sep-2025,279,HOT,3963.5,Logistics
L & W Construction Pvt. Ltd.,ICRA,NCD/Bond,BB+/A4+,31-Mar-2026,86,LOW,1830.0,Construction
Cloudtail India Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,31-Mar-2026,86,LOW,1750.0,IT/Technology
Jsw Mahanadi Power Co. Ltd.,ICRA,NCD/Bond,D,09-May-2025,412,ULTRA HOT,773.0,Energy
Gensol Engineering Ltd.,ICRA,NCD/Bond,D,23-Apr-2026,63,LOW,718.5,Manufacturing
Serentica Renewables India Pvt. Ltd.,ICRA,NCD/Bond,AA-/A1+,24-Sep-2025,274,HOT,650.0,Energy
Serentica Renewables India Pvt. Ltd.,ICRA,NCD/Bond,AA-/A1+,24-Sep-2025,274,HOT,535.0,Energy
Future Corporate Resources Pvt. Ltd.,ICRA,NCD/Bond,D,04-Jun-2025,386,ULTRA HOT,437.11,Other
Kalthia Bhavnagar Pipli Highway Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,25-Jul-2025,335,HOT,369.0,Other
Coastal Energy Pvt. Ltd.,ICRA,NCD/Bond,D,24-Mar-2026,93,LOW,335.5,Energy
D P Jain & Co Infrastructure Pvt. Ltd.,ICRA,NCD/Bond,D,22-Sep-2025,276,HOT,330.0,Construction
Tribeni Constructions Ltd.,ICRA,NCD/Bond,A-/A2+,23-Sep-2025,275,HOT,304.0,Construction
Tribeni Constructions Ltd.,ICRA,NCD/Bond,A-/A2+,13-Nov-2025,224,MEDIUM,304.0,Construction
Nandan Petrochem Ltd.,ICRA,NCD/Bond,BB+/A4+,20-Mar-2026,97,LOW,245.0,Chemicals/Pharma
S R S Ltd.,ICRA,NCD/Bond,D,11-Jul-2025,349,HOT,237.0,Other
J G Hosiery Pvt. Ltd.,ICRA,NCD/Bond,A/A2+,23-Dec-2025,184,MEDIUM,230.0,Other
L & W Building Solutions Pvt. Ltd.,ICRA,NCD/Bond,BB+/A4+,31-Mar-2026,86,LOW,205.0,Construction
I L & F S Wind Energy Ltd.,ICRA,NCD/Bond,D,14-Jul-2025,346,HOT,200.0,Energy
U M S L Ltd.,ICRA,NCD/Bond,B+/A4,27-Oct-2025,241,MEDIUM,172.0,Other
Mcleod Russel India Ltd.,ICRA,NCD/Bond,D,25-Jun-2025,365,ULTRA HOT,163.92,Other
Harsh Constructions Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,30-Jul-2025,330,HOT,159.0,Construction
Gina Engineering Co. Pvt. Ltd.,ICRA,NCD/Bond,BB+/A4+,19-Mar-2026,98,LOW,130.0,Manufacturing
Woodhill Infrastructure Ltd.,ICRA,NCD/Bond,D,19-Jan-2026,157,LOW,122.0,Construction
Kaveri Infraprojects Pvt. Ltd.,ICRA,NCD/Bond,BB+/A4+,04-Jul-2025,356,HOT,120.0,Construction
Davariya Brothers Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,30-Mar-2026,87,LOW,115.19,Other
Atul Motors Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,23-Jun-2025,367,ULTRA HOT,100.0,Automobiles
G M Syntex Pvt. Ltd.,ICRA,NCD/Bond,BB+/A4+,28-Aug-2025,301,HOT,99.0,Other
Kay Jay Forgings Ltd.,ICRA,NCD/Bond,B+/A4,01-Dec-2025,206,MEDIUM,87.0,Steel & Metals
Kay Jay Forgings Ltd.,ICRA,NCD/Bond,B+/A4,29-Oct-2025,239,MEDIUM,87.0,Steel & Metals
Sai Regency Power Corpn. Pvt. Ltd.,ICRA,NCD/Bond,D,12-Dec-2025,195,MEDIUM,80.03,Energy
Globe Civil Projects Ltd.,ICRA,NCD/Bond,B+/A4,26-Aug-2025,303,HOT,78.5,Other
Globe Civil Projects Ltd.,ICRA,NCD/Bond,B+/A4,14-May-2025,407,ULTRA HOT,78.5,Other
Kasturi Commodities Pvt. Ltd.,ICRA,NCD/Bond,D,16-May-2025,405,ULTRA HOT,75.0,Other
K G S Sugar & Infra Corpn. Ltd.,ICRA,NCD/Bond,D,16-Apr-2026,70,LOW,69.86,Agro/Food
B Fouress Pvt. Ltd.,ICRA,NCD/Bond,BB+/A4+,23-Jul-2025,337,HOT,67.0,Other
Pratibha Constructions Engineers & Contractors (India) Pvt. Ltd.,ICRA,NCD/Bond,D,15-Oct-2025,253,MEDIUM,65.23,Construction
Ocean Pearl Hotels Pvt. Ltd.,ICRA,NCD/Bond,C+/A4,28-May-2025,393,ULTRA HOT,65.0,Hotels/Tourism
Ocean Pearl Hotels Pvt. Ltd.,ICRA,NCD/Bond,C+/A4,18-Jul-2025,342,HOT,65.0,Hotels/Tourism
Epicu Agro Products Pvt. Ltd.,ICRA,NCD/Bond,BB+/A4+,28-Apr-2026,58,LOW,60.86,Agro/Food
Jaipur Rugs Co. Ltd.,ICRA,NCD/Bond,A 4,22-Apr-2026,64,LOW,60.0,Other
Cooper-Standard Services India Pvt. Ltd.,ICRA,NCD/Bond,B/A4,24-Sep-2025,274,HOT,55.0,Other
Creations Jewellery Mfg. Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,27-Jan-2026,149,LOW,54.0,Jewellery/Gems
Ramakrishna Teletronics Pvt. Ltd.,ICRA,NCD/Bond,D,27-Jan-2026,149,LOW,54.0,Other
H B S Realtors Pvt. Ltd.,ICRA,NCD/Bond,D,13-Nov-2025,224,MEDIUM,53.56,Construction
Lypsa Gems & Jewellery Ltd.,ICRA,NCD/Bond,D,10-Mar-2026,107,LOW,50.0,Jewellery/Gems
Lypsa Gems & Jewellery Ltd.,ICRA,NCD/Bond,D,26-Nov-2025,211,MEDIUM,50.0,Jewellery/Gems
V S Ferrous Enterprises Pvt. Ltd.,ICRA,NCD/Bond,B+,12-Mar-2026,105,LOW,50.0,Steel & Metals
Eagle Continental Foods Pvt. Ltd.,ICRA,NCD/Bond,D,23-May-2025,398,ULTRA HOT,47.5,Steel & Metals
Mira Exim Ltd.,ICRA,NCD/Bond,B+/A4,30-Jul-2025,330,HOT,46.8,Other
Lakhotia Transport Co. Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,14-May-2025,407,ULTRA HOT,46.0,Logistics
Shiga Energy Pvt. Ltd.,ICRA,NCD/Bond,D,19-Mar-2026,98,LOW,45.05,Energy
Mazda Colours Ltd.,ICRA,NCD/Bond,BB+/A4+,30-Jan-2026,146,LOW,45.0,Other
Siflon Pharma Pvt. Ltd.,ICRA,NCD/Bond,BB-/A4,10-Nov-2025,227,MEDIUM,45.0,Chemicals/Pharma
Prabhu Agarwalla Construction Pvt. Ltd.,ICRA,NCD/Bond,D,18-Jul-2025,342,HOT,40.0,Construction
Chowgule Industries Pvt. Ltd.,ICRA,NCD/Bond,BB+/A4+,05-Dec-2025,202,MEDIUM,40.0,Other
Chowgule Industries Pvt. Ltd.,ICRA,NCD/Bond,A/A1,23-Jun-2025,367,ULTRA HOT,40.0,Other
S R C Chemicals Pvt. Ltd.,ICRA,NCD/Bond,BB+/A4+,28-Aug-2025,301,HOT,39.08,Chemicals/Pharma
Apeejay Tea Ltd.,ICRA,NCD/Bond,D,19-Jan-2026,157,LOW,39.0,Agro/Food
Apeejay Tea Ltd.,ICRA,NCD/Bond,D,19-Jan-2026,157,LOW,38.25,Agro/Food
S & I B Services Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,19-Nov-2025,218,MEDIUM,38.0,Other
J P Sortex Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,13-Oct-2025,255,MEDIUM,37.0,Other
Globe Automobiles Pvt. Ltd.,ICRA,NCD/Bond,BB+/A4+,15-May-2025,406,ULTRA HOT,36.38,Automobiles
Globe Automobiles Pvt. Ltd.,ICRA,NCD/Bond,BB+/A4,25-Jun-2025,365,ULTRA HOT,36.38,Automobiles
Ganadhi Pati Construction Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,27-Jan-2026,149,LOW,36.0,Construction
