Agency,Company Name,Total Amount Cr,Instrument Count,Rating,Latest Rating Date,Days Since Rating,Urgency,Sector,Rank (within ICRA NCD),Why Target,ACER Pitch Angle,Rank (within CARE NCD)
ICRA,Infrastructure Leasing & Financial Services Ltd.,5225.0,1,D,07-Nov-2025,230,MEDIUM,Construction,1.0,ICRA NCD INC — ₹5225.0 Cr; MEDIUM priority,ICRA rated NCD INC — ACER provides faster NCD rating; avg ICRA NCD mandate ₹71 Cr,
ICRA,I L & F S Transportation Networks Ltd.,3963.5,1,D,19-Sep-2025,279,HOT,Logistics,2.0,ICRA NCD INC — ₹3963.5 Cr; HOT priority,ICRA rated NCD INC — ACER provides faster NCD rating; avg ICRA NCD mandate ₹71 Cr,
ICRA,L & W Construction Pvt. Ltd.,1830.0,1,BB+/A4+,31-Mar-2026,86,LOW,Construction,3.0,ICRA NCD INC — ₹1830.0 Cr; LOW priority,ICRA rated NCD INC — ACER provides faster NCD rating; avg ICRA NCD mandate ₹71 Cr,
ICRA,Cloudtail India Pvt. Ltd.,1750.0,1,B+/A4,31-Mar-2026,86,LOW,IT/Technology,4.0,ICRA NCD INC — ₹1750.0 Cr; LOW priority,ICRA rated NCD INC — ACER provides faster NCD rating; avg ICRA NCD mandate ₹71 Cr,
ICRA,Serentica Renewables India Pvt. Ltd.,1200.0,3,AA-/A1+,24-Sep-2025,274,HOT,Energy,5.0,ICRA NCD INC — ₹1200.0 Cr; HOT priority,ICRA rated NCD INC — ACER provides faster NCD rating; avg ICRA NCD mandate ₹71 Cr,
ICRA,Jsw Mahanadi Power Co. Ltd.,773.0,1,D,09-May-2025,412,ULTRA HOT,Energy,6.0,ICRA NCD INC — ₹773.0 Cr; ULTRA HOT priority,ICRA rated NCD INC — ACER provides faster NCD rating; avg ICRA NCD mandate ₹71 Cr,
ICRA,Gensol Engineering Ltd.,718.5,1,D,23-Apr-2026,63,LOW,Manufacturing,7.0,ICRA NCD INC — ₹718.5 Cr; LOW priority,ICRA rated NCD INC — ACER provides faster NCD rating; avg ICRA NCD mandate ₹71 Cr,
ICRA,Tribeni Constructions Ltd.,608.0,2,A-/A2+,13-Nov-2025,275,HOT,Construction,8.0,ICRA NCD INC — ₹608.0 Cr; HOT priority,ICRA rated NCD INC — ACER provides faster NCD rating; avg ICRA NCD mandate ₹71 Cr,
ICRA,Future Corporate Resources Pvt. Ltd.,437.11,1,D,04-Jun-2025,386,ULTRA HOT,Other,9.0,ICRA NCD INC — ₹437.1 Cr; ULTRA HOT priority,ICRA rated NCD INC — ACER provides faster NCD rating; avg ICRA NCD mandate ₹71 Cr,
ICRA,Kalthia Bhavnagar Pipli Highway Pvt. Ltd.,369.0,1,B+/A4,25-Jul-2025,335,HOT,Other,10.0,ICRA NCD INC — ₹369.0 Cr; HOT priority,ICRA rated NCD INC — ACER provides faster NCD rating; avg ICRA NCD mandate ₹71 Cr,
ICRA,Coastal Energy Pvt. Ltd.,335.5,1,D,24-Mar-2026,93,LOW,Energy,11.0,ICRA NCD INC — ₹335.5 Cr; LOW priority,ICRA rated NCD INC — ACER provides faster NCD rating; avg ICRA NCD mandate ₹71 Cr,
ICRA,D P Jain & Co Infrastructure Pvt. Ltd.,330.0,1,D,22-Sep-2025,276,HOT,Construction,12.0,ICRA NCD INC — ₹330.0 Cr; HOT priority,ICRA rated NCD INC — ACER provides faster NCD rating; avg ICRA NCD mandate ₹71 Cr,
ICRA,Nandan Petrochem Ltd.,245.0,1,BB+/A4+,20-Mar-2026,97,LOW,Chemicals/Pharma,13.0,ICRA NCD INC — ₹245.0 Cr; LOW priority,ICRA rated NCD INC — ACER provides faster NCD rating; avg ICRA NCD mandate ₹71 Cr,
ICRA,S R S Ltd.,237.0,1,D,11-Jul-2025,349,HOT,Other,14.0,ICRA NCD INC — ₹237.0 Cr; HOT priority,ICRA rated NCD INC — ACER provides faster NCD rating; avg ICRA NCD mandate ₹71 Cr,
ICRA,J G Hosiery Pvt. Ltd.,230.0,1,A/A2+,23-Dec-2025,184,MEDIUM,Other,15.0,ICRA NCD INC — ₹230.0 Cr; MEDIUM priority,ICRA rated NCD INC — ACER provides faster NCD rating; avg ICRA NCD mandate ₹71 Cr,
