Company Name,Agency,Instrument Type,Rating,Rating Date,Current Urgency,Escalates To,Escalation Date,Escalation Month,Days Since (Jun 25),Amount Cr,Sector,Source,Why Target,ACER Pitch Angle
B K Rolling Mills Pvt. Ltd.,ACUITE,Term Loan,B-,01-Oct-2025,MEDIUM,ULTRA HOT,2026-10-01,October 2026,267,0.91,Steel & Metals,D365,INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds
Dali & Samir Engg. Pvt. Ltd.,CARE,NCD/Bond,BB+/A4+,01-Oct-2025,MEDIUM,ULTRA HOT,2026-10-01,October 2026,267,28.22,Agro/Food,D365,INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Lok Chemicals Pvt. Ltd.,CARE,NCD/Bond,BB+/A4,01-Oct-2025,MEDIUM,ULTRA HOT,2026-10-01,October 2026,267,151.0,Chemicals/Pharma,D365,INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Royal Orchid Hotels Ltd.,CARE,Term Loan,C,01-Oct-2025,MEDIUM,ULTRA HOT,2026-10-01,October 2026,267,38.48,Hotels/Tourism,D365,INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
S S F Ltd.,ACUITE,Term Loan,B-,01-Oct-2025,MEDIUM,ULTRA HOT,2026-10-01,October 2026,267,0.35,Other,D365,INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds
S S F Ltd.,ACUITE,Term Loan,B-,01-Oct-2025,MEDIUM,ULTRA HOT,2026-10-01,October 2026,267,0.44,Other,D365,INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds
Shree Bhavya Fabrics Ltd.,CRISIL,Letter of Credit,A 4,01-Oct-2025,MEDIUM,ULTRA HOT,2026-10-01,October 2026,267,6.5,Textiles,D365,INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Space Wood Furnishers Pvt. Ltd.,CARE,Bank Guarantee,A 4+,01-Oct-2025,MEDIUM,ULTRA HOT,2026-10-01,October 2026,267,40.0,Other,D365,INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Space Wood Furnishers Pvt. Ltd.,CARE,NCD/Bond,BB+/A4+,01-Oct-2025,MEDIUM,ULTRA HOT,2026-10-01,October 2026,267,46.5,Other,D365,INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Space Wood Furnishers Pvt. Ltd.,CARE,Term Loan,BB+,01-Oct-2025,MEDIUM,ULTRA HOT,2026-10-01,October 2026,267,29.88,Other,D365,INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
