Escalation Month,Escalates To,Agency,Companies,Records
November 2026,HOT,ACUITE,87,178
November 2026,HOT,BRICKWORK,182,305
November 2026,HOT,CARE,189,330
November 2026,HOT,CRISIL,276,503
November 2026,HOT,ICRA,87,144
November 2026,HOT,IND-RA,41,41
November 2026,HOT,Infomerics,35,57
November 2026,ULTRA HOT,ACUITE,58,116
November 2026,ULTRA HOT,BRICKWORK,132,240
November 2026,ULTRA HOT,CARE,161,301
November 2026,ULTRA HOT,CRISIL,344,650
November 2026,ULTRA HOT,ICRA,70,131
November 2026,ULTRA HOT,IND-RA,90,93
November 2026,ULTRA HOT,Infomerics,66,133
October 2026,HOT,ACUITE,92,178
October 2026,HOT,BRICKWORK,125,231
October 2026,HOT,CARE,130,224
October 2026,HOT,CRISIL,307,570
October 2026,HOT,ICRA,78,129
October 2026,HOT,IND-RA,206,216
October 2026,HOT,Infomerics,122,226
October 2026,MEDIUM,ACUITE,113,223
October 2026,MEDIUM,BRICKWORK,52,89
October 2026,MEDIUM,CARE,230,377
October 2026,MEDIUM,CRISIL,284,518
October 2026,MEDIUM,ICRA,83,145
October 2026,MEDIUM,IND-RA,10,18
October 2026,ULTRA HOT,ACUITE,80,157
October 2026,ULTRA HOT,BRICKWORK,150,241
October 2026,ULTRA HOT,CARE,126,227
October 2026,ULTRA HOT,CRISIL,301,540
October 2026,ULTRA HOT,ICRA,72,126
October 2026,ULTRA HOT,IND-RA,30,49
October 2026,ULTRA HOT,Infomerics,67,131
