Company Name,Agency,Instrument Type,Rating,Rating Date,Current Urgency,Escalates To,Escalation Date,Escalation Month,Days Since (Jun 25),Amount Cr,Sector,Source,Why Target,ACER Pitch Angle
Maison De Couture Fabrics Pvt. Ltd.,CARE,Term Loan,D,01-Oct-2025,MEDIUM,ULTRA HOT,2026-10-01,October 2026,267,11.7,Textiles,D365,INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Mobilestore Services Ltd.,CARE,Bank Guarantee,D,01-Oct-2025,MEDIUM,ULTRA HOT,2026-10-01,October 2026,267,26.0,Other,D365,INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Jay Vijay Metals Pvt. Ltd.,ACUITE,Letter of Credit,D,03-Oct-2025,MEDIUM,ULTRA HOT,2026-10-03,October 2026,265,3.0,Steel & Metals,D365,INC rating hits ULTRA HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds
Jay Vijay Metals Pvt. Ltd.,ACUITE,Term Loan,D,03-Oct-2025,MEDIUM,ULTRA HOT,2026-10-03,October 2026,265,6.5,Steel & Metals,D365,INC rating hits ULTRA HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds
Talwar Mobiles Pvt. Ltd.,BRICKWORK,Fund-Based,D,03-Oct-2025,MEDIUM,ULTRA HOT,2026-10-03,October 2026,265,46.4,Other,D365,INC rating hits ULTRA HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
Nisa Industrial Services Private Limited,Infomerics,Long Term Fund Based Bank Facilities - Cash Credit,IVR D (INC)(Reaffirmed),03-Oct-2025,MEDIUM,ULTRA HOT,2026-10-03,October 2026,265,65.0,Manufacturing,Infomerics,INC rating hits ULTRA HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
Nisa Industrial Services Private Limited,Infomerics,Long Term Fund Based Bank Facilities - Proposed Cash Credit,IVR D (INC)(Reaffirmed),03-Oct-2025,MEDIUM,ULTRA HOT,2026-10-03,October 2026,265,13.27,Manufacturing,Infomerics,INC rating hits ULTRA HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
Nisa Industrial Services Private Limited,Infomerics,Long Term Fund Based Bank Facilities - Term Loan,IVR D (INC)(Reaffirmed),03-Oct-2025,MEDIUM,ULTRA HOT,2026-10-03,October 2026,265,33.6,Manufacturing,Infomerics,INC rating hits ULTRA HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
Nisa Industrial Services Private Limited,Infomerics,Long Term Fund Based Bank Facilities - LAP,IVR D (INC)(Reaffirmed),03-Oct-2025,MEDIUM,ULTRA HOT,2026-10-03,October 2026,265,9.28,Manufacturing,Infomerics,INC rating hits ULTRA HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
Nisa Industrial Services Private Limited,Infomerics,Short Term Non Fund Based Bank Facilities - Bank Guarantee,IVR D (INC)(Reaffirmed),03-Oct-2025,MEDIUM,ULTRA HOT,2026-10-03,October 2026,265,15.0,Manufacturing,Infomerics,INC rating hits ULTRA HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
Graffiti (India) Pvt. Ltd.,CARE,Bank Guarantee,D,06-Jan-2026,LOW,HOT,2026-10-03,October 2026,170,3.0,Other,D365,INC rating hits HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
J P M Exports Pvt. Ltd.,CARE,Bank Guarantee,D,06-Jan-2026,LOW,HOT,2026-10-03,October 2026,170,5.0,Logistics,D365,INC rating hits HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Octopus Papers Ltd.,CARE,Term Loan,D,06-Jan-2026,LOW,HOT,2026-10-03,October 2026,170,8.38,Paper/Packaging,D365,INC rating hits HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Uttam Cylinders Pvt. Ltd.,ACUITE,Bank Guarantee,D,06-Jan-2026,LOW,HOT,2026-10-03,October 2026,170,2.89,Other,D365,INC rating hits HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds
Uttam Cylinders Pvt. Ltd.,ACUITE,Letter of Credit,D,06-Jan-2026,LOW,HOT,2026-10-03,October 2026,170,10.0,Other,D365,INC rating hits HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds
Uttam Cylinders Pvt. Ltd.,ACUITE,Term Loan,D,06-Jan-2026,LOW,HOT,2026-10-03,October 2026,170,25.0,Other,D365,INC rating hits HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds
Bravo Agencies Pvt. Ltd.,CARE,Letter of Credit,D,06-Apr-2026,LOW,MEDIUM,2026-10-03,October 2026,80,7.5,Other,D365,INC rating hits MEDIUM threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Ecomotel Hotel Ltd.,CARE,Term Loan,D,06-Apr-2026,LOW,MEDIUM,2026-10-03,October 2026,80,11.65,Hotels/Tourism,D365,INC rating hits MEDIUM threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Himalayan Rolling Steel Inds. Pvt. Ltd.,BRICKWORK,Term Loan,D,06-Apr-2026,LOW,MEDIUM,2026-10-03,October 2026,80,82.62,Steel & Metals,D365,INC rating hits MEDIUM threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
Kwality Overseas Pvt. Ltd.,BRICKWORK,NCD/Bond,D,06-Apr-2026,LOW,MEDIUM,2026-10-03,October 2026,80,15.0,Other,D365,INC rating hits MEDIUM threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
S P G Multi Trade Pvt. Ltd.,ACUITE,Letter of Credit,D,06-Apr-2026,LOW,MEDIUM,2026-10-03,October 2026,80,50.0,Trading/Exports,D365,INC rating hits MEDIUM threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds
Shiva Speciality Yarns Ltd.,CARE,Bank Guarantee,D,06-Apr-2026,LOW,MEDIUM,2026-10-03,October 2026,80,1.0,Textiles,D365,INC rating hits MEDIUM threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Shiva Speciality Yarns Ltd.,CARE,Term Loan,D,06-Apr-2026,LOW,MEDIUM,2026-10-03,October 2026,80,29.97,Textiles,D365,INC rating hits MEDIUM threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Singrauli Finlease Pvt. Ltd.,CARE,Bank Guarantee,D,06-Apr-2026,LOW,MEDIUM,2026-10-03,October 2026,80,5.0,Other,D365,INC rating hits MEDIUM threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Stellence Pharmscience Pvt. Ltd.,BRICKWORK,Term Loan,D,06-Apr-2026,LOW,MEDIUM,2026-10-03,October 2026,80,16.6,Other,D365,INC rating hits MEDIUM threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
Supreme Manor Wada Bhiwandi Infrastructure Pvt. Ltd.,CRISIL,Term Loan,D,06-Apr-2026,LOW,MEDIUM,2026-10-03,October 2026,80,377.0,Construction,D365,INC rating hits MEDIUM threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Uniworld Sugars Pvt. Ltd. [Merged],CARE,Term Loan,D,06-Apr-2026,LOW,MEDIUM,2026-10-03,October 2026,80,60.0,Agro/Food,D365,INC rating hits MEDIUM threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Atibir Industries Co. Ltd.,CARE,Bank Guarantee,D,07-Jan-2026,LOW,HOT,2026-10-04,October 2026,169,7.91,Other,D365,INC rating hits HOT threshold on 2026-10-04 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Atibir Industries Co. Ltd.,CARE,Letter of Credit,D,07-Jan-2026,LOW,HOT,2026-10-04,October 2026,169,295.5,Other,D365,INC rating hits HOT threshold on 2026-10-04 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Atibir Industries Co. Ltd.,CARE,Term Loan,D,07-Jan-2026,LOW,HOT,2026-10-04,October 2026,169,30.0,Other,D365,INC rating hits HOT threshold on 2026-10-04 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
K K R Products & Mktg. Pvt. Ltd.,CARE,Fund-Based,D,07-Jan-2026,LOW,HOT,2026-10-04,October 2026,169,5.0,Other,D365,INC rating hits HOT threshold on 2026-10-04 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
K K R Products & Mktg. Pvt. Ltd.,CARE,Term Loan,D,07-Jan-2026,LOW,HOT,2026-10-04,October 2026,169,1.26,Other,D365,INC rating hits HOT threshold on 2026-10-04 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Nabha Duplex Ltd.,ACUITE,Term Loan,D,07-Jan-2026,LOW,HOT,2026-10-04,October 2026,169,2.4,Other,D365,INC rating hits HOT threshold on 2026-10-04 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds
