Company Name,Agency,Instrument Type,Rating,Rating Date,Current Urgency,Escalates To,Escalation Date,Escalation Month,Days Since (Jun 25),Amount Cr,Sector,Source,Why Target,ACER Pitch Angle
Ganges Internationale Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,07-Oct-2025,MEDIUM,ULTRA HOT,2026-10-07,October 2026,261,95.0,Other,D365,INC rating hits ULTRA HOT threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
Ganges Internationale Pvt. Ltd.,BRICKWORK,Fund-Based,BB,07-Oct-2025,MEDIUM,ULTRA HOT,2026-10-07,October 2026,261,1.01,Other,D365,INC rating hits ULTRA HOT threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
Ganges Internationale Pvt. Ltd.,BRICKWORK,Term Loan,BB,07-Oct-2025,MEDIUM,ULTRA HOT,2026-10-07,October 2026,261,4.49,Other,D365,INC rating hits ULTRA HOT threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
Hemodiaz Life Sciences Pvt. Ltd.,BRICKWORK,Letter of Credit,A 4,07-Oct-2025,MEDIUM,ULTRA HOT,2026-10-07,October 2026,261,4.0,Healthcare,D365,INC rating hits ULTRA HOT threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
Khandelwal Group Pvt. Ltd.,BRICKWORK,Fund-Based,C,07-Oct-2025,MEDIUM,ULTRA HOT,2026-10-07,October 2026,261,15.0,Other,D365,INC rating hits ULTRA HOT threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
King Yarns Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,07-Oct-2025,MEDIUM,ULTRA HOT,2026-10-07,October 2026,261,2.0,Textiles,D365,INC rating hits ULTRA HOT threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
King Yarns Pvt. Ltd.,BRICKWORK,Fund-Based,B+,07-Oct-2025,MEDIUM,ULTRA HOT,2026-10-07,October 2026,261,3.05,Textiles,D365,INC rating hits ULTRA HOT threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
King Yarns Pvt. Ltd.,BRICKWORK,Term Loan,B+,07-Oct-2025,MEDIUM,ULTRA HOT,2026-10-07,October 2026,261,29.65,Textiles,D365,INC rating hits ULTRA HOT threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
Kings International Ltd.,BRICKWORK,Letter of Credit,A 4,07-Oct-2025,MEDIUM,ULTRA HOT,2026-10-07,October 2026,261,1.0,Other,D365,INC rating hits ULTRA HOT threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
Mittapalli Spinners Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,07-Oct-2025,MEDIUM,ULTRA HOT,2026-10-07,October 2026,261,0.71,Hotels/Tourism,D365,INC rating hits ULTRA HOT threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
Mittapalli Spinners Pvt. Ltd.,BRICKWORK,Term Loan,C,07-Oct-2025,MEDIUM,ULTRA HOT,2026-10-07,October 2026,261,3.8,Hotels/Tourism,D365,INC rating hits ULTRA HOT threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
