Sector,Companies,Records,ULTRA_HOT,HOT,MEDIUM,Total_Cr,Avg_Cr,ACER_Score
Other,179,319,133,117,69,4665.63,14.63,520.7
Agro/Food,64,103,50,30,23,1300.19,12.62,181.3
Steel & Metals,46,86,36,28,22,906.17,10.54,136.9
Construction,50,86,22,35,29,3301.36,38.39,104.3
Manufacturing,38,73,23,31,19,691.88,9.48,100.7
Automobiles,34,59,20,21,18,785.88,13.32,81.8
Chemicals/Pharma,23,46,21,12,13,584.28,12.7,75.6
Textiles,21,38,14,14,10,390.44,10.27,56.4
IT/Technology,15,34,9,15,10,435.19,12.8,42.4
Energy,19,36,10,8,18,3877.95,107.72,41.9
Healthcare,21,32,7,19,6,518.6,16.21,40.5
Logistics,16,24,9,5,10,354.54,14.77,32.4
Paper/Packaging,14,25,9,4,12,98.57,3.94,31.1
Infrastructure,3,6,6,0,0,27.65,4.61,18.0
Jewellery/Gems,7,12,2,5,5,208.94,17.41,11.2
BFSI,6,6,2,4,0,378.03,63.0,10.4
Trading/Exports,4,5,1,3,1,81.82,16.36,6.1
Hotels/Tourism,3,3,2,0,1,56.98,18.99,6.1
Media/Retail,3,4,0,1,3,22.33,5.58,1.0
