Company Name,Agency,Instrument Type,Rating,Rating Date,Current Urgency,Escalates To,Escalation Date,Escalation Month,Days Since (Jun 25),Amount Cr,Sector,Source,Why Target,ACER Pitch Angle
Dali & Samir Engg. Pvt. Ltd.,CARE,NCD/Bond,BB+/A4+,01-Oct-2025,MEDIUM,ULTRA HOT,2026-10-01,October 2026,267,28.22,Agro/Food,D365,INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Lok Chemicals Pvt. Ltd.,CARE,NCD/Bond,BB+/A4,01-Oct-2025,MEDIUM,ULTRA HOT,2026-10-01,October 2026,267,151.0,Chemicals/Pharma,D365,INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Royal Orchid Hotels Ltd.,CARE,Term Loan,C,01-Oct-2025,MEDIUM,ULTRA HOT,2026-10-01,October 2026,267,38.48,Hotels/Tourism,D365,INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Space Wood Furnishers Pvt. Ltd.,CARE,Bank Guarantee,A 4+,01-Oct-2025,MEDIUM,ULTRA HOT,2026-10-01,October 2026,267,40.0,Other,D365,INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Space Wood Furnishers Pvt. Ltd.,CARE,NCD/Bond,BB+/A4+,01-Oct-2025,MEDIUM,ULTRA HOT,2026-10-01,October 2026,267,46.5,Other,D365,INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Space Wood Furnishers Pvt. Ltd.,CARE,Term Loan,BB+,01-Oct-2025,MEDIUM,ULTRA HOT,2026-10-01,October 2026,267,29.88,Other,D365,INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
A R L Infratech Ltd.,CARE,NCD/Bond,A/A1,01-Oct-2025,MEDIUM,ULTRA HOT,2026-10-01,October 2026,267,110.0,Construction,D365,INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
A R L Infratech Ltd.,CARE,Term Loan,A,01-Oct-2025,MEDIUM,ULTRA HOT,2026-10-01,October 2026,267,57.8,Construction,D365,INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
A R L Infratech Ltd.,CARE,Bank Guarantee,A 1,01-Oct-2025,MEDIUM,ULTRA HOT,2026-10-01,October 2026,267,20.0,Construction,D365,INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Bony Polymers Pvt. Ltd.,CARE,Bank Guarantee,A 2,05-Jan-2026,LOW,HOT,2026-10-02,October 2026,171,3.0,Chemicals/Pharma,D365,INC rating hits HOT threshold on 2026-10-02 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Bony Polymers Pvt. Ltd.,CARE,Term Loan,BBB+,05-Jan-2026,LOW,HOT,2026-10-02,October 2026,171,58.94,Chemicals/Pharma,D365,INC rating hits HOT threshold on 2026-10-02 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Dirco Polymers Pvt. Ltd.,CARE,Letter of Credit,A 4+,05-Jan-2026,LOW,HOT,2026-10-02,October 2026,171,40.0,Chemicals/Pharma,D365,INC rating hits HOT threshold on 2026-10-02 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Dirco Polymers Pvt. Ltd.,CARE,NCD/Bond,BB+/A4+,05-Jan-2026,LOW,HOT,2026-10-02,October 2026,171,3.51,Chemicals/Pharma,D365,INC rating hits HOT threshold on 2026-10-02 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Dirco Polymers Pvt. Ltd.,CARE,Term Loan,BB+,05-Jan-2026,LOW,HOT,2026-10-02,October 2026,171,4.49,Chemicals/Pharma,D365,INC rating hits HOT threshold on 2026-10-02 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Euro Safety Footwear (India) Ltd.,CARE,NCD/Bond,BB+/A4+,05-Jan-2026,LOW,HOT,2026-10-02,October 2026,171,,Other,D365,INC rating hits HOT threshold on 2026-10-02 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Euro Safety Footwear (India) Ltd.,CARE,Term Loan,BB+,05-Jan-2026,LOW,HOT,2026-10-02,October 2026,171,,Other,D365,INC rating hits HOT threshold on 2026-10-02 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Kargwal Constructions Pvt. Ltd.,CARE,Bank Guarantee,A 4,05-Jan-2026,LOW,HOT,2026-10-02,October 2026,171,22.0,Construction,D365,INC rating hits HOT threshold on 2026-10-02 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Mapsko Builders Pvt. Ltd.,CARE,Bank Guarantee,A 4,03-Oct-2025,MEDIUM,ULTRA HOT,2026-10-03,October 2026,265,30.0,Construction,D365,INC rating hits ULTRA HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Mapsko Builders Pvt. Ltd.,CARE,Term Loan,B-,03-Oct-2025,MEDIUM,ULTRA HOT,2026-10-03,October 2026,265,250.56,Construction,D365,INC rating hits ULTRA HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Msjathin Infra Pvt. Ltd.,CARE,Bank Guarantee,BB,03-Oct-2025,MEDIUM,ULTRA HOT,2026-10-03,October 2026,265,25.72,Construction,D365,INC rating hits ULTRA HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Msjathin Infra Pvt. Ltd.,CARE,Term Loan,BB,03-Oct-2025,MEDIUM,ULTRA HOT,2026-10-03,October 2026,265,4.28,Construction,D365,INC rating hits ULTRA HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
P S Bedi & Co. Pvt. Ltd.,CARE,Bank Guarantee,A 4,03-Oct-2025,MEDIUM,ULTRA HOT,2026-10-03,October 2026,265,4.0,Other,D365,INC rating hits ULTRA HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
P S Bedi & Co. Pvt. Ltd.,CARE,NCD/Bond,B-/A4,03-Oct-2025,MEDIUM,ULTRA HOT,2026-10-03,October 2026,265,1.0,Other,D365,INC rating hits ULTRA HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
P S Bedi & Co. Pvt. Ltd.,CARE,Term Loan,B-,03-Oct-2025,MEDIUM,ULTRA HOT,2026-10-03,October 2026,265,1.0,Other,D365,INC rating hits ULTRA HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Ramsons Organics Ltd.,CARE,Bank Guarantee,C,03-Oct-2025,MEDIUM,ULTRA HOT,2026-10-03,October 2026,265,5.14,Other,D365,INC rating hits ULTRA HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Sidhgiri Holdings Pvt. Ltd.,CARE,Term Loan,BB-,03-Oct-2025,MEDIUM,ULTRA HOT,2026-10-03,October 2026,265,1.0,Other,D365,INC rating hits ULTRA HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Titan-Antony Aviation India Pvt. Ltd.,CARE,Bank Guarantee,A 4,03-Oct-2025,MEDIUM,ULTRA HOT,2026-10-03,October 2026,265,11.0,Logistics,D365,INC rating hits ULTRA HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Titan-Antony Aviation India Pvt. Ltd.,CARE,Letter of Credit,A 4,03-Oct-2025,MEDIUM,ULTRA HOT,2026-10-03,October 2026,265,1.0,Logistics,D365,INC rating hits ULTRA HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
A-One Footarts Pvt. Ltd.,CARE,NCD/Bond,BBB/A3+,03-Oct-2025,MEDIUM,ULTRA HOT,2026-10-03,October 2026,265,4.0,Other,D365,INC rating hits ULTRA HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Bawa Float Glass Ltd.,CARE,NCD/Bond,BB+/A4+,06-Jan-2026,LOW,HOT,2026-10-03,October 2026,170,18.0,Other,D365,INC rating hits HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Progressive Cars Pvt. Ltd.,CARE,Term Loan,B-,06-Jan-2026,LOW,HOT,2026-10-03,October 2026,170,0.87,Automobiles,D365,INC rating hits HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Smilax Laboratories Ltd.,CARE,Letter of Credit,A 4,06-Jan-2026,LOW,HOT,2026-10-03,October 2026,170,9.0,Healthcare,D365,INC rating hits HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Smilax Laboratories Ltd.,CARE,NCD/Bond,BB/A4,06-Jan-2026,LOW,HOT,2026-10-03,October 2026,170,2.5,Healthcare,D365,INC rating hits HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Supreme Agrofoods Pvt. Ltd.,CARE,Non-Fund-Based,A 4+,06-Jan-2026,LOW,HOT,2026-10-03,October 2026,170,0.6,Agro/Food,D365,INC rating hits HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Supreme Agrofoods Pvt. Ltd.,CARE,Term Loan,BB+,06-Jan-2026,LOW,HOT,2026-10-03,October 2026,170,19.54,Agro/Food,D365,INC rating hits HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Ananya Engineering Pvt. Ltd.,CARE,Letter of Credit,A 4,06-Jan-2026,LOW,HOT,2026-10-03,October 2026,170,0.5,Manufacturing,D365,INC rating hits HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Ananya Engineering Pvt. Ltd.,CARE,NCD/Bond,B-/A4,06-Jan-2026,LOW,HOT,2026-10-03,October 2026,170,4.0,Manufacturing,D365,INC rating hits HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Bell-O-Seal Valves Pvt. Ltd.,CARE,Bank Guarantee,A 4+,06-Apr-2026,LOW,MEDIUM,2026-10-03,October 2026,80,13.0,Other,D365,INC rating hits MEDIUM threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Bell-O-Seal Valves Pvt. Ltd.,CARE,Term Loan,BB+,06-Apr-2026,LOW,MEDIUM,2026-10-03,October 2026,80,3.22,Other,D365,INC rating hits MEDIUM threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Design & Manufacturing Vista Electronics Pvt. Ltd.,CARE,NCD/Bond,BBB/A3,06-Apr-2026,LOW,MEDIUM,2026-10-03,October 2026,80,20.0,Manufacturing,D365,INC rating hits MEDIUM threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
R S V Constructions Pvt. Ltd.,CARE,Bank Guarantee,A 4,06-Apr-2026,LOW,MEDIUM,2026-10-03,October 2026,80,54.5,Construction,D365,INC rating hits MEDIUM threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Shivmani Exports Pvt. Ltd.,CARE,Bank Guarantee,B,06-Apr-2026,LOW,MEDIUM,2026-10-03,October 2026,80,0.4,Logistics,D365,INC rating hits MEDIUM threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Vardhman Textile Components Ltd.,CARE,Term Loan,B+,06-Apr-2026,LOW,MEDIUM,2026-10-03,October 2026,80,2.29,Manufacturing,D365,INC rating hits MEDIUM threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
