Company Name,Agency,Instrument Type,Rating,Rating Date,Current Urgency,Escalates To,Escalation Date,Escalation Month,Days Since (Jun 25),Amount Cr,Sector,Source,Why Target,ACER Pitch Angle
Dali & Samir Engg. Pvt. Ltd.,CARE,NCD/Bond,BB+/A4+,01-Oct-2025,MEDIUM,ULTRA HOT,2026-10-01,October 2026,267,28.22,Agro/Food,D365,INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Lok Chemicals Pvt. Ltd.,CARE,NCD/Bond,BB+/A4,01-Oct-2025,MEDIUM,ULTRA HOT,2026-10-01,October 2026,267,151.0,Chemicals/Pharma,D365,INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Royal Orchid Hotels Ltd.,CARE,Term Loan,C,01-Oct-2025,MEDIUM,ULTRA HOT,2026-10-01,October 2026,267,38.48,Hotels/Tourism,D365,INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Space Wood Furnishers Pvt. Ltd.,CARE,Bank Guarantee,A 4+,01-Oct-2025,MEDIUM,ULTRA HOT,2026-10-01,October 2026,267,40.0,Other,D365,INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Space Wood Furnishers Pvt. Ltd.,CARE,NCD/Bond,BB+/A4+,01-Oct-2025,MEDIUM,ULTRA HOT,2026-10-01,October 2026,267,46.5,Other,D365,INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Space Wood Furnishers Pvt. Ltd.,CARE,Term Loan,BB+,01-Oct-2025,MEDIUM,ULTRA HOT,2026-10-01,October 2026,267,29.88,Other,D365,INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
A R L Infratech Ltd.,CARE,NCD/Bond,A/A1,01-Oct-2025,MEDIUM,ULTRA HOT,2026-10-01,October 2026,267,110.0,Construction,D365,INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
A R L Infratech Ltd.,CARE,Term Loan,A,01-Oct-2025,MEDIUM,ULTRA HOT,2026-10-01,October 2026,267,57.8,Construction,D365,INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
A R L Infratech Ltd.,CARE,Bank Guarantee,A 1,01-Oct-2025,MEDIUM,ULTRA HOT,2026-10-01,October 2026,267,20.0,Construction,D365,INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Mapsko Builders Pvt. Ltd.,CARE,Bank Guarantee,A 4,03-Oct-2025,MEDIUM,ULTRA HOT,2026-10-03,October 2026,265,30.0,Construction,D365,INC rating hits ULTRA HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Mapsko Builders Pvt. Ltd.,CARE,Term Loan,B-,03-Oct-2025,MEDIUM,ULTRA HOT,2026-10-03,October 2026,265,250.56,Construction,D365,INC rating hits ULTRA HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Msjathin Infra Pvt. Ltd.,CARE,Bank Guarantee,BB,03-Oct-2025,MEDIUM,ULTRA HOT,2026-10-03,October 2026,265,25.72,Construction,D365,INC rating hits ULTRA HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Msjathin Infra Pvt. Ltd.,CARE,Term Loan,BB,03-Oct-2025,MEDIUM,ULTRA HOT,2026-10-03,October 2026,265,4.28,Construction,D365,INC rating hits ULTRA HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
P S Bedi & Co. Pvt. Ltd.,CARE,Bank Guarantee,A 4,03-Oct-2025,MEDIUM,ULTRA HOT,2026-10-03,October 2026,265,4.0,Other,D365,INC rating hits ULTRA HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
P S Bedi & Co. Pvt. Ltd.,CARE,NCD/Bond,B-/A4,03-Oct-2025,MEDIUM,ULTRA HOT,2026-10-03,October 2026,265,1.0,Other,D365,INC rating hits ULTRA HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
P S Bedi & Co. Pvt. Ltd.,CARE,Term Loan,B-,03-Oct-2025,MEDIUM,ULTRA HOT,2026-10-03,October 2026,265,1.0,Other,D365,INC rating hits ULTRA HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Ramsons Organics Ltd.,CARE,Bank Guarantee,C,03-Oct-2025,MEDIUM,ULTRA HOT,2026-10-03,October 2026,265,5.14,Other,D365,INC rating hits ULTRA HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Sidhgiri Holdings Pvt. Ltd.,CARE,Term Loan,BB-,03-Oct-2025,MEDIUM,ULTRA HOT,2026-10-03,October 2026,265,1.0,Other,D365,INC rating hits ULTRA HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Titan-Antony Aviation India Pvt. Ltd.,CARE,Bank Guarantee,A 4,03-Oct-2025,MEDIUM,ULTRA HOT,2026-10-03,October 2026,265,11.0,Logistics,D365,INC rating hits ULTRA HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Titan-Antony Aviation India Pvt. Ltd.,CARE,Letter of Credit,A 4,03-Oct-2025,MEDIUM,ULTRA HOT,2026-10-03,October 2026,265,1.0,Logistics,D365,INC rating hits ULTRA HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
A-One Footarts Pvt. Ltd.,CARE,NCD/Bond,BBB/A3+,03-Oct-2025,MEDIUM,ULTRA HOT,2026-10-03,October 2026,265,4.0,Other,D365,INC rating hits ULTRA HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Gwalia Sweets Pvt. Ltd.,CARE,Term Loan,B,06-Oct-2025,MEDIUM,ULTRA HOT,2026-10-06,October 2026,262,15.23,Other,D365,INC rating hits ULTRA HOT threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
K K Silk Mills Ltd.,CARE,Fund-Based,BB+,06-Oct-2025,MEDIUM,ULTRA HOT,2026-10-06,October 2026,262,52.5,Textiles,D365,INC rating hits ULTRA HOT threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Sagar Industries & Distilleries Pvt. Ltd.,CARE,Fund-Based,BB+,06-Oct-2025,MEDIUM,ULTRA HOT,2026-10-06,October 2026,262,30.0,Manufacturing,D365,INC rating hits ULTRA HOT threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Sagar Industries & Distilleries Pvt. Ltd.,CARE,Term Loan,BB+,06-Oct-2025,MEDIUM,ULTRA HOT,2026-10-06,October 2026,262,17.96,Manufacturing,D365,INC rating hits ULTRA HOT threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Singhal Industries Pvt. Ltd.,CARE,Letter of Credit,A 4,06-Oct-2025,MEDIUM,ULTRA HOT,2026-10-06,October 2026,262,17.0,Manufacturing,D365,INC rating hits ULTRA HOT threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Singhal Industries Pvt. Ltd.,CARE,Term Loan,B,06-Oct-2025,MEDIUM,ULTRA HOT,2026-10-06,October 2026,262,2.41,Manufacturing,D365,INC rating hits ULTRA HOT threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Aimco Pesticides Ltd.,CARE,NCD/Bond,BB-/A4,06-Oct-2025,MEDIUM,ULTRA HOT,2026-10-06,October 2026,262,16.0,Agro/Food,D365,INC rating hits ULTRA HOT threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Aimco Pesticides Ltd.,CARE,NCD/Bond,BB-/A4,06-Oct-2025,MEDIUM,ULTRA HOT,2026-10-06,October 2026,262,5.0,Agro/Food,D365,INC rating hits ULTRA HOT threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Aimco Pesticides Ltd.,CARE,Term Loan,BB,06-Oct-2025,MEDIUM,ULTRA HOT,2026-10-06,October 2026,262,3.0,Agro/Food,D365,INC rating hits ULTRA HOT threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Baroda Hi-Tech Alloys Pvt. Ltd.,CARE,Bank Guarantee,A 4+,07-Oct-2025,MEDIUM,ULTRA HOT,2026-10-07,October 2026,261,2.0,Steel & Metals,D365,INC rating hits ULTRA HOT threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Baroda Hi-Tech Alloys Pvt. Ltd.,CARE,Non-Fund-Based,A 4+,07-Oct-2025,MEDIUM,ULTRA HOT,2026-10-07,October 2026,261,2.2,Steel & Metals,D365,INC rating hits ULTRA HOT threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
G B Enterprises (Transport) Pvt. Ltd.,CARE,Bank Guarantee,A 4,07-Oct-2025,MEDIUM,ULTRA HOT,2026-10-07,October 2026,261,0.3,Logistics,D365,INC rating hits ULTRA HOT threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
G B Enterprises (Transport) Pvt. Ltd.,CARE,Term Loan,B-,07-Oct-2025,MEDIUM,ULTRA HOT,2026-10-07,October 2026,261,0.53,Logistics,D365,INC rating hits ULTRA HOT threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Gowra Ventures Pvt. Ltd.,CARE,Fund-Based,B+,07-Oct-2025,MEDIUM,ULTRA HOT,2026-10-07,October 2026,261,58.7,Other,D365,INC rating hits ULTRA HOT threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Gowra Ventures Pvt. Ltd.,CARE,Term Loan,B+,07-Oct-2025,MEDIUM,ULTRA HOT,2026-10-07,October 2026,261,46.3,Other,D365,INC rating hits ULTRA HOT threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Greenergy Wind Corpn. Pvt. Ltd.,CARE,Term Loan,BB-,07-Oct-2025,MEDIUM,ULTRA HOT,2026-10-07,October 2026,261,,Energy,D365,INC rating hits ULTRA HOT threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Jai Gears Pvt. Ltd.,CARE,NCD/Bond,B-/A4,07-Oct-2025,MEDIUM,ULTRA HOT,2026-10-07,October 2026,261,4.0,Other,D365,INC rating hits ULTRA HOT threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Sachdev Food Products Pvt. Ltd.,CARE,Bank Guarantee,A 4,07-Oct-2025,MEDIUM,ULTRA HOT,2026-10-07,October 2026,261,10.0,Agro/Food,D365,INC rating hits ULTRA HOT threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Sachdev Food Products Pvt. Ltd.,CARE,NCD/Bond,B+/A4,07-Oct-2025,MEDIUM,ULTRA HOT,2026-10-07,October 2026,261,4.0,Agro/Food,D365,INC rating hits ULTRA HOT threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Saico Cranes Pvt. Ltd.,CARE,Bank Guarantee,B-,07-Oct-2025,MEDIUM,ULTRA HOT,2026-10-07,October 2026,261,4.0,Other,D365,INC rating hits ULTRA HOT threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Saico Cranes Pvt. Ltd.,CARE,Term Loan,B-,07-Oct-2025,MEDIUM,ULTRA HOT,2026-10-07,October 2026,261,4.8,Other,D365,INC rating hits ULTRA HOT threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
