Sector,Companies,Records,ULTRA_HOT,HOT,MEDIUM,Total_Amt,Avg_Amt
Other,362,686,257,295,134,8982.15,13.093513119533528
Construction,124,209,97,62,50,8428.490000000002,40.3277033492823
Agro/Food,116,202,75,103,24,2028.12,10.040198019801979
Automobiles,94,190,87,67,36,2514.4,13.233684210526317
Manufacturing,88,173,71,72,30,2620.1800000000003,15.145549132947979
Steel & Metals,84,161,64,69,28,2193.84,13.626335403726708
Chemicals/Pharma,64,114,50,43,21,1182.81,10.375526315789473
Energy,45,88,48,19,21,1341.17,15.240568181818183
Textiles,39,80,44,26,10,715.5799999999999,8.944749999999999
Healthcare,38,62,16,27,19,705.4400000000002,11.378064516129035
IT/Technology,35,80,28,39,13,1046.17,13.077125
Logistics,31,48,29,10,9,301.96000000000004,6.290833333333334
Paper/Packaging,28,48,24,15,9,532.75,11.098958333333334
Hotels/Tourism,17,23,13,7,3,297.72999999999996,12.94478260869565
Jewellery/Gems,16,22,12,7,3,440.68999999999994,20.031363636363633
BFSI,9,17,9,4,4,292.40999999999997,17.200588235294116
Infrastructure,9,14,11,3,0,130.0,9.285714285714286
Trading/Exports,8,13,7,3,3,48.89,3.7607692307692306
Mining/Minerals,7,15,6,5,4,205.05,13.67
Media/Retail,6,10,5,3,2,238.61,23.861
