Company Name,Agency,Instrument Type,Rating,Rating Date,Current Urgency,Escalates To,Escalation Date,Escalation Month,Days Since (Jun 25),Amount Cr,Sector,Source,Why Target,ACER Pitch Angle,Amt_num
Shree Bhavya Fabrics Ltd.,CRISIL,Letter of Credit,A 4,01-Oct-2025,MEDIUM,ULTRA HOT,2026-10-01,October 2026,267,6.5,Textiles,D365,INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,6.5
Skaf Construction Pvt. Ltd.,CRISIL,Bank Guarantee,A 4+,05-Jan-2026,LOW,HOT,2026-10-02,October 2026,171,27.0,Construction,D365,INC rating hits HOT threshold on 2026-10-02 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,27.0
Slogan Polypack Pvt. Ltd.,CRISIL,Term Loan,BB,05-Jan-2026,LOW,HOT,2026-10-02,October 2026,171,14.8,Other,D365,INC rating hits HOT threshold on 2026-10-02 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,14.8
Slogans Fibc Pvt. Ltd.,CRISIL,Fund-Based,BB-,05-Jan-2026,LOW,HOT,2026-10-02,October 2026,171,8.5,Other,D365,INC rating hits HOT threshold on 2026-10-02 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,8.5
Padmavati Castings Pvt. Ltd.,CRISIL,Term Loan,BB+,03-Oct-2025,MEDIUM,ULTRA HOT,2026-10-03,October 2026,265,7.0,Steel & Metals,D365,INC rating hits ULTRA HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,7.0
Dayal Fertilizers Pvt. Ltd.,CRISIL,Fund-Based,BB+,06-Jan-2026,LOW,HOT,2026-10-03,October 2026,170,11.0,Agro/Food,D365,INC rating hits HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,11.0
Dayal Industries Pvt. Ltd.,CRISIL,Fund-Based,BB+,06-Jan-2026,LOW,HOT,2026-10-03,October 2026,170,12.0,Manufacturing,D365,INC rating hits HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,12.0
Dayal Seeds Pvt. Ltd.,CRISIL,Fund-Based,BB+,06-Jan-2026,LOW,HOT,2026-10-03,October 2026,170,9.0,Agro/Food,D365,INC rating hits HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,9.0
Wagad Infraprojects Pvt. Ltd.,CRISIL,Bank Guarantee,A 4+,06-Jan-2026,LOW,HOT,2026-10-03,October 2026,170,207.0,Construction,D365,INC rating hits HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,207.0
Wagad Infraprojects Pvt. Ltd.,CRISIL,Non-Fund-Based,A 4+,06-Jan-2026,LOW,HOT,2026-10-03,October 2026,170,143.0,Construction,D365,INC rating hits HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,143.0
Wagad Infraprojects Pvt. Ltd.,CRISIL,Fund-Based,BB+,06-Jan-2026,LOW,HOT,2026-10-03,October 2026,170,28.0,Construction,D365,INC rating hits HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,28.0
Matsyodari Steel & Alloys Pvt. Ltd.,CRISIL,Bank Guarantee,A 4+,07-Jan-2026,LOW,HOT,2026-10-04,October 2026,169,25.0,Steel & Metals,D365,INC rating hits HOT threshold on 2026-10-04 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,25.0
Matsyodari Steel & Alloys Pvt. Ltd.,CRISIL,Fund-Based,BB+,07-Jan-2026,LOW,HOT,2026-10-04,October 2026,169,2.7,Steel & Metals,D365,INC rating hits HOT threshold on 2026-10-04 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,2.7
Matsyodari Steel & Alloys Pvt. Ltd.,CRISIL,Term Loan,BB+,07-Jan-2026,LOW,HOT,2026-10-04,October 2026,169,65.8,Steel & Metals,D365,INC rating hits HOT threshold on 2026-10-04 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,65.8
N J A Inds. Pvt. Ltd.,CRISIL,Bank Guarantee,A 4+,08-Jan-2026,LOW,HOT,2026-10-05,October 2026,168,24.0,Other,D365,INC rating hits HOT threshold on 2026-10-05 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,24.0
N J A Inds. Pvt. Ltd.,CRISIL,Letter of Credit,A 4+,08-Jan-2026,LOW,HOT,2026-10-05,October 2026,168,12.0,Other,D365,INC rating hits HOT threshold on 2026-10-05 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,12.0
N J A Inds. Pvt. Ltd.,CRISIL,Term Loan,BB-,08-Jan-2026,LOW,HOT,2026-10-05,October 2026,168,4.9,Other,D365,INC rating hits HOT threshold on 2026-10-05 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,4.9
New Modern Technomech Pvt. Ltd.,CRISIL,Bank Guarantee,A 4+,08-Jan-2026,LOW,HOT,2026-10-05,October 2026,168,45.0,IT/Technology,D365,INC rating hits HOT threshold on 2026-10-05 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,45.0
New Modern Technomech Pvt. Ltd.,CRISIL,Letter of Credit,A 4+,08-Jan-2026,LOW,HOT,2026-10-05,October 2026,168,5.0,IT/Technology,D365,INC rating hits HOT threshold on 2026-10-05 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,5.0
New Modern Technomech Pvt. Ltd.,CRISIL,Term Loan,BB+,08-Jan-2026,LOW,HOT,2026-10-05,October 2026,168,10.0,IT/Technology,D365,INC rating hits HOT threshold on 2026-10-05 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,10.0
Pharma Access Pvt. Ltd.,CRISIL,Letter of Credit,A 4+,08-Jan-2026,LOW,HOT,2026-10-05,October 2026,168,15.0,Chemicals/Pharma,D365,INC rating hits HOT threshold on 2026-10-05 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,15.0
Pharma Access Pvt. Ltd.,CRISIL,Term Loan,BB+,08-Jan-2026,LOW,HOT,2026-10-05,October 2026,168,15.5,Chemicals/Pharma,D365,INC rating hits HOT threshold on 2026-10-05 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,15.5
Rohan Motors Ltd.,CRISIL,Fund-Based,BB+,08-Jan-2026,LOW,HOT,2026-10-05,October 2026,168,40.5,Automobiles,D365,INC rating hits HOT threshold on 2026-10-05 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,40.5
Tankeshwari Metal Powder Products Pvt. Ltd.,CRISIL,Fund-Based,A 4,08-Jan-2026,LOW,HOT,2026-10-05,October 2026,168,1.35,Steel & Metals,D365,INC rating hits HOT threshold on 2026-10-05 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,1.35
Tankeshwari Metal Powder Products Pvt. Ltd.,CRISIL,Term Loan,B+,08-Jan-2026,LOW,HOT,2026-10-05,October 2026,168,2.61,Steel & Metals,D365,INC rating hits HOT threshold on 2026-10-05 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,2.61
Khushbu Dye-Chem Pvt. Ltd.,CRISIL,Letter of Credit,BB+,08-Apr-2026,LOW,MEDIUM,2026-10-05,October 2026,78,7.0,Chemicals/Pharma,D365,INC rating hits MEDIUM threshold on 2026-10-05 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,7.0
Bargarh Rice Millers Consortium Pvt. Ltd.,CRISIL,Term Loan,B,06-Oct-2025,MEDIUM,ULTRA HOT,2026-10-06,October 2026,262,2.0,Agro/Food,D365,INC rating hits ULTRA HOT threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,2.0
Begorra Infrastructure & Developers Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,06-Oct-2025,MEDIUM,ULTRA HOT,2026-10-06,October 2026,262,22.5,Construction,D365,INC rating hits ULTRA HOT threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,22.5
Blue Circle Organics Pvt. Ltd. [Merged],CRISIL,Bank Guarantee,A 4,06-Oct-2025,MEDIUM,ULTRA HOT,2026-10-06,October 2026,262,0.5,Other,D365,INC rating hits ULTRA HOT threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,0.5
Blue Circle Organics Pvt. Ltd. [Merged],CRISIL,Fund-Based,B,06-Oct-2025,MEDIUM,ULTRA HOT,2026-10-06,October 2026,262,10.0,Other,D365,INC rating hits ULTRA HOT threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,10.0
Blue Circle Organics Pvt. Ltd. [Merged],CRISIL,Fund-Based,B,06-Oct-2025,MEDIUM,ULTRA HOT,2026-10-06,October 2026,262,3.77,Other,D365,INC rating hits ULTRA HOT threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,3.77
Blue Circle Organics Pvt. Ltd. [Merged],CRISIL,Term Loan,B,06-Oct-2025,MEDIUM,ULTRA HOT,2026-10-06,October 2026,262,7.73,Other,D365,INC rating hits ULTRA HOT threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,7.73
