Company Name,Agency,Instrument Type,Rating,Rating Date,Current Urgency,Escalates To,Escalation Date,Escalation Month,Days Since (Jun 25),Amount Cr,Sector,Source,Why Target,ACER Pitch Angle
Shree Bhavya Fabrics Ltd.,CRISIL,Letter of Credit,A 4,01-Oct-2025,MEDIUM,ULTRA HOT,2026-10-01,October 2026,267,6.5,Textiles,D365,INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Padmavati Castings Pvt. Ltd.,CRISIL,Term Loan,BB+,03-Oct-2025,MEDIUM,ULTRA HOT,2026-10-03,October 2026,265,7.0,Steel & Metals,D365,INC rating hits ULTRA HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Bargarh Rice Millers Consortium Pvt. Ltd.,CRISIL,Term Loan,B,06-Oct-2025,MEDIUM,ULTRA HOT,2026-10-06,October 2026,262,2.0,Agro/Food,D365,INC rating hits ULTRA HOT threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Begorra Infrastructure & Developers Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,06-Oct-2025,MEDIUM,ULTRA HOT,2026-10-06,October 2026,262,22.5,Construction,D365,INC rating hits ULTRA HOT threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Blue Circle Organics Pvt. Ltd. [Merged],CRISIL,Bank Guarantee,A 4,06-Oct-2025,MEDIUM,ULTRA HOT,2026-10-06,October 2026,262,0.5,Other,D365,INC rating hits ULTRA HOT threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Blue Circle Organics Pvt. Ltd. [Merged],CRISIL,Fund-Based,B,06-Oct-2025,MEDIUM,ULTRA HOT,2026-10-06,October 2026,262,10.0,Other,D365,INC rating hits ULTRA HOT threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Blue Circle Organics Pvt. Ltd. [Merged],CRISIL,Fund-Based,B,06-Oct-2025,MEDIUM,ULTRA HOT,2026-10-06,October 2026,262,3.77,Other,D365,INC rating hits ULTRA HOT threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Blue Circle Organics Pvt. Ltd. [Merged],CRISIL,Term Loan,B,06-Oct-2025,MEDIUM,ULTRA HOT,2026-10-06,October 2026,262,7.73,Other,D365,INC rating hits ULTRA HOT threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Bluemount Paper & Boards Ltd.,CRISIL,Term Loan,B,06-Oct-2025,MEDIUM,ULTRA HOT,2026-10-06,October 2026,262,1.0,Paper/Packaging,D365,INC rating hits ULTRA HOT threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Boparai Metals Pvt. Ltd.,CRISIL,Term Loan,B,06-Oct-2025,MEDIUM,ULTRA HOT,2026-10-06,October 2026,262,2.5,Steel & Metals,D365,INC rating hits ULTRA HOT threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
