Sector,Companies,Records,Total_Amt,Avg_Amt,ULTRA_HOT,HOT,MEDIUM
Other,218,219,16483.09,75.26525114155251,0,126,56
Construction,93,97,7568.77,78.02855670103094,1,59,16
Steel & Metals,45,46,1502.51,32.663260869565214,0,29,10
Manufacturing,42,44,1548.26,35.18772727272727,0,26,10
Chemicals/Pharma,39,39,1105.43,28.344358974358975,0,20,13
Agro/Food,39,39,2909.74,74.60871794871794,1,20,8
IT/Technology,31,31,1278.49,41.24161290322581,1,15,13
Textiles,29,29,1585.41,54.669310344827586,0,17,8
Energy,25,28,3206.06,114.50214285714286,0,12,9
Automobiles,22,22,626.24,28.465454545454545,0,8,8
Infrastructure,16,16,1036.39,64.774375,0,8,4
Hotels/Tourism,14,14,426.83,30.48785714285714,0,9,1
Jewellery/Gems,14,14,396.1,28.292857142857144,0,6,7
Paper/Packaging,11,11,321.27,29.206363636363633,0,5,4
Media/Retail,10,10,417.53,41.753,0,3,3
Logistics,5,5,182.45,36.489999999999995,1,3,0
Mining/Minerals,4,4,78.0,19.5,0,2,0
Trading/Exports,3,3,60.6,20.2,0,1,0
BFSI,2,2,163.5,81.75,0,1,1
Education,1,1,21.5,21.5,0,1,0
