Company Name,Agency,Instrument Type,Rating,Rating Date,Days Since Rating,Urgency,Amount Cr,Sector,Why Target,ACER Pitch Angle
V R S Foods Ltd.,IND-RA,Non-government debt,BBB/A3+,2025-05-26,396,ULTRA HOT,7.0,Agro/Food,IND-RA NCD INC — largest NCD displacement opportunity; SEBI CRA license needed,IND-RA NCD rated BBB/A3+ (396 days) — ACER can provide fresh rating faster
My Box Technologies Pvt. Ltd.,IND-RA,Non-government debt,B+/A4,2025-06-25,366,ULTRA HOT,15.0,IT/Technology,IND-RA NCD INC — largest NCD displacement opportunity; SEBI CRA license needed,IND-RA NCD rated B+/A4 (366 days) — ACER can provide fresh rating faster
Sriaranath Logistics Ltd.,IND-RA,Non-government debt,BB-/A4+,2025-06-25,366,ULTRA HOT,86.99,Logistics,IND-RA NCD INC — largest NCD displacement opportunity; SEBI CRA license needed,IND-RA NCD rated BB-/A4+ (366 days) — ACER can provide fresh rating faster
Ascon Infratech Pvt. Ltd.,IND-RA,Non-government debt,BB-/A4+,2025-06-25,366,ULTRA HOT,8.0,Construction,IND-RA NCD INC — largest NCD displacement opportunity; SEBI CRA license needed,IND-RA NCD rated BB-/A4+ (366 days) — ACER can provide fresh rating faster
Royalline Resources Ltd.,IND-RA,Non-government debt,A 4,2025-07-18,343,HOT,80.0,Other,IND-RA NCD INC — largest NCD displacement opportunity; SEBI CRA license needed,IND-RA NCD rated A 4 (343 days) — ACER can provide fresh rating faster
Pride Coke Pvt. Ltd.,IND-RA,Non-government debt,D,2025-08-13,317,HOT,29.45,Other,IND-RA NCD INC — largest NCD displacement opportunity; SEBI CRA license needed,IND-RA NCD rated D (317 days) — ACER can provide fresh rating faster
Axis Overseas Ltd.,IND-RA,Non-government debt,B-/A4,2025-08-21,309,HOT,25.0,Other,IND-RA NCD INC — largest NCD displacement opportunity; SEBI CRA license needed,IND-RA NCD rated B-/A4 (309 days) — ACER can provide fresh rating faster
Azafran Innovacion Ltd.,IND-RA,Non-government debt,B-/A4,2025-08-21,309,HOT,11.56,Hotels/Tourism,IND-RA NCD INC — largest NCD displacement opportunity; SEBI CRA license needed,IND-RA NCD rated B-/A4 (309 days) — ACER can provide fresh rating faster
B M R Blue Genetics Pvt. Ltd.,IND-RA,Non-government debt,B/A4,2025-08-21,309,HOT,10.06,Other,IND-RA NCD INC — largest NCD displacement opportunity; SEBI CRA license needed,IND-RA NCD rated B/A4 (309 days) — ACER can provide fresh rating faster
Badri Ecofibres Pvt. Ltd.,IND-RA,Non-government debt,B-/A4,2025-08-21,309,HOT,47.95,Textiles,IND-RA NCD INC — largest NCD displacement opportunity; SEBI CRA license needed,IND-RA NCD rated B-/A4 (309 days) — ACER can provide fresh rating faster
