Sector,Companies,Records,ULTRA_HOT,HOT,MEDIUM,ACUITE_cos,BW_cos,Total_Cr,UH_rate_pct
Other,263,486,185,228,73,193,293,9135.29,38.1
Construction,90,168,65,78,25,92,76,29128.34,38.7
Manufacturing,58,115,52,46,17,50,65,2303.34,45.2
Agro/Food,67,126,48,62,16,55,71,2123.42,38.1
Steel & Metals,45,91,35,33,23,55,36,1992.06,38.5
Automobiles,42,75,28,37,10,39,36,1078.32,37.3
IT/Technology,32,56,28,23,5,30,26,762.24,50.0
Textiles,38,75,27,34,14,32,43,1285.61,36.0
Energy,28,55,22,19,14,36,19,5507.72,40.0
Hotels/Tourism,15,30,20,5,5,14,16,1632.48,66.7
Chemicals/Pharma,38,71,19,34,18,35,36,641.49,26.8
Healthcare,18,29,14,12,3,6,23,639.69,48.3
Logistics,13,25,13,12,0,10,15,582.66,52.0
Paper/Packaging,22,42,12,24,6,12,30,214.74,28.6
Trading/Exports,10,18,10,7,1,7,11,284.77,55.6
BFSI,14,24,8,8,8,10,14,571.09,33.3
Infrastructure,6,11,8,3,0,3,8,1028.21,72.7
Jewellery/Gems,5,6,4,0,2,2,4,306.0,66.7
Mining/Minerals,2,5,0,3,2,5,0,46.0,0.0
Education,1,2,0,0,2,2,0,72.0,0.0
