Sector,ACUITE,BRICKWORK,CARE,CRISIL,ICRA,IND-RA,Infomerics,TOTAL
Other,100,163,179,371,82,78,68,1041
Construction,43,47,50,124,31,27,41,363
Agro/Food,26,42,64,116,28,19,14,309
Manufacturing,23,36,38,88,17,19,14,235
Steel & Metals,24,21,46,84,18,17,24,234
Automobiles,19,23,34,95,14,10,8,203
Chemicals/Pharma,20,19,23,60,15,11,9,157
Textiles,14,24,21,39,5,17,9,129
Energy,15,13,19,41,5,11,8,112
IT/Technology,16,16,15,35,9,11,10,112
Healthcare,4,14,21,38,11,6,2,96
Paper/Packaging,8,14,14,26,5,9,5,81
Logistics,5,8,16,31,7,3,7,77
Hotels/Tourism,5,10,3,17,5,2,4,46
Jewellery/Gems,1,4,7,16,2,5,3,38
BFSI,7,7,6,9,2,1,5,37
Trading/Exports,5,6,4,8,0,1,4,28
Infrastructure,2,4,3,9,1,1,2,22
Mining/Minerals,2,0,0,7,3,1,3,16
Media/Retail,0,0,3,6,1,0,0,10
Education,1,0,0,0,2,0,2,5
