Company Name,Agency,Instrument Type,Rating,Rating Date,Current Urgency,Escalates To,Escalation Date,Escalation Month,Days Since (Jun 25),Amount Cr,Sector,Source,Why Target,ACER Pitch Angle,Amt_num
B K Rolling Mills Pvt. Ltd.,ACUITE,Term Loan,B-,01-Oct-2025,MEDIUM,ULTRA HOT,2026-10-01,October 2026,267,0.91,Steel & Metals,D365,INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds,0.91
Dali & Samir Engg. Pvt. Ltd.,CARE,NCD/Bond,BB+/A4+,01-Oct-2025,MEDIUM,ULTRA HOT,2026-10-01,October 2026,267,28.22,Agro/Food,D365,INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,28.22
Lok Chemicals Pvt. Ltd.,CARE,NCD/Bond,BB+/A4,01-Oct-2025,MEDIUM,ULTRA HOT,2026-10-01,October 2026,267,151.0,Chemicals/Pharma,D365,INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,151.0
Royal Orchid Hotels Ltd.,CARE,Term Loan,C,01-Oct-2025,MEDIUM,ULTRA HOT,2026-10-01,October 2026,267,38.48,Hotels/Tourism,D365,INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,38.48
S S F Ltd.,ACUITE,Term Loan,B-,01-Oct-2025,MEDIUM,ULTRA HOT,2026-10-01,October 2026,267,0.35,Other,D365,INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds,0.35
S S F Ltd.,ACUITE,Term Loan,B-,01-Oct-2025,MEDIUM,ULTRA HOT,2026-10-01,October 2026,267,0.44,Other,D365,INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds,0.44
Shree Bhavya Fabrics Ltd.,CRISIL,Letter of Credit,A 4,01-Oct-2025,MEDIUM,ULTRA HOT,2026-10-01,October 2026,267,6.5,Textiles,D365,INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,6.5
Space Wood Furnishers Pvt. Ltd.,CARE,Bank Guarantee,A 4+,01-Oct-2025,MEDIUM,ULTRA HOT,2026-10-01,October 2026,267,40.0,Other,D365,INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,40.0
Space Wood Furnishers Pvt. Ltd.,CARE,NCD/Bond,BB+/A4+,01-Oct-2025,MEDIUM,ULTRA HOT,2026-10-01,October 2026,267,46.5,Other,D365,INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,46.5
Space Wood Furnishers Pvt. Ltd.,CARE,Term Loan,BB+,01-Oct-2025,MEDIUM,ULTRA HOT,2026-10-01,October 2026,267,29.88,Other,D365,INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,29.88
Valbe Foods (India) Ltd.,ACUITE,Letter of Credit,A 4,01-Oct-2025,MEDIUM,ULTRA HOT,2026-10-01,October 2026,267,2.0,Agro/Food,D365,INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds,2.0
Vindhyawashini Marine Services Pvt. Ltd.,ACUITE,Term Loan,B-,01-Oct-2025,MEDIUM,ULTRA HOT,2026-10-01,October 2026,267,11.6,Other,D365,INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds,11.6
A R L Infratech Ltd.,CARE,NCD/Bond,A/A1,01-Oct-2025,MEDIUM,ULTRA HOT,2026-10-01,October 2026,267,110.0,Construction,D365,INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,110.0
A R L Infratech Ltd.,CARE,Term Loan,A,01-Oct-2025,MEDIUM,ULTRA HOT,2026-10-01,October 2026,267,57.8,Construction,D365,INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,57.8
A R L Infratech Ltd.,CARE,Bank Guarantee,A 1,01-Oct-2025,MEDIUM,ULTRA HOT,2026-10-01,October 2026,267,20.0,Construction,D365,INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,20.0
Bony Polymers Pvt. Ltd.,CARE,Bank Guarantee,A 2,05-Jan-2026,LOW,HOT,2026-10-02,October 2026,171,3.0,Chemicals/Pharma,D365,INC rating hits HOT threshold on 2026-10-02 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,3.0
Bony Polymers Pvt. Ltd.,CARE,Term Loan,BBB+,05-Jan-2026,LOW,HOT,2026-10-02,October 2026,171,58.94,Chemicals/Pharma,D365,INC rating hits HOT threshold on 2026-10-02 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,58.94
Dirco Polymers Pvt. Ltd.,CARE,Letter of Credit,A 4+,05-Jan-2026,LOW,HOT,2026-10-02,October 2026,171,40.0,Chemicals/Pharma,D365,INC rating hits HOT threshold on 2026-10-02 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,40.0
Dirco Polymers Pvt. Ltd.,CARE,NCD/Bond,BB+/A4+,05-Jan-2026,LOW,HOT,2026-10-02,October 2026,171,3.51,Chemicals/Pharma,D365,INC rating hits HOT threshold on 2026-10-02 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,3.51
Dirco Polymers Pvt. Ltd.,CARE,Term Loan,BB+,05-Jan-2026,LOW,HOT,2026-10-02,October 2026,171,4.49,Chemicals/Pharma,D365,INC rating hits HOT threshold on 2026-10-02 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,4.49
Euro Safety Footwear (India) Ltd.,CARE,NCD/Bond,BB+/A4+,05-Jan-2026,LOW,HOT,2026-10-02,October 2026,171,,Other,D365,INC rating hits HOT threshold on 2026-10-02 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,
Euro Safety Footwear (India) Ltd.,CARE,Term Loan,BB+,05-Jan-2026,LOW,HOT,2026-10-02,October 2026,171,,Other,D365,INC rating hits HOT threshold on 2026-10-02 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,
J D C India Ltd.,ACUITE,Bank Guarantee,A 4,05-Jan-2026,LOW,HOT,2026-10-02,October 2026,171,0.5,Other,D365,INC rating hits HOT threshold on 2026-10-02 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds,0.5
J D C India Ltd.,ACUITE,Term Loan,B-,05-Jan-2026,LOW,HOT,2026-10-02,October 2026,171,2.05,Other,D365,INC rating hits HOT threshold on 2026-10-02 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds,2.05
J D C India Ltd.,ACUITE,Term Loan,B-,05-Jan-2026,LOW,HOT,2026-10-02,October 2026,171,0.35,Other,D365,INC rating hits HOT threshold on 2026-10-02 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds,0.35
Kargwal Constructions Pvt. Ltd.,CARE,Bank Guarantee,A 4,05-Jan-2026,LOW,HOT,2026-10-02,October 2026,171,22.0,Construction,D365,INC rating hits HOT threshold on 2026-10-02 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,22.0
Omega Printopack Pvt. Ltd.,ACUITE,Letter of Credit,A 4,05-Jan-2026,LOW,HOT,2026-10-02,October 2026,171,1.5,Paper/Packaging,D365,INC rating hits HOT threshold on 2026-10-02 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds,1.5
Omega Printopack Pvt. Ltd.,ACUITE,Term Loan,C,05-Jan-2026,LOW,HOT,2026-10-02,October 2026,171,3.89,Paper/Packaging,D365,INC rating hits HOT threshold on 2026-10-02 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds,3.89
Rashmi Rare Earth Ltd.,ACUITE,Term Loan,BB-,05-Jan-2026,LOW,HOT,2026-10-02,October 2026,171,28.0,Other,D365,INC rating hits HOT threshold on 2026-10-02 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds,28.0
Skaf Construction Pvt. Ltd.,CRISIL,Bank Guarantee,A 4+,05-Jan-2026,LOW,HOT,2026-10-02,October 2026,171,27.0,Construction,D365,INC rating hits HOT threshold on 2026-10-02 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,27.0
Slogan Polypack Pvt. Ltd.,CRISIL,Term Loan,BB,05-Jan-2026,LOW,HOT,2026-10-02,October 2026,171,14.8,Other,D365,INC rating hits HOT threshold on 2026-10-02 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,14.8
Slogans Fibc Pvt. Ltd.,CRISIL,Fund-Based,BB-,05-Jan-2026,LOW,HOT,2026-10-02,October 2026,171,8.5,Other,D365,INC rating hits HOT threshold on 2026-10-02 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,8.5
Vintage Distillers Ltd.,ACUITE,Term Loan,B,05-Jan-2026,LOW,HOT,2026-10-02,October 2026,171,2.0,Other,D365,INC rating hits HOT threshold on 2026-10-02 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds,2.0
