Sector,Unique_Companies,Total_Records,ULTRA_HOT_escalation,HOT_escalation,MEDIUM_escalation,Total_Amt_Cr,Avg_Amt_Cr,Agencies,UH_rate_pct,Opportunity_Score
Other,990,1882,744,829,309,37339.82,20.249360086767897,"ACUITE, BRICKWORK, CARE, CRISIL, ICRA, IND-RA, Infomerics",39.5,91.0
Construction,344,632,255,263,114,53421.62,85.33805111821087,"ACUITE, BRICKWORK, CARE, CRISIL, ICRA, IND-RA, Infomerics",40.3,54.1
Agro/Food,287,514,209,236,69,9494.3,18.652848722986246,"ACUITE, BRICKWORK, CARE, CRISIL, ICRA, IND-RA, Infomerics",40.7,25.3
Steel & Metals,226,430,177,174,79,8056.54,18.867775175644027,"ACUITE, BRICKWORK, CARE, CRISIL, ICRA, IND-RA, Infomerics",41.2,20.9
Manufacturing,222,445,186,186,73,7275.3,17.24004739336493,"ACUITE, BRICKWORK, CARE, CRISIL, ICRA, IND-RA, Infomerics",41.8,20.8
Automobiles,191,369,152,148,69,5602.43,15.433691460055098,"ACUITE, BRICKWORK, CARE, CRISIL, ICRA, IND-RA, Infomerics",41.2,17.1
Chemicals/Pharma,148,279,112,107,60,3437.27,12.453876811594203,"ACUITE, BRICKWORK, CARE, CRISIL, ICRA, IND-RA, Infomerics",40.1,12.4
Textiles,121,244,99,102,43,6252.9400000000005,25.732263374485598,"ACUITE, BRICKWORK, CARE, CRISIL, ICRA, IND-RA, Infomerics",40.6,12.5
Energy,108,212,87,66,59,12967.4,62.644444444444446,"ACUITE, BRICKWORK, CARE, CRISIL, ICRA, IND-RA, Infomerics",41.0,15.2
IT/Technology,108,216,80,102,34,3673.66,17.247230046948356,"ACUITE, BRICKWORK, CARE, CRISIL, ICRA, IND-RA, Infomerics",37.0,9.6
Healthcare,89,147,47,66,34,2412.19,16.751319444444444,"ACUITE, BRICKWORK, CARE, CRISIL, ICRA, IND-RA, Infomerics",32.0,6.6
Paper/Packaging,78,141,55,57,29,1484.6299999999999,10.997259259259259,"ACUITE, BRICKWORK, CARE, CRISIL, ICRA, IND-RA, Infomerics",39.0,6.2
Logistics,72,121,66,36,19,2225.85,18.704621848739496,"ACUITE, BRICKWORK, CARE, CRISIL, ICRA, IND-RA, Infomerics",54.5,7.0
Hotels/Tourism,45,73,48,15,10,3035.1,41.57671232876712,"ACUITE, BRICKWORK, CARE, CRISIL, ICRA, IND-RA, Infomerics",65.8,5.6
Jewellery/Gems,38,52,20,21,11,1507.46,28.989615384615384,"ACUITE, BRICKWORK, CARE, CRISIL, ICRA, IND-RA, Infomerics",38.5,3.1
BFSI,35,60,24,23,13,1566.53,27.482982456140352,"ACUITE, BRICKWORK, CARE, CRISIL, ICRA, IND-RA, Infomerics",40.0,3.2
Trading/Exports,27,44,19,20,5,570.26,14.256499999999999,"ACUITE, BRICKWORK, CARE, CRISIL, IND-RA, Infomerics",43.2,2.2
Infrastructure,20,39,28,11,0,1883.54,48.29589743589744,"ACUITE, BRICKWORK, CARE, CRISIL, ICRA, IND-RA, Infomerics",71.8,3.2
Mining/Minerals,16,35,12,13,10,1190.19,34.005428571428574,"ACUITE, CRISIL, ICRA, IND-RA, Infomerics",34.3,1.8
Media/Retail,9,17,5,7,5,277.94,17.37125,"CARE, CRISIL, ICRA",29.4,0.7
Education,5,9,3,4,2,252.01999999999998,28.00222222222222,"ACUITE, ICRA, Infomerics",33.3,0.5
