Company Name,Agency,Instrument Type,Rating,Rating Date,Current Urgency,Escalates To,Escalation Date,Escalation Month,Days Since (Jun 25),Amount Cr,Sector,Source,Why Target,ACER Pitch Angle,Call Week
A S Wood Impex Pvt. Ltd.,CARE,Letter of Credit,A 4,09-Feb-2026,LOW,HOT,2026-11-06,November 2026,136,45.0,Other,D365,INC rating hits HOT threshold on 2026-11-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,Nov Wk1 (Nov 1-7)
Aadarsh Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,09-Feb-2026,LOW,HOT,2026-11-06,November 2026,136,1.5,Other,D365,INC rating hits HOT threshold on 2026-11-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,Nov Wk1 (Nov 1-7)
Aadarsh Pvt. Ltd.,BRICKWORK,Letter of Credit,A 4,09-Feb-2026,LOW,HOT,2026-11-06,November 2026,136,2.0,Other,D365,INC rating hits HOT threshold on 2026-11-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,Nov Wk1 (Nov 1-7)
Aakash Polyfilms Ltd.,BRICKWORK,Non-Fund-Based,A 4,04-Feb-2026,LOW,HOT,2026-11-01,November 2026,141,,Other,D365,INC rating hits HOT threshold on 2026-11-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,Nov Wk1 (Nov 1-7)
Aakash Polyfilms Ltd.,BRICKWORK,Non-Fund-Based,A 4,04-Feb-2026,LOW,HOT,2026-11-01,November 2026,141,7.8,Other,D365,INC rating hits HOT threshold on 2026-11-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,Nov Wk1 (Nov 1-7)
Aakash Polyfilms Ltd.,BRICKWORK,Fund-Based,BB-,04-Feb-2026,LOW,HOT,2026-11-01,November 2026,141,132.63,Other,D365,INC rating hits HOT threshold on 2026-11-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,Nov Wk1 (Nov 1-7)
Abhiraj Engicon Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,03-Nov-2025,MEDIUM,ULTRA HOT,2026-11-03,November 2026,234,2.5,Other,D365,INC rating hits ULTRA HOT threshold on 2026-11-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,Nov Wk1 (Nov 1-7)
Abhushan Creations Pvt. Ltd.,CRISIL,Term Loan,B+,10-Feb-2026,LOW,HOT,2026-11-07,November 2026,135,0.05,Other,D365,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,Nov Wk1 (Nov 1-7)
Acore Industries Pvt. Ltd.,ACUITE,Term Loan,B-,10-Feb-2026,LOW,HOT,2026-11-07,November 2026,135,12.5,Manufacturing,D365,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds,Nov Wk1 (Nov 1-7)
Add Technologies (India) Ltd.,ACUITE,Bank Guarantee,A 4,05-Nov-2025,MEDIUM,ULTRA HOT,2026-11-05,November 2026,232,8.5,IT/Technology,D365,INC rating hits ULTRA HOT threshold on 2026-11-05 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds,Nov Wk1 (Nov 1-7)
Add Technologies (India) Ltd.,ACUITE,Term Loan,B-,05-Nov-2025,MEDIUM,ULTRA HOT,2026-11-05,November 2026,232,2.0,IT/Technology,D365,INC rating hits ULTRA HOT threshold on 2026-11-05 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds,Nov Wk1 (Nov 1-7)
Add Technologies (India) Ltd.,ACUITE,Term Loan,A 4,05-Nov-2025,MEDIUM,ULTRA HOT,2026-11-05,November 2026,232,3.0,IT/Technology,D365,INC rating hits ULTRA HOT threshold on 2026-11-05 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds,Nov Wk1 (Nov 1-7)
Adishakti Cars Pvt. Ltd.,CRISIL,Fund-Based,BB+,10-Feb-2026,LOW,HOT,2026-11-07,November 2026,135,73.0,Automobiles,D365,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,Nov Wk1 (Nov 1-7)
Adishakti Cars Pvt. Ltd.,CRISIL,Fund-Based,BB+,10-Feb-2026,LOW,HOT,2026-11-07,November 2026,135,2.62,Automobiles,D365,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,Nov Wk1 (Nov 1-7)
