Company Name,Agency,Instrument Type,Rating,Rating Date,Current Urgency,Escalates To,Escalation Date,Escalation Month,Days Since (Jun 25),Amount Cr,Sector,Source,Why Target,ACER Pitch Angle,Call Week
Avani Petrochem Pvt. Ltd.,ICRA,Term Loan,B+,07-Nov-2025,MEDIUM,ULTRA HOT,2026-11-07,November 2026,230,15.0,Chemicals/Pharma,D365,INC rating hits ULTRA HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,Nov Wk1 (Nov 1-7)
B N R Infrastructure Projects Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,10-Feb-2026,LOW,HOT,2026-11-07,November 2026,135,45.0,Construction,D365,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,Nov Wk1 (Nov 1-7)
Iron Triangle Ltd.,ICRA,Non-Fund-Based,A 4,05-Feb-2026,LOW,HOT,2026-11-02,November 2026,140,530.0,Steel & Metals,D365,INC rating hits HOT threshold on 2026-11-02 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,Nov Wk1 (Nov 1-7)
Iron Triangle Ltd.,ICRA,Term Loan,B+,05-Feb-2026,LOW,HOT,2026-11-02,November 2026,140,54.79,Steel & Metals,D365,INC rating hits HOT threshold on 2026-11-02 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,Nov Wk1 (Nov 1-7)
Jagdambay Cotspin Ltd.,ICRA,Term Loan,B+,05-Feb-2026,LOW,HOT,2026-11-02,November 2026,140,15.0,Other,D365,INC rating hits HOT threshold on 2026-11-02 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,Nov Wk1 (Nov 1-7)
Kalthia Infra Projects Pvt. Ltd.,ICRA,Term Loan,B+,06-Feb-2026,LOW,HOT,2026-11-03,November 2026,139,147.86,Construction,D365,INC rating hits HOT threshold on 2026-11-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,Nov Wk1 (Nov 1-7)
Mittal Udyog Indore Pvt. Ltd.,ICRA,Term Loan,A 4,05-Feb-2026,LOW,HOT,2026-11-02,November 2026,140,,Other,D365,INC rating hits HOT threshold on 2026-11-02 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,Nov Wk1 (Nov 1-7)
Paramount Rice Pvt. Ltd.,ICRA,Term Loan,B+,07-Nov-2025,MEDIUM,ULTRA HOT,2026-11-07,November 2026,230,6.86,Agro/Food,D365,INC rating hits ULTRA HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,Nov Wk1 (Nov 1-7)
Sentini Hospitals Pvt. Ltd.,ICRA,Term Loan,B+,07-Nov-2025,MEDIUM,ULTRA HOT,2026-11-07,November 2026,230,7.05,Steel & Metals,D365,INC rating hits ULTRA HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,Nov Wk1 (Nov 1-7)
Spice Islands Inds. Ltd.,ICRA,Non-Fund-Based,A 4,05-Feb-2026,LOW,HOT,2026-11-02,November 2026,140,0.2,Agro/Food,D365,INC rating hits HOT threshold on 2026-11-02 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,Nov Wk1 (Nov 1-7)
