Company Name,Agency,Instrument Type,Rating,Rating Date,Current Urgency,Escalates To,Escalation Date,Escalation Month,Days Since (Jun 25),Amount Cr,Sector,Source,Why Target,ACER Pitch Angle,Call Week,ACER_Pitch_v2
Alpine Shoes Pvt. Ltd.,IND-RA,Term Loan,BB-,05-Nov-2025,MEDIUM,ULTRA HOT,2026-11-05,November 2026,232,22.58,Other,D365,INC rating hits ULTRA HOT threshold on 2026-11-05 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,Nov Wk1 (Nov 1-7),IND-RA is Fitch-owned — premium-priced and focused on structured/large deals. ACER offers same-quality ratings at lower cost with faster turnaround. Your current rating is overdue — ACER can onboard immediately.
Avani Petrochem Pvt. Ltd.,ICRA,Term Loan,B+,07-Nov-2025,MEDIUM,ULTRA HOT,2026-11-07,November 2026,230,15.0,Chemicals/Pharma,D365,INC rating hits ULTRA HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,Nov Wk1 (Nov 1-7),ICRA is Moody's-owned — commanding premium fees. ACER brings equivalent analytical depth at competitive pricing for mid-market companies. Your current rating is overdue — ACER can onboard immediately.
B N R Infrastructure Projects Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,10-Feb-2026,LOW,HOT,2026-11-07,November 2026,135,45.0,Construction,D365,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,Nov Wk1 (Nov 1-7),ICRA is Moody's-owned — commanding premium fees. ACER brings equivalent analytical depth at competitive pricing for mid-market companies. Get ahead of renewal — ACER can begin the process now.
Iron Triangle Ltd.,ICRA,Non-Fund-Based,A 4,05-Feb-2026,LOW,HOT,2026-11-02,November 2026,140,530.0,Steel & Metals,D365,INC rating hits HOT threshold on 2026-11-02 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,Nov Wk1 (Nov 1-7),ICRA is Moody's-owned — commanding premium fees. ACER brings equivalent analytical depth at competitive pricing for mid-market companies. Get ahead of renewal — ACER can begin the process now.
Iron Triangle Ltd.,ICRA,Term Loan,B+,05-Feb-2026,LOW,HOT,2026-11-02,November 2026,140,54.79,Steel & Metals,D365,INC rating hits HOT threshold on 2026-11-02 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,Nov Wk1 (Nov 1-7),ICRA is Moody's-owned — commanding premium fees. ACER brings equivalent analytical depth at competitive pricing for mid-market companies. Get ahead of renewal — ACER can begin the process now.
J V S Comatsco Inds. Pvt. Ltd.,IND-RA,Term Loan,BBB+,05-Nov-2025,MEDIUM,ULTRA HOT,2026-11-05,November 2026,232,80.0,Other,D365,INC rating hits ULTRA HOT threshold on 2026-11-05 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,Nov Wk1 (Nov 1-7),IND-RA is Fitch-owned — premium-priced and focused on structured/large deals. ACER offers same-quality ratings at lower cost with faster turnaround. Your current rating is overdue — ACER can onboard immediately.
Jagdambay Cotspin Ltd.,ICRA,Term Loan,B+,05-Feb-2026,LOW,HOT,2026-11-02,November 2026,140,15.0,Other,D365,INC rating hits HOT threshold on 2026-11-02 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,Nov Wk1 (Nov 1-7),ICRA is Moody's-owned — commanding premium fees. ACER brings equivalent analytical depth at competitive pricing for mid-market companies. Get ahead of renewal — ACER can begin the process now.
Kalthia Infra Projects Pvt. Ltd.,ICRA,Term Loan,B+,06-Feb-2026,LOW,HOT,2026-11-03,November 2026,139,147.86,Construction,D365,INC rating hits HOT threshold on 2026-11-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,Nov Wk1 (Nov 1-7),ICRA is Moody's-owned — commanding premium fees. ACER brings equivalent analytical depth at competitive pricing for mid-market companies. Get ahead of renewal — ACER can begin the process now.
M P Entertainment & Developers Pvt. Ltd.,IND-RA,Term Loan,B-,05-Nov-2025,MEDIUM,ULTRA HOT,2026-11-05,November 2026,232,100.0,Construction,D365,INC rating hits ULTRA HOT threshold on 2026-11-05 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,Nov Wk1 (Nov 1-7),IND-RA is Fitch-owned — premium-priced and focused on structured/large deals. ACER offers same-quality ratings at lower cost with faster turnaround. Your current rating is overdue — ACER can onboard immediately.
Mittal Udyog Indore Pvt. Ltd.,ICRA,Term Loan,A 4,05-Feb-2026,LOW,HOT,2026-11-02,November 2026,140,,Other,D365,INC rating hits HOT threshold on 2026-11-02 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,Nov Wk1 (Nov 1-7),ICRA is Moody's-owned — commanding premium fees. ACER brings equivalent analytical depth at competitive pricing for mid-market companies. Get ahead of renewal — ACER can begin the process now.
